,precision,recall,f1-score,support
Andrews,0.7454545454545455,0.8541666666666666,0.7961165048543689,48.0
Arteaga,0.8679245283018868,0.9583333333333334,0.9108910891089109,48.0
Josuep,0.6842105263157895,0.5416666666666666,0.6046511627906976,48.0
Karolain,1.0,0.9375,0.967741935483871,48.0
Leo,0.7727272727272727,0.7083333333333334,0.7391304347826086,48.0
Rodelo,0.5925925925925926,0.6666666666666666,0.6274509803921569,48.0
Roygel,0.875,0.875,0.875,48.0
Samir,0.9,0.9375,0.9183673469387755,48.0
Stephanie,0.723404255319149,0.7083333333333334,0.7157894736842105,48.0
Venegas,0.9565217391304348,0.9166666666666666,0.9361702127659575,48.0
accuracy,0.8104166666666667,0.8104166666666667,0.8104166666666667,0.8104166666666667
macro avg,0.8117835459841671,0.8104166666666666,0.8091309140801556,480.0
weighted avg,0.811783545984167,0.8104166666666667,0.8091309140801558,480.0
