Metrica_Original,Metrica_Esp,Importancia
Pupil_Mean,Diámetro Pupilar Prom.,0.19052391331283272
Gaze_Z_Mean,Gaze Z Mean,0.11801553382148128
Jerk_Max,Jerk Max,0.08810662140465568
Acc_Max,Aceleración Máx.,0.07915499792532919
Pupil_Vel_Max,Vel. Máx. Pupila,0.07029614264026456
Vel_Mean,Velocidad Ocular Prom.,0.0639178380561864
Velocity_Transition_Smoothness,Suavidad Transición,0.057467905443510124
Pupil_Std,Variabilidad Pupilar,0.0537532805306156
Jerk_Mean,Jerk (Sacudida) Prom.,0.05167876748661365
Pupil_CV,Pupil CV,0.0496177761940913
Fixation_Vel_Mean,Vel. en Fijaciones,0.0439679736175252
Main_Seq_Slope,Pendiente Secuencia Princ.,0.037494819478346306
Microsaccade_Rate,Tasa Microsacadas,0.037116671424558594
Fractal_Dim,Dimensión Fractal,0.03626948959449645
Saccade_Rate,Saccade Rate,0.02261826906949316
