,precision,recall,f1-score,support
Andrews,0.7547169811320755,0.8333333333333334,0.7920792079207921,48.0
Arteaga,0.88,0.9166666666666666,0.8979591836734694,48.0
Josuep,0.5869565217391305,0.5625,0.574468085106383,48.0
Karolain,1.0,0.875,0.9333333333333333,48.0
Leo,0.6538461538461539,0.7083333333333334,0.68,48.0
Rodelo,0.5,0.6666666666666666,0.5714285714285714,48.0
Roygel,0.7037037037037037,0.7916666666666666,0.7450980392156863,48.0
Samir,0.9148936170212766,0.8958333333333334,0.9052631578947369,48.0
Stephanie,0.5777777777777777,0.5416666666666666,0.5591397849462365,48.0
Venegas,0.8695652173913043,0.8333333333333334,0.851063829787234,48.0
Victor,0.9024390243902439,0.7708333333333334,0.8314606741573034,48.0
Victoria,0.6774193548387096,0.875,0.7636363636363637,48.0
VictoriaRoso,0.7575757575757576,0.5208333333333334,0.6172839506172839,48.0
Vielma,0.8108108108108109,0.625,0.7058823529411765,48.0
accuracy,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7440476190476191
macro avg,0.7564074943019247,0.7440476190476192,0.7448640381898979,672.0
weighted avg,0.7564074943019247,0.7440476190476191,0.7448640381898979,672.0
