Muestra_ID,Real,Predicho,Acierto,Confianza
1438,P7,P7,1,0.5666666666666667
1814,P9,P9,1,0.8033333333333333
1649,P8,P8,1,0.6766666666666666
1109,P5,P5,1,0.5333333333333333
707,P4,P4,1,0.44333333333333336
1474,P7,P7,1,0.82
576,P3,P3,1,0.69
262,P2,P2,1,0.42
1454,P7,P7,1,0.8866666666666667
1007,P5,P5,1,0.2966666666666667
704,P4,P6,0,0.3433333333333333
52,P1,P1,1,0.8733333333333333
1781,P9,P9,1,0.6366666666666667
1650,P8,P8,1,0.8166666666666667
1860,P9,P9,1,0.6733333333333333
1866,P9,P9,1,0.38333333333333336
1648,P8,P8,1,0.65
8,P1,P1,1,0.8366666666666667
1771,P9,P9,1,0.64
1672,P8,P8,1,0.4666666666666667
525,P3,P3,1,0.9233333333333333
213,P2,P2,1,0.36333333333333334
1113,P5,P5,1,0.5433333333333333
72,P1,P1,1,0.79
2001,P10,P10,1,0.84
1334,P6,P6,1,0.6433333333333333
83,P1,P1,1,0.45
1426,P6,P9,0,0.32
651,P4,P4,1,0.7533333333333333
783,P4,P2,0,0.4533333333333333
1863,P9,P9,1,0.8333333333333334
776,P4,P4,1,0.7833333333333333
1016,P5,P5,1,0.5266666666666666
107,P1,P1,1,0.9166666666666666
1856,P9,P9,1,0.8466666666666667
744,P4,P4,1,0.48333333333333334
1110,P5,P8,0,0.4066666666666667
1538,P7,P7,1,0.37333333333333335
293,P2,P2,1,0.7633333333333333
1833,P9,P9,1,0.7566666666666667
1761,P9,P10,0,0.6166666666666667
625,P3,P3,1,0.8166666666666667
1748,P8,P8,1,0.6866666666666666
1782,P9,P9,1,0.5733333333333334
1643,P8,P8,1,0.5366666666666666
1422,P6,P6,1,0.36666666666666664
1475,P7,P7,1,0.7566666666666667
1512,P7,P7,1,0.5266666666666666
1598,P8,P8,1,0.66
1576,P7,P7,1,0.75
88,P1,P1,1,0.6033333333333334
1877,P9,P9,1,0.8333333333333334
753,P4,P4,1,0.9166666666666666
528,P3,P3,1,0.9566666666666667
2038,P10,P10,1,0.6233333333333333
1382,P6,P6,1,0.5666666666666667
1058,P5,P5,1,0.45666666666666667
974,P5,P5,1,0.39
309,P2,P2,1,0.74
1042,P5,P5,1,0.45666666666666667
655,P4,P1,0,0.5066666666666667
1373,P6,P6,1,0.29333333333333333
1371,P6,P6,1,0.59
1341,P6,P4,0,0.37666666666666665
1651,P8,P8,1,0.92
1501,P7,P1,0,0.30666666666666664
1843,P9,P9,1,0.73
1982,P10,P10,1,0.7166666666666667
565,P3,P3,1,0.8966666666666666
1393,P6,P6,1,0.45
545,P3,P3,1,0.8933333333333333
1566,P7,P10,0,0.25666666666666665
2058,P10,P10,1,0.54
1531,P7,P7,1,0.6333333333333333
1554,P7,P7,1,0.9166666666666666
1763,P9,P9,1,0.6566666666666666
732,P4,P4,1,0.8333333333333334
1935,P10,P10,1,0.89
1339,P6,P6,1,0.51
157,P1,P1,1,0.8833333333333333
1502,P7,P7,1,0.44666666666666666
1305,P6,P6,1,0.54
1844,P9,P6,0,0.32666666666666666
20,P1,P1,1,0.65
240,P2,P2,1,0.8066666666666666
1032,P5,P5,1,0.37666666666666665
1303,P6,P6,1,0.35333333333333333
187,P2,P2,1,0.7633333333333333
1567,P7,P7,1,0.42
1563,P7,P7,1,0.36
1283,P6,P6,1,0.6333333333333333
267,P2,P2,1,0.5166666666666667
1486,P7,P7,1,0.47
1038,P5,P5,1,0.39666666666666667
719,P4,P4,1,0.6533333333333333
1979,P10,P6,0,0.24
1075,P5,P5,1,0.49333333333333335
583,P3,P3,1,0.6933333333333334
739,P4,P4,1,0.71
748,P4,P4,1,0.8466666666666667
1389,P6,P6,1,0.5633333333333334
256,P2,P2,1,0.7333333333333333
1685,P8,P8,1,0.83
291,P2,P2,1,0.7733333333333333
959,P5,P5,1,0.49333333333333335
640,P4,P8,0,0.5533333333333333
1756,P8,P8,1,0.64
1300,P6,P6,1,0.59
1832,P9,P9,1,0.7533333333333333
1635,P8,P8,1,0.7366666666666667
297,P2,P2,1,0.6866666666666666
509,P3,P3,1,0.42333333333333334
1018,P5,P5,1,0.34
1698,P8,P8,1,0.9266666666666666
2031,P10,P10,1,0.6833333333333333
572,P3,P3,1,0.45
1364,P6,P6,1,0.36666666666666664
527,P3,P3,1,0.7233333333333334
211,P2,P2,1,0.49
74,P1,P1,1,0.9233333333333333
626,P3,P3,1,0.8933333333333333
1668,P8,P8,1,0.7666666666666667
272,P2,P2,1,0.5966666666666667
143,P1,P1,1,0.93
1329,P6,P6,1,0.6866666666666666
125,P1,P1,1,0.8566666666666667
1031,P5,P5,1,0.85
617,P3,P3,1,0.7266666666666667
308,P2,P2,1,0.7566666666666667
1111,P5,P5,1,0.4666666666666667
59,P1,P1,1,0.6666666666666666
287,P2,P2,1,0.6566666666666666
1076,P5,P5,1,0.41333333333333333
2066,P10,P10,1,0.7466666666666667
1903,P9,P9,1,0.5066666666666667
2037,P10,P10,1,0.38666666666666666
986,P5,P5,1,0.6466666666666666
1922,P10,P10,1,0.73
1712,P8,P8,1,0.8133333333333334
