Muestra_ID,Real,Predicho,Acierto,Confianza
1702,P11,P11,1,0.66
1452,P10,P10,1,0.46
686,P5,P1,0,0.5033333333333333
1119,P8,P8,1,0.5766666666666667
2018,P13,P13,1,0.3933333333333333
351,P3,P1,0,0.7833333333333333
1655,P11,P11,1,0.6066666666666667
905,P6,P6,1,0.4633333333333333
1300,P9,P9,1,0.52
1235,P8,P8,1,0.37
2163,P14,P7,0,0.32666666666666666
1837,P12,P12,1,0.7166666666666667
1282,P9,P9,1,0.5066666666666667
1693,P11,P11,1,0.6466666666666666
340,P3,P3,1,0.59
890,P6,P8,0,0.53
1303,P9,P6,0,0.71
256,P2,P2,1,0.8266666666666667
703,P5,P5,1,0.46
1986,P13,P13,1,0.4166666666666667
365,P3,P1,0,0.5566666666666666
1945,P13,P13,1,0.4633333333333333
1803,P12,P12,1,0.5433333333333333
58,P1,P1,1,0.5466666666666666
1257,P8,P8,1,0.8066666666666666
1208,P8,P8,1,0.7066666666666667
1455,P10,P10,1,0.9166666666666666
1614,P11,P11,1,0.5566666666666666
1697,P11,P11,1,0.6166666666666667
1987,P13,P13,1,0.5166666666666667
959,P7,P7,1,0.35333333333333333
2046,P13,P13,1,0.93
483,P4,P4,1,0.9
2111,P14,P14,1,0.9133333333333333
2041,P13,P7,0,0.67
1292,P9,P6,0,0.37333333333333335
554,P4,P4,1,0.84
425,P3,P3,1,0.5933333333333334
1997,P13,P13,1,0.6466666666666666
1116,P7,P7,1,0.6066666666666667
788,P5,P5,1,0.5066666666666667
251,P2,P2,1,0.63
563,P4,P4,1,0.77
134,P1,P1,1,0.6433333333333333
149,P1,P1,1,0.30333333333333334
2075,P13,P13,1,0.34
988,P7,P10,0,0.22
609,P4,P4,1,0.94
699,P5,P5,1,0.6166666666666667
291,P2,P2,1,0.7133333333333334
995,P7,P7,1,0.32
1925,P13,P13,1,0.6833333333333333
1937,P13,P14,0,0.39666666666666667
1474,P10,P10,1,0.85
1694,P11,P11,1,0.76
1084,P7,P13,0,0.32
466,P3,P3,1,0.77
1271,P8,P8,1,0.8933333333333333
1440,P10,P10,1,0.55
72,P1,P1,1,0.65
1902,P12,P12,1,0.59
2102,P14,P11,0,0.16666666666666666
546,P4,P4,1,0.7666666666666667
949,P6,P1,0,0.52
799,P6,P9,0,0.24666666666666667
301,P2,P2,1,0.5
1829,P12,P12,1,0.33666666666666667
2141,P14,P14,1,0.31666666666666665
1749,P11,P11,1,0.93
246,P2,P2,1,0.54
1246,P8,P8,1,0.57
580,P4,P4,1,0.88
481,P4,P4,1,0.7733333333333333
367,P3,P1,0,0.88
1783,P12,P12,1,0.7733333333333333
1467,P10,P10,1,0.6033333333333334
1348,P9,P9,1,0.3466666666666667
1677,P11,P5,0,0.32666666666666666
155,P1,P1,1,0.6833333333333333
2079,P14,P14,1,0.4766666666666667
344,P3,P3,1,0.74
59,P1,P1,1,0.6666666666666666
1059,P7,P7,1,0.5
876,P6,P6,1,0.5766666666666667
447,P3,P13,0,0.3433333333333333
1667,P11,P11,1,0.94
1701,P11,P11,1,0.9433333333333334
967,P7,P7,1,0.4533333333333333
1376,P9,P12,0,0.31333333333333335
712,P5,P5,1,0.74
2049,P13,P13,1,0.5
1521,P10,P7,0,0.38666666666666666
213,P2,P2,1,0.26
462,P3,P3,1,0.6
1724,P11,P11,1,0.64
129,P1,P1,1,0.51
1884,P12,P12,1,0.55
909,P6,P6,1,0.30666666666666664
1482,P10,P14,0,0.29
311,P2,P2,1,0.49666666666666665
1365,P9,P9,1,0.47333333333333333
773,P5,P5,1,0.42333333333333334
1021,P7,P11,0,0.3566666666666667
2207,P14,P14,1,0.7633333333333333
1882,P12,P12,1,0.3333333333333333
2085,P14,P10,0,0.26666666666666666
1954,P13,P13,1,0.5833333333333334
1981,P13,P13,1,0.7933333333333333
1193,P8,P6,0,0.44333333333333336
1533,P10,P3,0,0.33666666666666667
480,P4,P4,1,0.8933333333333333
2199,P14,P14,1,0.8833333333333333
757,P5,P3,0,0.32666666666666666
210,P2,P2,1,0.5766666666666667
2152,P14,P14,1,0.9533333333333334
1377,P9,P12,0,0.2833333333333333
20,P1,P1,1,0.5766666666666667
1636,P11,P11,1,0.5333333333333333
1453,P10,P5,0,0.32
1778,P12,P12,1,0.9166666666666666
1265,P8,P8,1,0.6566666666666666
435,P3,P6,0,0.2866666666666667
1545,P10,P10,1,0.6166666666666667
318,P2,P2,1,0.6766666666666666
1860,P12,P12,1,0.59
2169,P14,P14,1,0.8166666666666667
277,P2,P2,1,0.48
2148,P14,P11,0,0.3333333333333333
1353,P9,P9,1,0.76
1277,P8,P8,1,0.61
299,P2,P2,1,0.67
1483,P10,P10,1,0.2833333333333333
771,P5,P5,1,0.2633333333333333
346,P3,P3,1,0.37
919,P6,P6,1,0.7666666666666667
457,P3,P3,1,0.34
1167,P8,P8,1,0.5233333333333333
894,P6,P6,1,0.5233333333333333
584,P4,P4,1,0.8666666666666667
603,P4,P4,1,0.75
653,P5,P3,0,0.26
787,P5,P2,0,0.37
414,P3,P3,1,0.53
1078,P7,P13,0,0.4066666666666667
843,P6,P10,0,0.23333333333333334
203,P2,P2,1,0.8
574,P4,P4,1,0.44
688,P5,P5,1,0.49666666666666665
1878,P12,P12,1,0.94
1540,P10,P10,1,0.9266666666666666
2062,P13,P13,1,0.7033333333333334
1821,P12,P12,1,0.7533333333333333
418,P3,P3,1,0.6133333333333333
1471,P10,P10,1,0.83
1364,P9,P9,1,0.35333333333333333
2225,P14,P14,1,0.9566666666666667
1051,P7,P7,1,0.7233333333333334
719,P5,P5,1,0.6466666666666666
614,P4,P4,1,0.8366666666666667
1159,P8,P8,1,0.71
1627,P11,P11,1,0.9366666666666666
569,P4,P4,1,0.8366666666666667
366,P3,P1,0,0.8166666666666667
1578,P10,P10,1,0.31
740,P5,P5,1,0.4066666666666667
1862,P12,P12,1,0.8033333333333333
1746,P11,P11,1,0.7133333333333334
1847,P12,P12,1,0.7433333333333333
1922,P13,P13,1,0.75
1873,P12,P12,1,0.89
1811,P12,P12,1,0.7666666666666667
996,P7,P7,1,0.43
1018,P7,P7,1,0.25333333333333335
1737,P11,P11,1,0.9533333333333334
103,P1,P1,1,0.87
2028,P13,P3,0,0.32666666666666666
107,P1,P1,1,0.8733333333333333
1312,P9,P9,1,0.55
731,P5,P5,1,0.7866666666666666
1599,P11,P11,1,0.61
2190,P14,P14,1,0.5433333333333333
2122,P14,P5,0,0.37
1181,P8,P8,1,0.8733333333333333
1309,P9,P9,1,0.35333333333333333
739,P5,P5,1,0.7633333333333333
1063,P7,P7,1,0.78
683,P5,P5,1,0.8
1331,P9,P9,1,0.5833333333333334
1592,P10,P10,1,0.7433333333333333
1964,P13,P3,0,0.31333333333333335
1171,P8,P8,1,0.5266666666666666
659,P5,P5,1,0.64
969,P7,P7,1,0.4866666666666667
961,P7,P7,1,0.8033333333333333
795,P5,P5,1,0.94
2193,P14,P14,1,0.58
942,P6,P6,1,0.8033333333333333
968,P7,P7,1,0.37
1833,P12,P12,1,0.8333333333333334
1189,P8,P6,0,0.47
1228,P8,P3,0,0.38333333333333336
1209,P8,P8,1,0.63
1142,P8,P8,1,0.5933333333333334
695,P5,P5,1,0.3933333333333333
54,P1,P1,1,0.6733333333333333
323,P3,P3,1,0.5133333333333333
290,P2,P2,1,0.67
547,P4,P4,1,0.7866666666666666
21,P1,P1,1,0.47
1834,P12,P12,1,0.7266666666666667
572,P4,P4,1,0.3
1643,P11,P11,1,0.5933333333333334
2054,P13,P13,1,0.37333333333333335
1030,P7,P7,1,0.8533333333333334
1854,P12,P12,1,0.9
433,P3,P3,1,0.63
993,P7,P14,0,0.44333333333333336
1092,P7,P7,1,0.5233333333333333
1476,P10,P10,1,0.8766666666666667
1927,P13,P13,1,0.35333333333333333
17,P1,P1,1,0.7266666666666667
832,P6,P9,0,0.33666666666666667
937,P6,P6,1,0.38333333333333336
2175,P14,P14,1,0.6633333333333333
1307,P9,P5,0,0.23
1900,P12,P12,1,0.7033333333333334
1668,P11,P11,1,0.7066666666666667
2184,P14,P11,0,0.43333333333333335
620,P4,P4,1,0.8433333333333334
1849,P12,P12,1,0.9566666666666667
1447,P10,P10,1,0.44333333333333336
972,P7,P7,1,0.55
2010,P13,P13,1,0.49333333333333335
793,P5,P5,1,0.5966666666666667
57,P1,P1,1,0.78
1363,P9,P9,1,0.37666666666666665
470,P3,P3,1,0.5366666666666666
1164,P8,P8,1,0.6
336,P3,P3,1,0.41
211,P2,P2,1,0.54
1036,P7,P11,0,0.32
846,P6,P6,1,0.7333333333333333
642,P5,P5,1,0.5766666666666667
619,P4,P4,1,0.7766666666666666
884,P6,P7,0,0.3466666666666667
1287,P9,P9,1,0.43333333333333335
888,P6,P6,1,0.6466666666666666
1645,P11,P5,0,0.27666666666666667
823,P6,P6,1,0.4633333333333333
1172,P8,P8,1,0.5266666666666666
2036,P13,P13,1,0.4866666666666667
1759,P12,P12,1,0.8566666666666667
841,P6,P8,0,0.33
1642,P11,P11,1,0.62
70,P1,P1,1,0.8233333333333334
302,P2,P2,1,0.66
1689,P11,P11,1,0.7966666666666666
931,P6,P6,1,0.3566666666666667
2219,P14,P14,1,0.6333333333333333
240,P2,P2,1,0.7066666666666667
2125,P14,P13,0,0.38333333333333336
878,P6,P6,1,0.2633333333333333
1169,P8,P12,0,0.39
50,P1,P1,1,0.30333333333333334
1531,P10,P10,1,0.4766666666666667
2059,P13,P13,1,0.33
803,P6,P6,1,0.35
8,P1,P1,1,0.6833333333333333
741,P5,P5,1,0.4866666666666667
2223,P14,P14,1,0.8666666666666667
503,P4,P4,1,0.87
1589,P10,P10,1,0.7633333333333333
1254,P8,P8,1,0.6766666666666666
1893,P12,P12,1,0.4266666666666667
1354,P9,P9,1,0.5733333333333334
1750,P11,P11,1,0.42
1219,P8,P8,1,0.45666666666666667
2040,P13,P7,0,0.4166666666666667
1974,P13,P9,0,0.22
88,P1,P3,0,0.27
1931,P13,P14,0,0.22
386,P3,P3,1,0.39
1823,P12,P12,1,0.54
310,P2,P2,1,0.53
1977,P13,P13,1,0.4766666666666667
446,P3,P3,1,0.2866666666666667
416,P3,P3,1,0.4266666666666667
1226,P8,P8,1,0.8566666666666667
297,P2,P2,1,0.6533333333333333
1565,P10,P10,1,0.49666666666666665
152,P1,P1,1,0.55
377,P3,P3,1,0.49333333333333335
2136,P14,P14,1,0.6266666666666667
2068,P13,P13,1,0.78
1381,P9,P9,1,0.45
308,P2,P2,1,0.68
1369,P9,P9,1,0.7233333333333334
1789,P12,P12,1,0.6133333333333333
1437,P9,P9,1,0.4533333333333333
148,P1,P1,1,0.4
1406,P9,P4,0,0.32
34,P1,P1,1,0.6933333333333334
486,P4,P4,1,0.79
187,P2,P2,1,0.7166666666666667
593,P4,P4,1,0.7033333333333334
234,P2,P2,1,0.86
1088,P7,P7,1,0.8333333333333334
262,P2,P2,1,0.37333333333333335
769,P5,P5,1,0.42
1557,P10,P10,1,0.99
752,P5,P5,1,0.41
89,P1,P1,1,0.3933333333333333
1587,P10,P10,1,0.7233333333333334
1735,P11,P10,0,0.39666666666666667
1337,P9,P9,1,0.74
1730,P11,P11,1,0.9666666666666667
2112,P14,P14,1,0.9366666666666666
1795,P12,P12,1,0.7033333333333334
1499,P10,P10,1,0.5966666666666667
1158,P8,P8,1,0.5833333333333334
819,P6,P9,0,0.30333333333333334
1043,P7,P7,1,0.4866666666666667
1428,P9,P9,1,0.44
221,P2,P2,1,0.67
130,P1,P1,1,0.4066666666666667
325,P3,P3,1,0.47333333333333333
1380,P9,P9,1,0.25666666666666665
321,P3,P1,0,0.5066666666666667
1248,P8,P8,1,0.7333333333333333
260,P2,P2,1,0.77
548,P4,P4,1,0.78
495,P4,P4,1,0.52
1568,P10,P10,1,0.5633333333333334
512,P4,P4,1,0.7933333333333333
1657,P11,P11,1,0.5466666666666666
2123,P14,P5,0,0.41
215,P2,P2,1,0.6566666666666666
1276,P8,P8,1,0.46
1318,P9,P9,1,0.5
1839,P12,P12,1,0.6666666666666666
1075,P7,P7,1,0.4666666666666667
1206,P8,P8,1,0.8533333333333334
810,P6,P6,1,0.35333333333333333
171,P2,P2,1,0.8333333333333334
1768,P12,P12,1,0.5933333333333334
272,P2,P14,0,0.3933333333333333
1315,P9,P9,1,0.45666666666666667
923,P6,P6,1,0.74
2099,P14,P9,0,0.20666666666666667
1359,P9,P12,0,0.6733333333333333
443,P3,P3,1,0.66
508,P4,P4,1,0.37333333333333335
77,P1,P1,1,0.96
702,P5,P5,1,0.6533333333333333
293,P2,P2,1,0.76
2185,P14,P14,1,0.41
2087,P14,P14,1,0.7366666666666667
723,P5,P5,1,0.6133333333333333
287,P2,P2,1,0.5666666666666667
162,P2,P2,1,0.8233333333333334
1082,P7,P7,1,0.35
160,P2,P2,1,0.6766666666666666
713,P5,P5,1,0.6466666666666666
579,P4,P4,1,0.81
1023,P7,P7,1,0.6533333333333333
1284,P9,P9,1,0.6366666666666667
2101,P14,P5,0,0.33
2156,P14,P14,1,0.5733333333333334
412,P3,P3,1,0.5933333333333334
594,P4,P4,1,0.8
423,P3,P1,0,0.47
87,P1,P1,1,0.36333333333333334
1588,P10,P10,1,0.7833333333333333
2047,P13,P13,1,0.89
780,P5,P3,0,0.3433333333333333
1779,P12,P12,1,0.87
1875,P12,P12,1,0.35333333333333333
91,P1,P1,1,0.9166666666666666
1551,P10,P10,1,0.7166666666666667
1915,P12,P12,1,0.7
514,P4,P4,1,0.77
48,P1,P1,1,0.5533333333333333
680,P5,P5,1,0.8166666666666667
913,P6,P6,1,0.8566666666666667
161,P2,P2,1,0.8466666666666667
2061,P13,P13,1,0.87
924,P6,P6,1,0.7133333333333334
1692,P11,P11,1,0.9
1020,P7,P7,1,0.4266666666666667
647,P5,P5,1,0.6866666666666666
147,P1,P1,1,0.45666666666666667
113,P1,P1,1,0.4633333333333333
1798,P12,P12,1,0.84
786,P5,P5,1,0.5766666666666667
1267,P8,P8,1,0.5066666666666667
116,P1,P1,1,0.5833333333333334
1129,P8,P8,1,0.57
1147,P8,P8,1,0.7233333333333334
639,P4,P12,0,0.49
689,P5,P5,1,0.8833333333333333
1441,P10,P10,1,0.34
2146,P14,P7,0,0.4533333333333333
1914,P12,P12,1,0.51
513,P4,P4,1,0.7766666666666666
14,P1,P1,1,0.8966666666666666
1034,P7,P7,1,0.71
1052,P7,P7,1,0.9366666666666666
1170,P8,P8,1,0.36666666666666664
1400,P9,P9,1,0.5
1442,P10,P10,1,0.6933333333333334
792,P5,P5,1,0.6933333333333334
37,P1,P1,1,0.7633333333333333
2033,P13,P14,0,0.6333333333333333
1680,P11,P11,1,0.9733333333333334
1188,P8,P8,1,0.42
607,P4,P4,1,0.41333333333333333
1255,P8,P6,0,0.58
1993,P13,P7,0,0.43666666666666665
761,P5,P5,1,0.71
975,P7,P4,0,0.5066666666666667
280,P2,P2,1,0.62
