Muestra_ID,Real,Predicho,Acierto,Confianza,Configuracion
1484,P3,P3,1,0.54,5 sujetos
1441,P3,P3,1,0.6333333333333333,5 sujetos
1791,P4,P4,1,0.68,5 sujetos
21,P1,P1,1,0.84,5 sujetos
957,P2,P2,1,0.5533333333333333,5 sujetos
70,P1,P1,1,0.97,5 sujetos
916,P2,P2,1,0.4166666666666667,5 sujetos
1967,P5,P5,1,0.87,5 sujetos
799,P2,P4,0,0.59,5 sujetos
1945,P5,P5,1,0.6966666666666667,5 sujetos
1790,P4,P4,1,0.56,5 sujetos
2049,P5,P5,1,0.9333333333333333,5 sujetos
1485,P3,P3,1,0.53,5 sujetos
63,P1,P1,1,0.9933333333333333,5 sujetos
54,P1,P1,1,0.9866666666666667,5 sujetos
1898,P4,P4,1,0.9766666666666667,5 sujetos
1781,P4,P4,1,0.79,5 sujetos
1929,P5,P5,1,0.7033333333333334,5 sujetos
2034,P5,P5,1,0.9533333333333334,5 sujetos
1548,P3,P3,1,0.8033333333333333,5 sujetos
149,P1,P1,1,0.7166666666666667,5 sujetos
2064,P5,P5,1,0.91,5 sujetos
1837,P4,P4,1,0.9166666666666666,5 sujetos
1,P1,P1,1,0.5633333333333334,5 sujetos
930,P2,P2,1,0.8366666666666667,5 sujetos
57,P1,P1,1,0.9,5 sujetos
1523,P3,P3,1,0.9466666666666667,5 sujetos
43,P1,P1,1,0.9633333333333334,5 sujetos
1495,P3,P3,1,0.5866666666666667,5 sujetos
2017,P5,P5,1,0.9733333333333334,5 sujetos
1534,P3,P5,0,0.5566666666666666,5 sujetos
1918,P5,P5,1,0.98,5 sujetos
1769,P4,P4,1,0.93,5 sujetos
2065,P5,P5,1,0.9766666666666667,5 sujetos
129,P1,P1,1,0.7533333333333333,5 sujetos
1971,P5,P5,1,0.74,5 sujetos
58,P1,P1,1,0.97,5 sujetos
921,P2,P2,1,0.9666666666666667,5 sujetos
860,P2,P2,1,0.5,5 sujetos
837,P2,P5,0,0.5566666666666666,5 sujetos
1990,P5,P5,1,0.6066666666666667,5 sujetos
2007,P5,P5,1,0.43,5 sujetos
1761,P4,P5,0,0.5633333333333334,5 sujetos
1571,P3,P3,1,0.95,5 sujetos
936,P2,P2,1,0.9233333333333333,5 sujetos
48,P1,P1,1,0.99,5 sujetos
857,P2,P2,1,0.8366666666666667,5 sujetos
1801,P4,P4,1,0.9266666666666666,5 sujetos
842,P2,P2,1,0.74,5 sujetos
1866,P4,P4,1,0.6666666666666666,5 sujetos
1904,P4,P4,1,0.97,5 sujetos
106,P1,P1,1,0.9933333333333333,5 sujetos
950,P2,P1,0,0.8766666666666667,5 sujetos
2071,P5,P5,1,0.6,5 sujetos
130,P1,P1,1,0.64,5 sujetos
1527,P3,P3,1,0.5766666666666667,5 sujetos
107,P1,P1,1,0.9966666666666667,5 sujetos
1825,P4,P4,1,0.8733333333333333,5 sujetos
2068,P5,P5,1,0.8233333333333334,5 sujetos
826,P2,P2,1,0.67,5 sujetos
941,P2,P2,1,0.82,5 sujetos
99,P1,P1,1,0.9866666666666667,5 sujetos
1443,P3,P3,1,0.8566666666666667,5 sujetos
1564,P3,P3,1,0.6066666666666667,5 sujetos
2051,P5,P5,1,0.7733333333333333,5 sujetos
1469,P3,P3,1,0.7866666666666666,5 sujetos
1773,P4,P4,1,0.94,5 sujetos
919,P2,P2,1,0.8533333333333334,5 sujetos
1458,P3,P3,1,0.87,5 sujetos
929,P2,P2,1,0.9433333333333334,5 sujetos
1759,P4,P4,1,0.68,5 sujetos
1541,P3,P3,1,0.93,5 sujetos
1831,P4,P4,1,0.97,5 sujetos
1461,P3,P3,1,0.9433333333333334,5 sujetos
1554,P3,P3,1,0.8933333333333333,5 sujetos
1977,P5,P5,1,0.7066666666666667,5 sujetos
1994,P5,P3,0,0.7333333333333333,5 sujetos
1439,P3,P3,1,0.7166666666666667,5 sujetos
1973,P5,P4,0,0.6733333333333333,5 sujetos
1575,P3,P3,1,0.9133333333333333,5 sujetos
817,P2,P2,1,0.9166666666666666,5 sujetos
1978,P5,P5,1,0.5033333333333333,5 sujetos
1486,P3,P3,1,0.53,5 sujetos
1553,P3,P3,1,0.8533333333333334,5 sujetos
89,P1,P1,1,0.5266666666666666,5 sujetos
1536,P3,P3,1,0.91,5 sujetos
890,P2,P2,1,0.7533333333333333,5 sujetos
2001,P5,P5,1,0.9633333333333334,5 sujetos
1914,P4,P4,1,0.6466666666666666,5 sujetos
882,P2,P2,1,0.98,5 sujetos
91,P1,P1,1,0.9866666666666667,5 sujetos
83,P1,P1,1,0.6566666666666666,5 sujetos
1758,P4,P5,0,0.5333333333333333,5 sujetos
116,P1,P1,1,0.9333333333333333,5 sujetos
828,P2,P2,1,0.9366666666666666,5 sujetos
2019,P5,P5,1,0.8033333333333333,5 sujetos
1933,P5,P5,1,0.8533333333333334,5 sujetos
948,P2,P1,0,0.8366666666666667,5 sujetos
1491,P3,P3,1,0.9666666666666667,5 sujetos
1783,P4,P4,1,0.87,5 sujetos
136,P1,P1,1,0.9766666666666667,5 sujetos
1841,P4,P4,1,0.9233333333333333,5 sujetos
1583,P3,P3,1,0.8233333333333334,5 sujetos
1850,P4,P4,1,0.99,5 sujetos
895,P2,P4,0,0.36666666666666664,5 sujetos
850,P2,P2,1,0.9866666666666667,5 sujetos
1958,P5,P5,1,0.6233333333333333,5 sujetos
1852,P4,P4,1,0.7,5 sujetos
849,P2,P2,1,0.9166666666666666,5 sujetos
1871,P4,P4,1,0.8633333333333333,5 sujetos
155,P1,P1,1,0.9466666666666667,5 sujetos
