event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_15,sacadico,sacadico,533.333,633.333,100.0,12.520360987559654,109.05122803227876
s_35,sacadico,sacadico,1200.0,1266.667,66.66699999999992,3.4262261067894775,49.93967882691265
s_74,sacadico,sacadico,2500.0,2600.0,100.0,5.895666010073505,57.27266993100603
s_113,sacadico,sacadico,3800.0,3900.0,100.0,7.49801890327737,77.83334563750005
s_145,sacadico,sacadico,4866.667,5000.0,133.33299999999963,5.528927132527395,42.35667935146198
s_153,sacadico,sacadico,5133.333,5233.333,100.0,3.5693036762979795,36.38946861766753
s_162,sacadico,sacadico,5433.333,5533.333,100.0,4.405122288499803,56.536533669261914
s_205,sacadico,sacadico,6866.667,7000.0,133.33299999999963,19.43542090344448,138.96993430612605
s_251,sacadico,sacadico,8400.0,8500.0,100.0,6.914798738155212,77.68838565650617
s_297,sacadico,sacadico,9933.333,10033.333,100.0,6.7916818520790105,74.05031134666231
s_342,sacadico,sacadico,11433.333,11566.667,133.33399999999892,20.76261324247901,149.89273970648566
s_390,sacadico,sacadico,13033.333,13133.333,100.0,6.161739987751938,71.75095464773057
s_435,sacadico,sacadico,14533.333,14633.333,100.0,7.770176556750111,79.40707729428314
