event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_2,fijacion,fijacion_valida,366.667,766.667,400.00000000000006,0.0,6.8571502657494925
f_3,fijacion,fijacion_valida,933.333,1800.0,866.667,0.0,5.081316195781375
f_4,fijacion,fijacion_valida,1933.333,2233.333,300.0,0.0,4.522994371955096
f_5,fijacion,fijacion_valida,2400.0,3666.667,1266.667,0.0,4.2632115335634575
f_6,fijacion,fijacion_valida,3866.667,5333.333,1466.6659999999997,0.0,6.562291676578045
f_7,fijacion,fijacion_valida,5533.333,7033.333,1500.0,0.0,3.8838861395184283
f_8,fijacion,fijacion_valida,7233.333,8666.667,1433.3339999999998,0.0,6.734625853041205
f_9,fijacion,fijacion_valida,8833.333,9166.667,333.3339999999989,0.0,9.45028784910209
f_10,fijacion,fijacion_valida,9366.667,10266.667,900.0,0.0,5.251194002929692
f_11,fijacion,fijacion_valida,10433.333,11866.667,1433.333999999999,0.0,6.096610432801423
f_12,fijacion,fijacion_valida,12066.667,13466.667,1400.0,0.0,4.460545615305396
f_13,fijacion,fijacion_valida,13666.667,15000.0,1333.3330000000005,0.0,3.778188945847671
f_14,fijacion,fijacion_valida,15200.0,16400.0,1200.0,0.0,5.141991365169585
