event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,500.0,1533.333,1033.333,0.0,4.8711126202280095
f_2,fijacion,fijacion_valida,1666.667,2333.333,666.6660000000002,0.0,5.221463993846723
f_3,fijacion,fijacion_valida,2466.667,4333.333,1866.6659999999997,0.0,3.635360302431547
f_4,fijacion,fijacion_valida,4500.0,6333.333,1833.3329999999996,0.0,5.50390160929355
f_5,fijacion,fijacion_valida,6533.333,8300.0,1766.6670000000004,0.0,3.391517234069194
f_6,fijacion,fijacion_valida,8466.667,9166.667,700.0,0.0,2.679353046304286
f_7,fijacion,fijacion_valida,9333.333,10266.667,933.3339999999989,0.0,1.9879787649477456
f_8,fijacion,fijacion_valida,10433.333,12233.333,1800.0,0.0,4.8586250681667424
f_11,fijacion,fijacion_valida,12800.0,14166.667,1366.6669999999995,0.0,3.1054350171790706
f_13,fijacion,fijacion_valida,14733.333,16166.667,1433.333999999999,0.0,3.6665678334360194
f_16,fijacion,fijacion_valida,16766.667,17966.667,1200.0,0.0,3.560928540687228
