,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,velocidad_promedio_general_deg_s,aceleracion_promedio_general_deg_s2,velocidad_promedio_entre_estimulos_deg_s,aceleracion_promedio_entre_estimulos_deg_s2,total_archivos_procesados
Geremy_intento_10_data,500.0,17.5,13.0,23.0,0.0,0.7428571428571429,1.3142857142857143,982.0513076923075,88.40582608695655,0.0,8.825340778138864,5.133402055935804,66.69387166009601,15.011543726115312,0.561783947613214,6.825941138229328,-353.159072348859,
Geremy_intento_1_data,500.0,17.533333,14.0,14.0,1.0,0.7984791026326826,0.7984791026326826,1066.666714285714,85.71414285714289,66.66699999999946,11.249368617511028,4.401530433729942,70.89872314120899,11.40189101848543,-1.1558728297814431,33.915272769800225,-475.4976008206032,
Geremy_intento_2_data,500.0,17.466667,14.0,16.0,1.0,0.8015267022609407,0.9160305168696465,1028.571357142857,83.33318750000001,66.66599999999744,4.9576006599835525,3.8210070041531883,64.49159387422206,10.497583911792193,-0.29773898041082403,6.916665448280881,-84.65558923882006,
Geremy_intento_3_data,500.0,17.466667,11.0,14.0,0.0,0.629770980347882,0.8015267022609407,1327.272727272727,85.71421428571428,0.0,11.592126294580781,3.8620221845991014,65.19084388819725,10.201768274212126,0.19778756886998805,7.585080488910641,-363.1280747841397,
Geremy_intento_4_data,500.0,17.466667,12.0,15.0,0.0,0.687022887652235,0.8587786095652936,1174.9997500000002,104.44446666666651,0.0,11.232766718897501,4.11222130385563,70.89768058822304,12.33807325039428,0.43132014050070394,4.895326467675328,-447.9484785202844,
Geremy_intento_5_data,500.0,17.5,10.0,14.0,0.0,0.5714285714285714,0.8,1453.3332,95.23814285714285,0.0,13.124928920139322,3.834833757747421,78.00123028539392,12.248239816493891,0.47074793303106827,2.199300179711677,-331.8424723064123,
Geremy_intento_6_data,500.0,17.5,13.0,20.0,1.0,0.7428571428571429,1.1428571428571428,1051.2818461538461,89.99995000000003,66.66699999999946,8.812843028274619,4.672902228109761,56.972032686840876,12.181536428620676,0.16214779703532003,3.7675904772192004,-546.1119967590456,
Geremy_intento_7_data,500.0,17.5,12.0,18.0,0.0,0.6857142857142857,1.0285714285714285,1161.1110833333332,83.333388888889,0.0,19.66645695002198,3.58794423971222,66.94228160381837,12.270225446731937,1.2346430586622825,10.812048754975162,-384.03843871674917,
Geremy_intento_8_data,500.0,17.5,11.0,15.0,2.0,0.6285714285714286,0.8571428571428571,1266.6667272727268,95.55553333333334,66.66699999999946,6.179603510493319,3.509980213874559,70.7176703721526,11.132727699905649,1.6544538328572096,6.9373296533641815,-294.2498221684151,
Geremy_intento_9_data,500.0,17.5,12.0,14.0,1.0,0.6857142857142857,0.8,1205.5555,100.00000000000013,66.66600000000108,6.33642764522539,4.479949068293355,73.32520387255089,11.894278845378192,1.1013427966920102,10.801519040183063,-182.16874452466382,
PROMEDIO_GENERAL,500.0,17.4933334,12.2,16.3,0.6,0.6973942530036598,0.9317672074185707,1171.7510213153512,91.17388524758455,33.33329999999969,10.197746312326636,4.141579249001098,68.4131131972704,11.917786841812967,0.4360615265069529,9.46560744183497,-346.28002901879927,10.0
