,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
Majo_intento_10_data,500.0,17.466667,13.0,21.0,1.0,0.7442747949565879,1.2022900533914112,961.5386153846155,90.4762380952379,66.66700000000128,9.34611793746646,6.551795641364238,66.81258314543088,
Majo_intento_1_data,500.0,17.533333,10.0,9.0,0.0,0.5703422161662018,0.5133079945495816,1576.6666999999998,85.18533333333309,0.0,16.795077363435194,3.8902964096162185,90.3686918572457,
Majo_intento_2_data,500.0,17.466667,9.0,9.0,0.0,0.5152671657391762,0.5152671657391762,1759.2592222222224,96.29622222222214,0.0,9.081258721492187,3.6418450693561035,96.9754833584494,
Majo_intento_3_data,500.0,17.466667,12.0,14.0,1.0,0.687022887652235,0.8015267022609407,1147.222,97.61900000000001,66.66599999999744,12.632706156663605,4.050648223602204,77.31806908963324,
Majo_intento_4_data,500.0,17.466667,11.0,13.0,0.0,0.629770980347882,0.7442747949565879,1333.3334545454545,100.00007692307688,0.0,7.303385350135918,4.405305187256769,89.48836856125014,
Majo_intento_5_data,500.0,17.466667,15.0,22.0,3.0,0.8587786095652936,1.259541960695764,813.3334,95.45436363636372,88.88900000000042,20.32057339805126,4.793950077272803,55.80226666730002,
Majo_intento_6_data,500.0,17.466667,15.0,17.0,1.0,0.8587786095652936,0.9732824241739995,897.7778,94.11770588235285,66.66699999999946,10.776587859929721,5.581606902221498,61.515413021327795,
Majo_intento_7_data,500.0,17.466667,17.0,17.0,0.0,0.9732824241739995,0.9732824241739995,825.4901176470587,92.15688235294104,0.0,9.82845427466525,6.739497830041877,64.08571418473412,
Majo_intento_8_data,500.0,17.466667,16.0,19.0,4.0,0.9160305168696465,1.0877862387827053,789.5834375,92.9824210526315,99.99974999999995,13.92873322504369,5.648516155694141,59.23950301621617,
Majo_intento_9_data,500.0,17.466667,15.0,16.0,2.0,0.8587786095652936,0.9160305168696465,868.8890000000004,93.75012499999991,183.33300000000054,5.283669657461257,8.283776017621092,76.27651143917814,
PROMEDIO_GENERAL,500.0,17.4733336,13.3,15.7,1.2,0.761232681460161,0.8986590275593812,1097.3093747299351,93.8038368498159,57.2221749999999,11.529656394434454,5.358723751404694,73.78826043407655,10.0
