event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,1933.333,1900.0,0.0,9.799029192935542
f_3,fijacion,fijacion_valida,2366.667,3766.667,1400.0,0.0,8.33827840356037
f_5,fijacion,fijacion_valida,4233.333,5400.0,1166.6670000000004,0.0,9.043356639965621
f_6,fijacion,fijacion_valida,5600.0,6833.333,1233.3329999999996,0.0,6.454733035346105
f_7,fijacion,fijacion_valida,7033.333,8433.333,1400.000000000001,0.0,4.953003658127097
f_8,fijacion,fijacion_valida,8600.0,9933.333,1333.3330000000005,0.0,4.786345540241006
f_9,fijacion,fijacion_valida,10100.0,11600.0,1500.0,0.0,3.8604755719893604
f_10,fijacion,fijacion_valida,11800.0,13066.667,1266.6669999999995,0.0,4.091030021181807
f_11,fijacion,fijacion_valida,13266.667,14766.667,1500.0,0.0,4.418059751066533
f_12,fijacion,fijacion_valida,14966.667,16233.333,1266.666000000001,0.0,4.735711078893811
