event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_12,sacadico,sacadico,433.333,500.0,66.66699999999997,5.512702950089793,92.29859337823261
s_52,sacadico,sacadico,1766.667,1866.667,100.0,9.231693166887334,76.13130191591185
s_69,sacadico,sacadico,2333.333,2433.333,100.0,9.656050113222706,104.08196957416257
s_154,sacadico,sacadico,5166.667,5266.667,100.0,90.0,49.84880780996999
s_191,sacadico,sacadico,6400.0,6466.667,66.66700000000037,10.39667247492762,215.19518338098646
s_247,sacadico,sacadico,8266.667,8366.667,100.0,11.507575469338025,110.48226074057445
s_304,sacadico,sacadico,10166.667,10266.667,100.0,11.553522469412309,125.34933944058982
s_365,sacadico,sacadico,12200.0,12300.0,100.0,26.729622757957376,235.97152042837192
s_415,sacadico,sacadico,13866.667,13933.333,66.66600000000108,4.017877499102329,89.55650365377521
s_425,sacadico,sacadico,14200.0,14266.667,66.66699999999946,2.211999838873075,47.267773660722305
s_484,sacadico,sacadico,16166.667,16233.333,66.66600000000108,7.582342372139522,136.981122992573
