estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
1,P1 (Sup-Izq),0.0,2000.0,133.333,2,266.66700000000003,1000.0,reacción_rápida,Raul_intento_6_data
2,P2 (Sup-Cen),2000.0,4000.0,766.6669999999999,2,1566.6659999999997,1649.9995,reacción_lenta,Raul_intento_6_data
3,P3 (Sup-Der),4000.0,6000.0,,1,,1566.6659999999997,sin_respuesta,Raul_intento_6_data
4,P4 (Med-Izq),6000.0,8000.0,266.66700000000037,1,1933.333,1933.333,reacción_normal,Raul_intento_6_data
5,P5 (Med-Cen),8000.0,10000.0,366.66699999999946,3,400.0,1166.6663333333338,reacción_lenta,Raul_intento_6_data
6,P6 (Med-Der),10000.0,12000.0,400.0,2,1733.3330000000003,1449.9995000000008,reacción_lenta,Raul_intento_6_data
7,P7 (Inf-Izq),12000.0,14000.0,333.33300000000054,2,1833.333999999999,1783.3334999999997,reacción_lenta,Raul_intento_6_data
8,P8 (Inf-Cen),14000.0,16000.0,333.33300000000054,3,566.6669999999995,1033.3336666666662,reacción_lenta,Raul_intento_6_data
9,P9 (Inf-Der),16000.0,18000.0,133.33300000000054,1,1833.3340000000007,1833.3340000000007,reacción_rápida,Raul_intento_6_data
1,P1 (Sup-Izq),0.0,2000.0,33.333,3,366.667,522.2223333333333,reacción_rápida,Raul_intento_10_data
2,P2 (Sup-Cen),2000.0,4000.0,466.6669999999999,2,1833.333,1300.0,reacción_lenta,Raul_intento_10_data
3,P3 (Sup-Der),4000.0,6000.0,900.0,3,500.0,866.6666666666669,reacción_lenta,Raul_intento_10_data
4,P4 (Med-Izq),6000.0,8000.0,-166.66700000000037,2,266.6670000000004,1033.3334999999997,anticipación,Raul_intento_10_data
5,P5 (Med-Cen),8000.0,10000.0,433.33300000000054,2,1800.0,1799.9999999999995,reacción_lenta,Raul_intento_10_data
6,P6 (Med-Der),10000.0,12000.0,533.3330000000005,2,1666.6669999999997,1733.3334999999997,reacción_lenta,Raul_intento_10_data
7,P7 (Inf-Izq),12000.0,14000.0,400.0,2,1566.6669999999997,1616.6669999999997,reacción_lenta,Raul_intento_10_data
8,P8 (Inf-Cen),14000.0,16000.0,366.66699999999946,1,1366.666000000001,1366.666000000001,reacción_lenta,Raul_intento_10_data
9,P9 (Inf-Der),16000.0,18000.0,266.66699999999946,1,1600.0000000000018,1600.0000000000018,reacción_normal,Raul_intento_10_data
1,P1 (Sup-Izq),0.0,2000.0,33.333,2,433.334,1000.0000000000001,reacción_rápida,Raul_intento_1_data
2,P2 (Sup-Cen),2000.0,4000.0,600.0,2,1766.6670000000004,1666.6665000000003,reacción_lenta,Raul_intento_1_data
3,P3 (Sup-Der),4000.0,6000.0,,1,,1766.6670000000004,sin_respuesta,Raul_intento_1_data
4,P4 (Med-Izq),6000.0,8000.0,533.3329999999996,1,1733.3339999999998,1733.3339999999998,reacción_lenta,Raul_intento_1_data
5,P5 (Med-Cen),8000.0,10000.0,433.33300000000054,2,1800.0,1766.667,reacción_lenta,Raul_intento_1_data
6,P6 (Med-Der),10000.0,12000.0,400.0,2,1800.0,1800.0,reacción_lenta,Raul_intento_1_data
7,P7 (Inf-Izq),12000.0,14000.0,400.0,2,1733.3330000000003,1766.6665000000003,reacción_lenta,Raul_intento_1_data
8,P8 (Inf-Cen),14000.0,16000.0,333.33300000000054,2,1833.333999999999,1783.3334999999997,reacción_lenta,Raul_intento_1_data
9,P9 (Inf-Der),16000.0,18000.0,333.33300000000054,2,1666.6669999999997,1750.0004999999992,reacción_lenta,Raul_intento_1_data
1,P1 (Sup-Izq),0.0,2000.0,33.333,2,333.33399999999995,866.6669999999999,reacción_rápida,Raul_intento_2_data
2,P2 (Sup-Cen),2000.0,4000.0,533.3330000000001,2,1733.3340000000003,1566.6670000000001,reacción_lenta,Raul_intento_2_data
3,P3 (Sup-Der),4000.0,6000.0,,1,,1733.3340000000003,sin_respuesta,Raul_intento_2_data
4,P4 (Med-Izq),6000.0,8000.0,466.66700000000037,1,1566.6659999999993,1566.6659999999993,reacción_lenta,Raul_intento_2_data
5,P5 (Med-Cen),8000.0,10000.0,400.0,2,1800.0,1683.3329999999996,reacción_lenta,Raul_intento_2_data
6,P6 (Med-Der),10000.0,12000.0,366.66699999999946,2,1800.0,1800.0,reacción_lenta,Raul_intento_2_data
7,P7 (Inf-Izq),12000.0,14000.0,366.66699999999946,2,1766.666000000001,1783.3330000000005,reacción_lenta,Raul_intento_2_data
