Metrica,Valor
tiempo_reaccion_promedio_positivo_ms,343.33
tiempo_anticipacion_promedio_ms,-144.44
tiempo_reaccion_promedio_total_ms,325.7
tiempo_reaccion_mediana_total_ms,333.33
tiempo_reaccion_std_total_ms,200.9
tiempo_reaccion_min_ms,-166.67
tiempo_reaccion_max_ms,900.0
conteo_total_respuestas,83.0
conteo_reacciones_positivas,80.0
conteo_anticipaciones,3.0
tasa_anticipacion_pct,3.61
duracion_promedio_primera_fijacion_total_ms,1425.7
duracion_promedio_primera_fijacion_reaccion_ms,1441.25
duracion_promedio_primera_fijacion_anticipacion_ms,1011.11
duracion_promedio_fijaciones_por_estimulo_ms,1554.35
numero_promedio_fijaciones_por_estimulo,1.9
conteo_estado_reacción_lenta,51.0
conteo_estado_reacción_normal,15.0
conteo_estado_reacción_rápida,14.0
conteo_estado_anticipación,3.0
