event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,833.333,800.0,0.0,6.494342113155807
f_2,fijacion,fijacion_valida,1000.0,1533.333,533.3330000000001,0.0,18.65491879968135
f_3,fijacion,fijacion_valida,1700.0,2000.0,300.0,0.0,5.304822529408011
f_5,fijacion,fijacion_valida,2300.0,2566.667,266.6669999999999,0.0,11.10558765440605
f_6,fijacion,fijacion_valida,2733.333,3266.667,533.3339999999998,0.0,4.411712493978459
f_7,fijacion,fijacion_valida,3433.333,3733.333,300.0,0.0,5.6135665221693785
f_9,fijacion,fijacion_valida,4233.333,5333.333,1100.0,0.0,14.093701924431741
f_13,fijacion,fijacion_valida,6233.333,6566.667,333.33400000000074,0.0,8.418045461920611
f_15,fijacion,fijacion_valida,6933.333,7900.0,966.6670000000004,0.0,7.806134973481562
f_18,fijacion,fijacion_valida,8500.0,12600.0,4100.0,0.0,0.0
