event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_3,fijacion,fijacion_valida,966.667,1733.333,766.666,0.0,4.647658802772798
f_4,fijacion,fijacion_valida,1900.0,2333.333,433.3330000000001,0.0,4.667897296088425
f_5,fijacion,fijacion_valida,2466.667,2833.333,366.66600000000017,0.0,4.210423337766631
f_6,fijacion,fijacion_valida,3000.0,3333.333,333.3330000000001,0.0,3.0029331632509373
f_7,fijacion,fijacion_valida,3500.0,3800.0,300.0,0.0,4.430782352217568
f_8,fijacion,fijacion_valida,3966.667,4300.0,333.3330000000001,0.0,4.549322875234603
f_9,fijacion,fijacion_valida,4466.667,4800.0,333.33299999999963,0.0,8.360416217534324
f_11,fijacion,fijacion_valida,5233.333,7066.667,1833.3340000000007,0.0,3.6872837767068822
f_12,fijacion,fijacion_valida,7200.0,8233.333,1033.3330000000005,0.0,3.7165332871900016
f_15,fijacion,fijacion_valida,8866.667,9533.333,666.6660000000011,0.0,5.172957929386979
f_17,fijacion,fijacion_valida,10066.667,10866.667,800.0,0.0,9.169549387434154
f_23,fijacion,fijacion_valida,12300.0,12633.333,333.33300000000054,0.0,5.441999102585092
f_25,fijacion,fijacion_valida,13166.667,13600.0,433.33300000000054,0.0,6.3038853018502445
f_26,fijacion,fijacion_valida,13666.667,14866.667,1200.0,0.0,4.606377034951843
f_28,fijacion,fijacion_valida,15400.0,16133.333,733.3330000000005,0.0,3.9033462581717893
f_29,fijacion,fijacion_valida,16300.0,16700.0,400.0,0.0,11.250345903791517
