,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,velocidad_promedio_general_deg_s,aceleracion_promedio_general_deg_s2,velocidad_promedio_entre_estimulos_deg_s,aceleracion_promedio_entre_estimulos_deg_s2,total_archivos_procesados
Rodelo_intento_10_data,500.0,17.466667,18.0,21.0,0.0,1.0305343314783524,1.2022900533914112,742.5924999999999,90.47619047619037,0.0,5.163709290514866,4.652858589470089,62.27918477790776,13.616866132858783,-0.05849369081611821,4.246708138697416,50.34549237907076,
Rodelo_intento_1_data,500.0,17.5,14.0,17.0,0.0,0.8,0.9714285714285714,1007.143,90.19617647058821,0.0,5.52981589709429,4.253899870629175,69.64367564555539,12.528617069627407,-0.6593597686265711,22.901885090969188,-0.24939116057748834,
Rodelo_intento_2_data,500.0,17.466667,14.0,13.0,0.0,0.8015267022609407,0.7442747949565879,1061.9047857142862,76.92307692307713,0.0,5.618179928485972,3.811650857349822,81.1869513762112,11.157954564086172,-0.05005753580953296,4.871135330826979,47.42615378884017,
Rodelo_intento_3_data,500.0,17.466667,13.0,14.0,0.0,0.7442747949565879,0.8015267022609407,1120.5127692307697,92.8572142857143,0.0,8.50767365679986,3.9495260496284645,91.9828139936819,13.4464043938193,0.42654688636519517,3.116597481699839,-31.77525936892936,
Rodelo_intento_4_data,500.0,17.466667,14.0,17.0,1.0,0.8015267022609407,0.9732824241739995,966.6665714285715,94.11764705882364,66.66699999999946,8.387810791360934,5.167509545030533,93.769329556466,16.71711417380534,-0.0751436154127689,11.69225902860882,55.646912688588145,
Rodelo_intento_5_data,500.0,17.466667,11.0,19.0,2.0,0.629770980347882,1.0877862387827053,1133.3333636363639,80.70168421052627,66.66699999999946,11.003090424010463,5.434287458496118,86.1458553731084,15.835602770760982,0.18724311173426725,40.698003963699215,604.0796338591863,
Rodelo_intento_6_data,500.0,17.466667,17.0,21.0,0.0,0.9732824241739995,1.2022900533914112,768.6274705882356,84.12700000000008,0.0,9.615567255937279,4.857843971149607,70.10398326330089,14.337701135075145,1.0798073844851703,8.667434951305713,0.6850470700204454,
Rodelo_intento_7_data,500.0,17.466667,18.0,15.0,0.0,1.0305343314783524,0.8587786095652936,816.6666111111114,91.11100000000025,0.0,6.041561273649168,5.063518593928746,70.56918003185186,12.527284422418013,0.40205348432480453,9.268576437661888,-233.43657430442607,
Rodelo_intento_8_data,500.0,17.466667,13.0,21.0,0.0,0.7442747949565879,1.2022900533914112,941.0254615384615,87.30152380952383,0.0,9.36886566819746,4.384902003116573,65.5916582950762,13.650097006989212,1.1473899513585566,5.747860056110904,59.87265090472456,
Rodelo_intento_9_data,500.0,17.466667,16.0,26.0,2.0,0.9160305168696465,1.4885495899131758,643.7497500000002,83.3333461538463,66.6664999999997,5.062413692618023,5.445107001683361,63.95719764377654,16.3685381781156,-0.15079290098268086,4.105170531752142,-65.34453127188513,
PROMEDIO_GENERAL,500.0,17.470000300000002,14.8,18.4,0.5,0.847175557878329,1.0532497091255508,920.22222832478,87.11448593882903,20.000049999999863,7.429868787866832,4.702110394048249,75.52298299569361,14.018617984755597,0.22491933066203215,11.53156310113321,48.72501345846124,10.0
