event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_52,sacadico,sacadico,1766.667,1866.667,100.0,3.2944302703172736,43.03710830750023
s_58,sacadico,sacadico,1966.667,2066.667,100.0,5.478129246663433,44.512544291455626
s_75,sacadico,sacadico,2533.333,2600.0,66.66699999999992,4.266890391402747,82.26978576853688
s_119,sacadico,sacadico,4000.0,4100.0,100.0,7.148015649588676,79.8663304692757
s_168,sacadico,sacadico,5633.333,5733.333,100.0,8.842117950078467,110.0482909459356
s_220,sacadico,sacadico,7366.667,7466.667,100.0,18.229132449212223,176.8399351305044
s_266,sacadico,sacadico,8900.0,9033.333,133.33300000000054,6.607578875168437,49.84330871756565
s_323,sacadico,sacadico,10800.0,10900.0,100.0,7.20710108343018,73.19542986907676
s_376,sacadico,sacadico,12566.667,12666.667,100.0,19.715210940380633,183.2843149891156
s_428,sacadico,sacadico,14300.0,14400.0,100.0,5.093467053859141,71.45556269367306
s_478,sacadico,sacadico,15966.667,16066.667,100.0,10.495942431821678,100.04437555857687
s_511,sacadico,sacadico,17066.667,17133.333,66.66599999999744,9.087007559146919,101.37602488696763
s_515,sacadico,sacadico,17200.0,17266.667,66.66700000000128,0.1846778252454655,69.54798159153601
