event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_52,sacadico,sacadico,2233.333,2333.333,100.0,8.10165976336478,84.18522482780662
s_82,sacadico,sacadico,3233.333,3333.333,100.0,9.782027643888737,93.75399308008369
s_112,sacadico,sacadico,4233.333,4300.0,66.66700000000037,2.3768312803048754,37.1728217457107
s_117,sacadico,sacadico,4400.0,4466.667,66.66700000000037,4.161356615296804,72.68245213462063
s_130,sacadico,sacadico,4833.333,4933.333,100.0,2.531736863614754,25.790318021695526
s_177,sacadico,sacadico,6400.0,6500.0,100.0,12.631209350858693,150.89781551540028
s_234,sacadico,sacadico,8300.0,8400.0,100.0,7.388619276331389,77.02486790680055
s_293,sacadico,sacadico,10266.667,10366.667,100.0,9.578270988823105,88.73616460683046
s_354,sacadico,sacadico,12300.0,12366.667,66.66699999999946,11.594661325627563,192.56663786499635
s_412,sacadico,sacadico,14233.333,14333.333,100.0,6.550548925448747,75.4770775639432
s_471,sacadico,sacadico,16200.0,16266.667,66.66699999999946,5.045010714038146,102.18183403413275
s_505,sacadico,sacadico,17333.333,17433.333,100.0,3.776447429136129,37.14932088382951
