estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1266.667,1266.667,reacción_rápida,Sanchez_intento_10_data
2,P2 (Sup-Cen),2500.0,4500.0,400.0,3,400.0,1055.5553333333335,reacción_lenta,Sanchez_intento_10_data
3,P3 (Sup-Der),4500.0,6500.0,-33.33299999999963,1,1833.333,1833.333,anticipación_leve,Sanchez_intento_10_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,1,1766.6660000000002,1766.6660000000002,reacción_rápida,Sanchez_intento_10_data
5,P5 (Med-Cen),8500.0,10500.0,0.0,2,1733.3330000000003,1800.0,reacción_rápida,Sanchez_intento_10_data
6,P6 (Med-Der),10500.0,12500.0,-100.0,2,1866.6669999999997,1783.3334999999997,anticipación,Sanchez_intento_10_data
7,P7 (Inf-Izq),12500.0,14500.0,-33.33300000000054,2,1700.0,1783.3334999999997,anticipación_leve,Sanchez_intento_10_data
8,P8 (Inf-Cen),14500.0,16500.0,-166.66699999999946,2,1866.6669999999997,1750.0,anticipación,Sanchez_intento_10_data
9,P9 (Inf-Der),16500.0,18500.0,-133.33300000000054,1,1633.3330000000003,1633.3330000000003,anticipación,Sanchez_intento_10_data
1,P1 (Sup-Izq),500.0,2500.0,533.3330000000001,1,1333.3339999999998,1333.3339999999998,reacción_lenta,Sanchez_intento_1_data
2,P2 (Sup-Cen),2500.0,4500.0,33.333000000000084,1,1833.3340000000003,1833.3340000000003,reacción_rápida,Sanchez_intento_1_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,1,1800.0,1800.0,reacción_rápida,Sanchez_intento_1_data
4,P4 (Med-Izq),6500.0,8500.0,33.33299999999963,1,1800.000000000001,1800.000000000001,reacción_rápida,Sanchez_intento_1_data
5,P5 (Med-Cen),8500.0,10500.0,0.0,2,1766.6669999999997,1783.3334999999997,reacción_rápida,Sanchez_intento_1_data
6,P6 (Med-Der),10500.0,12500.0,-66.66699999999946,2,1800.0,1800.0,anticipación,Sanchez_intento_1_data
7,P7 (Inf-Izq),12500.0,14500.0,-66.66699999999946,2,1800.0,1800.0,anticipación,Sanchez_intento_1_data
8,P8 (Inf-Cen),14500.0,16500.0,-100.0,2,1800.0,1716.6665000000003,anticipación,Sanchez_intento_1_data
9,P9 (Inf-Der),16500.0,18500.0,-133.33300000000054,1,1633.3330000000003,1633.3330000000003,anticipación,Sanchez_intento_1_data
1,P1 (Sup-Izq),500.0,2500.0,333.33299999999997,2,266.66700000000003,700.0,reacción_lenta,Sanchez_intento_2_data
2,P2 (Sup-Cen),2500.0,4500.0,200.0,2,1000.0,733.3329999999999,reacción_normal,Sanchez_intento_2_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,2,1033.3329999999996,783.3329999999996,reacción_rápida,Sanchez_intento_2_data
4,P4 (Med-Izq),6500.0,8500.0,33.33299999999963,2,1766.6670000000004,1766.6665000000007,reacción_rápida,Sanchez_intento_2_data
5,P5 (Med-Cen),8500.0,10500.0,-33.33300000000054,1,1766.666000000001,1766.666000000001,anticipación_leve,Sanchez_intento_2_data
6,P6 (Med-Der),10500.0,12500.0,233.33300000000054,2,1466.6669999999997,1633.3334999999997,reacción_normal,Sanchez_intento_2_data
7,P7 (Inf-Izq),12500.0,14500.0,-100.0,2,1800.0,1800.0,anticipación,Sanchez_intento_2_data
8,P8 (Inf-Cen),14500.0,16500.0,-133.33300000000054,2,1800.0,1700.000000000001,anticipación,Sanchez_intento_2_data
9,P9 (Inf-Der),16500.0,18500.0,-133.33300000000054,1,1600.0000000000018,1600.0000000000018,anticipación,Sanchez_intento_2_data
1,P1 (Sup-Izq),500.0,2500.0,100.0,1,1733.333,1733.333,reacción_rápida,Sanchez_intento_3_data
2,P2 (Sup-Cen),2500.0,4500.0,166.66699999999992,2,1633.333,1199.9994999999997,reacción_normal,Sanchez_intento_3_data
3,P3 (Sup-Der),4500.0,6500.0,-33.33299999999963,3,766.6659999999993,1022.2219999999999,anticipación_leve,Sanchez_intento_3_data
4,P4 (Med-Izq),6500.0,8500.0,-33.33299999999963,2,1833.333,1783.333,anticipación_leve,Sanchez_intento_3_data
5,P5 (Med-Cen),8500.0,10500.0,-33.33300000000054,2,1733.3330000000003,1783.3330000000003,anticipación_leve,Sanchez_intento_3_data
6,P6 (Med-Der),10500.0,12500.0,-133.33300000000054,2,1833.3330000000003,1800.0,anticipación,Sanchez_intento_3_data
7,P7 (Inf-Izq),12500.0,14500.0,-100.0,2,1766.6669999999997,1800.0004999999992,anticipación,Sanchez_intento_3_data
8,P8 (Inf-Cen),14500.0,16500.0,-166.66699999999946,2,1833.333999999999,1733.3339999999998,anticipación,Sanchez_intento_3_data
9,P9 (Inf-Der),16500.0,18500.0,-166.66699999999946,1,1633.3340000000007,1633.3340000000007,anticipación,Sanchez_intento_3_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1833.333,1833.333,reacción_rápida,Sanchez_intento_4_data
2,P2 (Sup-Cen),2500.0,4500.0,466.6669999999999,1,1366.6659999999997,1366.6659999999997,reacción_lenta,Sanchez_intento_4_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,3,333.33299999999963,1155.555333333333,reacción_rápida,Sanchez_intento_4_data
4,P4 (Med-Izq),6500.0,8500.0,-100.0,2,1900.0,1783.3330000000005,anticipación,Sanchez_intento_4_data
5,P5 (Med-Cen),8500.0,10500.0,-33.33300000000054,2,1666.666000000001,1683.3330000000005,anticipación_leve,Sanchez_intento_4_data
6,P6 (Med-Der),10500.0,12500.0,-33.33300000000054,2,1700.0,1616.6665000000003,anticipación_leve,Sanchez_intento_4_data
7,P7 (Inf-Izq),12500.0,14500.0,-133.33300000000054,2,1533.3330000000003,1816.6665000000003,anticipación,Sanchez_intento_4_data
8,P8 (Inf-Cen),14500.0,16500.0,-433.33300000000054,2,2100.0,1866.6670000000004,anticipación,Sanchez_intento_4_data
9,P9 (Inf-Der),16500.0,18500.0,-166.66699999999946,1,1633.3340000000007,1633.3340000000007,anticipación,Sanchez_intento_4_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1200.0,750.0,reacción_rápida,Sanchez_intento_5_data
