Metrica,Valor
tiempo_reaccion_promedio_positivo_ms,107.41
tiempo_anticipacion_promedio_ms,-141.98
tiempo_reaccion_promedio_total_ms,-42.22
tiempo_reaccion_mediana_total_ms,-50.0
tiempo_reaccion_std_total_ms,189.01
tiempo_reaccion_min_ms,-633.33
tiempo_reaccion_max_ms,533.33
conteo_total_respuestas,90.0
conteo_reacciones_positivas,36.0
conteo_anticipaciones,54.0
tasa_anticipacion_pct,60.0
duracion_promedio_primera_fijacion_total_ms,1568.52
duracion_promedio_primera_fijacion_reaccion_ms,1392.59
duracion_promedio_primera_fijacion_anticipacion_ms,1685.8
duracion_promedio_fijaciones_por_estimulo_ms,1581.67
numero_promedio_fijaciones_por_estimulo,1.73
conteo_estado_anticipación,45.0
conteo_estado_reacción_rápida,26.0
conteo_estado_anticipación_leve,9.0
conteo_estado_reacción_lenta,7.0
conteo_estado_reacción_normal,3.0
