event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_56,sacadico,sacadico,2366.667,2466.667,100.0,7.77348476925078,70.91749978675212
s_109,sacadico,sacadico,4133.333,4233.333,100.0,1.1311539911333495,29.141975829256474
s_115,sacadico,sacadico,4333.333,4400.0,66.66700000000037,2.977698343650266,47.86093089218332
s_175,sacadico,sacadico,6333.333,6433.333,100.0,14.672766965756958,137.74874262487006
s_228,sacadico,sacadico,8100.0,8166.667,66.66700000000037,3.0662418180062994,49.128198589425814
s_235,sacadico,sacadico,8333.333,8400.0,66.66699999999946,2.2750929605735775,36.45846649734225
s_293,sacadico,sacadico,10266.667,10333.333,66.66600000000108,4.428703692508347,81.5618221772599
s_349,sacadico,sacadico,12133.333,12200.0,66.66699999999946,2.9542763366430194,47.21106353761337
s_354,sacadico,sacadico,12300.0,12400.0,100.0,11.124724579988996,107.07020392501894
s_407,sacadico,sacadico,14066.667,14133.333,66.66600000000108,1.5306113126110727,33.6564645504131
s_411,sacadico,sacadico,14200.0,14300.0,100.0,3.0211909808320856,30.423738749858693
s_467,sacadico,sacadico,16066.667,16166.667,100.0,5.0797816510046605,52.492260690049754
