,offset_aplicado_ms,duracion_analizada_seg,conteo_fijaciones,conteo_sacadicos,conteo_parpadeos,frecuencia_fijaciones_hz,frecuencia_sacadicos_hz,duracion_media_fij_ms,duracion_media_sac_ms,duracion_media_parpadeo_ms,amplitud_media_sac_deg,vel_media_fij_deg_s,vel_media_sac_deg_s,total_archivos_procesados
Stephanie_experimento_1_intento_9_data,500.0,17.5,9.0,8.0,0.0,0.5142857142857142,0.45714285714285713,1722.2221111111112,91.66662499999984,0.0,6.867739114855125,3.491891543275347,80.80858938448674,
Stephanie_experimento_1_intento_3_data,500.0,17.466667,9.0,9.0,0.0,0.5152671657391762,0.5152671657391762,1770.3702222222223,77.77744444444446,0.0,5.8826220449633135,3.22728909979782,90.52209122609052,
Stephanie_experimento_1_intento_6_data,500.0,17.5,9.0,9.0,0.0,0.5142857142857142,0.5142857142857142,1770.3703333333333,88.88888888888879,0.0,6.840568778264058,3.777661150270056,82.85609225534284,
Stephanie_experimento_1_intento_8_data,500.0,17.5,11.0,10.0,0.0,0.6285714285714286,0.5714285714285714,1409.0909090909092,86.66679999999982,0.0,6.3769215717442735,3.186318776480759,74.35326919509993,
Stephanie_experimento_1_intento_10_data,500.0,17.5,10.0,8.0,1.0,0.5714285714285714,0.45714285714285713,1580.0000000000002,83.33337499999993,133.33299999999872,6.0984339600653,4.486030685485291,83.95919682746722,
Stephanie_experimento_1_intento_4_data,500.0,17.466667,9.0,8.0,0.0,0.5152671657391762,0.45801525843482327,1755.5554444444447,83.33325000000013,0.0,7.049786093178031,3.6886432784179877,91.77710567807716,
Stephanie_experimento_1_intento_2_data,500.0,17.466667,9.0,8.0,0.0,0.5152671657391762,0.45801525843482327,1777.777777777778,95.83337500000005,0.0,6.4277253632518825,4.317543974518564,78.85996350301576,
Stephanie_experimento_1_intento_5_data,500.0,17.466667,9.0,12.0,0.0,0.5152671657391762,0.687022887652235,1707.4074444444445,83.33333333333348,0.0,5.002977283496618,3.668575423354513,60.305947320836985,
Stephanie_experimento_1_intento_7_data,500.0,17.466667,9.0,9.0,0.0,0.5152671657391762,0.5152671657391762,1766.6666666666667,88.88866666666682,0.0,7.331151805706061,3.6910028984671808,82.95356910357673,
Stephanie_experimento_1_intento_1_data,500.0,17.533333,10.0,9.0,0.0,0.5703422161662018,0.5133079945495816,1596.6668,85.18533333333326,0.0,7.215870355744229,3.314621656652374,85.07876022353089,
PROMEDIO_GENERAL,500.0,17.486666800000002,9.4,9.0,0.1,0.537524947343351,0.5146895730549815,1685.612770909091,86.49070916666666,13.333299999999872,6.509379637126889,3.6849578486719894,81.14745847175247,10.0
