estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
1,P1 (Sup-Izq),500.0,2500.0,100.0,2,1700.0,1783.333,reacción_rápida,Sthepanie_intento_3_data
2,P2 (Sup-Cen),2500.0,4500.0,-33.333000000000084,1,1866.666,1866.666,anticipación_leve,Sthepanie_intento_3_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,1,1900.0,1900.0,reacción_rápida,Sthepanie_intento_3_data
4,P4 (Med-Izq),6500.0,8500.0,100.0,2,1166.6670000000004,1450.0005,reacción_rápida,Sthepanie_intento_3_data
5,P5 (Med-Cen),8500.0,10500.0,-566.6670000000004,2,1733.3339999999998,1200.0004999999996,anticipación,Sthepanie_intento_3_data
6,P6 (Med-Der),10500.0,12500.0,166.66699999999946,1,1833.3330000000003,1833.3330000000003,reacción_normal,Sthepanie_intento_3_data
7,P7 (Inf-Izq),12500.0,14500.0,200.0,2,1133.3330000000003,899.9999999999999,reacción_normal,Sthepanie_intento_3_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1866.6669999999997,1266.6669999999995,reacción_normal,Sthepanie_intento_3_data
9,P9 (Inf-Der),16500.0,18500.0,300.0,2,1700.0,1783.3334999999997,reacción_normal,Sthepanie_intento_3_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,3,566.6669999999999,822.2223333333333,reacción_rápida,Sthepanie_intento_1_data
2,P2 (Sup-Cen),2500.0,4500.0,-100.0,3,966.667,888.889,anticipación,Sthepanie_intento_1_data
3,P3 (Sup-Der),4500.0,6500.0,-433.3330000000001,2,1233.333,1116.6665,anticipación,Sthepanie_intento_1_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,1,1866.666,1866.666,reacción_rápida,Sthepanie_intento_1_data
5,P5 (Med-Cen),8500.0,10500.0,100.0,1,1466.6669999999997,1466.6669999999997,reacción_rápida,Sthepanie_intento_1_data
6,P6 (Med-Der),10500.0,12500.0,33.33300000000054,2,1266.6669999999997,1100.0004999999992,reacción_rápida,Sthepanie_intento_1_data
7,P7 (Inf-Izq),12500.0,14500.0,-266.66699999999946,2,933.3339999999988,1766.6669999999995,anticipación,Sthepanie_intento_1_data
8,P8 (Inf-Cen),14500.0,16500.0,-900.0,2,2600.0,2350.000000000001,anticipación,Sthepanie_intento_1_data
9,P9 (Inf-Der),16500.0,18500.0,-133.33300000000054,1,2100.000000000002,2100.000000000002,anticipación,Sthepanie_intento_1_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,3,400.0,1166.6666666666665,reacción_rápida,Sthepanie_intento_4_data
2,P2 (Sup-Cen),2500.0,4500.0,-66.66699999999992,1,1899.9999999999995,1899.9999999999995,anticipación,Sthepanie_intento_4_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,1,1866.6670000000004,1866.6670000000004,reacción_rápida,Sthepanie_intento_4_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,1,1833.333,1833.333,reacción_rápida,Sthepanie_intento_4_data
