Metrica,Valor
tiempo_reaccion_promedio_positivo_ms,103.45
tiempo_anticipacion_promedio_ms,-287.5
tiempo_reaccion_promedio_total_ms,-35.56
tiempo_reaccion_mediana_total_ms,33.33
tiempo_reaccion_std_total_ms,257.45
tiempo_reaccion_min_ms,-900.0
tiempo_reaccion_max_ms,300.0
conteo_total_respuestas,45.0
conteo_reacciones_positivas,29.0
conteo_anticipaciones,16.0
tasa_anticipacion_pct,35.56
duracion_promedio_primera_fijacion_total_ms,1617.78
duracion_promedio_primera_fijacion_reaccion_ms,1522.99
duracion_promedio_primera_fijacion_anticipacion_ms,1789.58
duracion_promedio_fijaciones_por_estimulo_ms,1616.91
numero_promedio_fijaciones_por_estimulo,1.67
conteo_estado_reacción_rápida,20.0
conteo_estado_anticipación,13.0
conteo_estado_reacción_normal,9.0
conteo_estado_anticipación_leve,3.0
