event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_2,fijacion,fijacion_valida,700.0,2400.0,1700.0,0.0,6.477837632229472
f_3,fijacion,fijacion_valida,2566.667,3133.333,566.6660000000002,0.0,4.661150011006642
f_4,fijacion,fijacion_valida,3366.667,3866.667,500.0,0.0,5.220469531770736
f_7,fijacion,fijacion_valida,4466.667,5800.0,1333.3329999999996,0.0,3.925240627125617
f_12,fijacion,fijacion_valida,6833.333,7533.333,700.0,0.0,6.0585037012028895
f_14,fijacion,fijacion_valida,7833.333,9066.667,1233.3339999999998,0.0,8.446437357430515
f_15,fijacion,fijacion_valida,9200.0,10333.333,1133.3330000000005,0.0,5.616507045783452
f_19,fijacion,fijacion_valida,11100.0,12133.333,1033.3330000000005,0.0,4.79315448255924
f_20,fijacion,fijacion_valida,12300.0,13966.667,1666.6669999999995,0.0,3.890694462639886
f_22,fijacion,fijacion_valida,14266.667,15666.667,1400.0,0.0,5.473332693739419
f_24,fijacion,fijacion_valida,16133.333,16766.667,633.3340000000007,0.0,3.2213812681163048
f_25,fijacion,fijacion_valida,16933.333,17566.667,633.3340000000026,0.0,4.85295798731862
f_28,fijacion,fijacion_valida,18066.667,18500.0,433.3329999999987,0.0,6.836251793537987
