event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_26,sacadico,sacadico,1366.667,1433.333,66.66600000000017,2.4456780752992464,40.13680367875476
s_53,sacadico,sacadico,2266.667,2366.667,100.0,2.6561852867029616,28.174981791358114
s_86,sacadico,sacadico,3366.667,3433.333,66.66600000000017,1.6754545587435825,40.926257013237
s_101,sacadico,sacadico,3866.667,3933.333,66.66600000000017,2.1593573140052524,52.76313229472831
s_124,sacadico,sacadico,4633.333,4700.0,66.66700000000037,2.4167814561922785,70.05956597074892
s_130,sacadico,sacadico,4833.333,4933.333,100.0,5.743032090636189,64.84751590763209
s_150,sacadico,sacadico,5500.0,5600.0,100.0,8.01595374938887,90.68420749052744
s_160,sacadico,sacadico,5833.333,5933.333,100.0,3.476492816188097,41.68093739682951
s_227,sacadico,sacadico,8066.667,8166.667,100.0,3.666312374158184,42.26157355437748
s_279,sacadico,sacadico,9800.0,9866.667,66.66699999999946,2.655171756335995,46.95533589850501
s_299,sacadico,sacadico,10466.667,10533.333,66.66600000000108,2.4019969145823508,37.36473350999085
s_361,sacadico,sacadico,12533.333,12633.333,100.0,16.176335952613563,157.38585295405284
s_424,sacadico,sacadico,14633.333,14700.0,66.66699999999946,4.474287341811682,86.6981213486369
s_487,sacadico,sacadico,16733.333,16800.0,66.66700000000128,90.0,60.48821368785095
s_492,sacadico,sacadico,16900.0,16966.667,66.66700000000128,3.6534672876860848,68.26984903616584
s_527,sacadico,sacadico,18066.667,18166.667,100.0,5.698799813028106,62.36354892465505
