estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
1,P1 (Sup-Izq),500.0,2500.0,166.66700000000003,1,1733.333,1733.333,reacción_normal,Venegas_intento_1_data
2,P2 (Sup-Cen),2500.0,4500.0,100.0,3,566.6669999999999,699.9999999999999,reacción_rápida,Venegas_intento_1_data
3,P3 (Sup-Der),4500.0,6500.0,-33.33299999999963,2,833.3329999999996,599.9994999999994,anticipación_leve,Venegas_intento_1_data
4,P4 (Med-Izq),6500.0,8500.0,133.33299999999963,2,933.3340000000009,1066.6670000000008,reacción_rápida,Venegas_intento_1_data
5,P5 (Med-Cen),8500.0,10500.0,600.0,2,1233.3330000000003,1216.6665000000007,reacción_lenta,Venegas_intento_1_data
6,P6 (Med-Der),10500.0,12500.0,633.3330000000005,2,1000.0,1316.6669999999995,reacción_lenta,Venegas_intento_1_data
7,P7 (Inf-Izq),12500.0,14500.0,-166.66699999999946,2,1633.333999999999,1516.6669999999995,anticipación,Venegas_intento_1_data
8,P8 (Inf-Cen),14500.0,16500.0,-233.33300000000054,2,1400.0,966.6670000000004,anticipación,Venegas_intento_1_data
9,P9 (Inf-Der),16500.0,18500.0,300.0,3,800.0,688.8889999999998,reacción_normal,Venegas_intento_1_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,4,533.3330000000001,791.66675,reacción_rápida,Venegas_intento_10_data
2,P2 (Sup-Cen),2500.0,4500.0,-33.333000000000084,2,1633.333,1049.9994999999997,anticipación_leve,Venegas_intento_10_data
3,P3 (Sup-Der),4500.0,6500.0,-233.33299999999963,2,466.66599999999926,999.9994999999994,anticipación,Venegas_intento_10_data
4,P4 (Med-Izq),6500.0,8500.0,366.66700000000037,2,1233.3329999999996,1099.9995000000004,reacción_lenta,Venegas_intento_10_data
5,P5 (Med-Cen),8500.0,10500.0,-233.33300000000054,2,966.6660000000012,749.9995000000008,anticipación,Venegas_intento_10_data
6,P6 (Med-Der),10500.0,12500.0,-300.0,3,533.3330000000005,533.3330000000005,anticipación,Venegas_intento_10_data
7,P7 (Inf-Izq),12500.0,14500.0,0.0,1,1133.3330000000003,1133.3330000000003,reacción_rápida,Venegas_intento_10_data
8,P8 (Inf-Cen),14500.0,16500.0,,2,,550.0,sin_respuesta,Venegas_intento_10_data
9,P9 (Inf-Der),16500.0,18500.0,-200.0,1,600.0,600.0,anticipación,Venegas_intento_10_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,666.6669999999999,1333.3335,reacción_rápida,Venegas_intento_9_data
2,P2 (Sup-Cen),2500.0,4500.0,,3,,1033.3333333333333,sin_respuesta,Venegas_intento_9_data
3,P3 (Sup-Der),4500.0,6500.0,-66.66700000000037,2,466.6670000000004,866.6664999999998,anticipación,Venegas_intento_9_data
4,P4 (Med-Izq),6500.0,8500.0,33.33299999999963,2,733.3340000000007,1033.3335000000002,reacción_rápida,Venegas_intento_9_data
5,P5 (Med-Cen),8500.0,10500.0,666.6669999999995,3,600.0,744.4443333333332,reacción_lenta,Venegas_intento_9_data
6,P6 (Med-Der),10500.0,12500.0,100.0,2,1366.6669999999997,1416.6669999999997,reacción_rápida,Venegas_intento_9_data
7,P7 (Inf-Izq),12500.0,14500.0,-66.66699999999946,2,1466.6669999999997,1533.3334999999997,anticipación,Venegas_intento_9_data
8,P8 (Inf-Cen),14500.0,16500.0,-233.33300000000054,2,1600.0,1316.6670000000004,anticipación,Venegas_intento_9_data
9,P9 (Inf-Der),16500.0,18500.0,733.3329999999987,2,766.6670000000013,900.000500000001,reacción_lenta,Venegas_intento_9_data
1,P1 (Sup-Izq),500.0,2500.0,,0,,,sin_respuesta,Venegas_intento_6_data
2,P2 (Sup-Cen),2500.0,4500.0,500.0,2,633.3330000000001,533.3329999999999,reacción_lenta,Venegas_intento_6_data
