Metrica,Valor
tiempo_reaccion_promedio_positivo_ms,325.93
tiempo_anticipacion_promedio_ms,-133.33
tiempo_reaccion_promedio_total_ms,188.74
tiempo_reaccion_mediana_total_ms,100.0
tiempo_reaccion_std_total_ms,309.39
tiempo_reaccion_min_ms,-300.0
tiempo_reaccion_max_ms,933.33
conteo_total_respuestas,77.0
conteo_reacciones_positivas,54.0
conteo_anticipaciones,23.0
tasa_anticipacion_pct,29.87
duracion_promedio_primera_fijacion_total_ms,859.74
duracion_promedio_primera_fijacion_reaccion_ms,830.25
duracion_promedio_primera_fijacion_anticipacion_ms,928.99
duracion_promedio_fijaciones_por_estimulo_ms,897.51
numero_promedio_fijaciones_por_estimulo,2.08
conteo_estado_reacción_lenta,21.0
conteo_estado_reacción_rápida,17.0
conteo_estado_anticipación,17.0
conteo_estado_reacción_normal,16.0
conteo_estado_anticipación_leve,6.0
