Archivo,Estimulo_N,T_Estimulo,T_Reaccion,Latencia_ms
Victor_9_puntos_intento_10_data.csv,2,1.9997,2.516667,516.967
Victor_9_puntos_intento_10_data.csv,3,4.0021,4.591667,589.5669999999998
Victor_9_puntos_intento_10_data.csv,4,6.0011,6.641667,640.5669999999999
Victor_9_puntos_intento_10_data.csv,5,8.0001,8.383333,383.23300000000063
Victor_9_puntos_intento_10_data.csv,6,10.0006,10.708333,707.7329999999993
Victor_9_puntos_intento_10_data.csv,7,12.0007,12.85,849.2999999999995
Victor_9_puntos_intento_10_data.csv,8,14.0007,14.791667,790.9670000000002
Victor_9_puntos_intento_10_data.csv,9,16.0011,16.866667,865.5669999999986
Victor_9_puntos_intento_1_data.csv,2,2.0008,2.55,549.1999999999999
Victor_9_puntos_intento_1_data.csv,3,4.0023,4.583333,581.0329999999997
Victor_9_puntos_intento_1_data.csv,4,6.0005,6.6,599.4999999999999
Victor_9_puntos_intento_1_data.csv,5,8.0007,8.625,624.2999999999998
Victor_9_puntos_intento_1_data.csv,6,10.0009,10.375,374.1000000000003
Victor_9_puntos_intento_1_data.csv,7,12.0015,12.658333,656.8330000000007
Victor_9_puntos_intento_1_data.csv,8,14.0006,14.791667,791.067
Victor_9_puntos_intento_1_data.csv,9,15.999,16.841667,842.6670000000005
Victor_9_puntos_intento_2_data.csv,2,2.0013,2.491667,490.367
Victor_9_puntos_intento_2_data.csv,3,4.0004,4.533333,532.9329999999999
Victor_9_puntos_intento_2_data.csv,4,6.0012,6.658333,657.1329999999999
Victor_9_puntos_intento_2_data.csv,5,8.0,8.65,650.0000000000003
Victor_9_puntos_intento_2_data.csv,6,10.0008,10.683333000000001,682.5330000000012
Victor_9_puntos_intento_2_data.csv,7,12.0015,12.825,823.4999999999992
Victor_9_puntos_intento_2_data.csv,8,14.0008,14.841667,840.8669999999994
Victor_9_puntos_intento_2_data.csv,9,16.0013,16.833333,832.0329999999991
Victor_9_puntos_intento_3_data.csv,2,1.9995,2.516667,517.1669999999999
Victor_9_puntos_intento_3_data.csv,3,4.0001,4.533333,533.2330000000001
Victor_9_puntos_intento_3_data.csv,4,6.0012,6.65,648.8000000000005
Victor_9_puntos_intento_3_data.csv,5,8.0005,8.65,649.4999999999998
Victor_9_puntos_intento_3_data.csv,6,10.0008,10.725,724.1999999999997
