event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,300.0,266.66700000000003,0.0,1.5428925417303643
f_2,fijacion,fijacion_valida,500.0,2300.0,1800.0,0.0,3.947180696021409
f_3,fijacion,fijacion_valida,2500.0,2900.0,400.0,0.0,0.9130673002062145
f_4,fijacion,fijacion_valida,3066.667,4300.0,1233.333,0.0,5.737755770656473
f_5,fijacion,fijacion_valida,4500.0,6366.667,1866.6670000000004,0.0,2.4023619354148753
f_6,fijacion,fijacion_valida,6566.667,8400.0,1833.3329999999996,0.0,3.075212650896408
f_7,fijacion,fijacion_valida,8600.0,10166.667,1566.6669999999995,0.0,2.6311301264304814
f_9,fijacion,fijacion_valida,10600.0,12033.333,1433.3330000000005,0.0,3.4096756962176187
f_11,fijacion,fijacion_valida,12466.667,14533.333,2066.666000000001,0.0,2.2040432403967074
f_12,fijacion,fijacion_valida,14733.333,16600.0,1866.6669999999995,0.0,2.647055876000492
f_13,fijacion,fijacion_valida,16800.0,18500.0,1700.0,0.0,1.2444717465352892
