estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1800.0,1800.0,reacción_rápida,Victor3_intento_2_data
2,P2 (Sup-Cen),2500.0,4500.0,233.33300000000008,1,1633.3340000000003,1633.3340000000003,reacción_normal,Victor3_intento_2_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,1,1833.3340000000007,1833.3340000000007,reacción_rápida,Victor3_intento_2_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,2,1633.3329999999996,1716.6664999999998,reacción_rápida,Victor3_intento_2_data
5,P5 (Med-Cen),8500.0,10500.0,-133.33300000000054,2,1800.0,1966.6669999999995,anticipación,Victor3_intento_2_data
6,P6 (Med-Der),10500.0,12500.0,-166.66699999999946,1,2133.333999999999,2133.333999999999,anticipación,Victor3_intento_2_data
7,P7 (Inf-Izq),12500.0,14500.0,200.0,1,1866.6669999999997,1866.6669999999997,reacción_normal,Victor3_intento_2_data
8,P8 (Inf-Cen),14500.0,16500.0,266.66699999999946,2,1533.3330000000003,1700.0,reacción_normal,Victor3_intento_2_data
9,P9 (Inf-Der),16500.0,18500.0,233.33299999999872,2,1400.0,833.3335000000006,reacción_normal,Victor3_intento_2_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1766.667,1766.667,reacción_rápida,Victor3_intento_5_data
2,P2 (Sup-Cen),2500.0,4500.0,133.33300000000008,1,1699.9999999999995,1699.9999999999995,reacción_rápida,Victor3_intento_5_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,1,1833.3340000000007,1833.3340000000007,reacción_rápida,Victor3_intento_5_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,1,1899.999999999999,1899.999999999999,reacción_rápida,Victor3_intento_5_data
5,P5 (Med-Cen),8500.0,10500.0,133.33300000000054,1,1866.6669999999997,1866.6669999999997,reacción_rápida,Victor3_intento_5_data
6,P6 (Med-Der),10500.0,12500.0,166.66699999999946,1,1900.0,1900.0,reacción_normal,Victor3_intento_5_data
7,P7 (Inf-Izq),12500.0,14500.0,266.66699999999946,2,1800.0,1850.0,reacción_normal,Victor3_intento_5_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1633.333999999999,1716.6669999999995,reacción_normal,Victor3_intento_5_data
9,P9 (Inf-Der),16500.0,18500.0,66.66700000000128,1,1933.3329999999987,1933.3329999999987,reacción_rápida,Victor3_intento_5_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1866.667,1866.667,reacción_rápida,Victor3_intento_1_data
