Metrica,Valor
tiempo_reaccion_promedio_positivo_ms,130.16
tiempo_anticipacion_promedio_ms,-111.11
tiempo_reaccion_promedio_total_ms,114.07
tiempo_reaccion_mediana_total_ms,100.0
tiempo_reaccion_std_total_ms,110.44
tiempo_reaccion_min_ms,-166.67
tiempo_reaccion_max_ms,300.0
conteo_total_respuestas,45.0
conteo_reacciones_positivas,42.0
conteo_anticipaciones,3.0
tasa_anticipacion_pct,6.67
duracion_promedio_primera_fijacion_total_ms,1760.74
duracion_promedio_primera_fijacion_reaccion_ms,1743.65
duracion_promedio_primera_fijacion_anticipacion_ms,2000.0
duracion_promedio_fijaciones_por_estimulo_ms,1782.59
numero_promedio_fijaciones_por_estimulo,1.33
conteo_estado_reacción_rápida,24.0
conteo_estado_reacción_normal,18.0
conteo_estado_anticipación,2.0
conteo_estado_anticipación_leve,1.0
