event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,466.667,433.33399999999995,0.0,1.235241824535926
f_2,fijacion,fijacion_valida,633.333,1200.0,566.667,0.0,9.246487899470669
f_4,fijacion,fijacion_valida,1666.667,2066.667,400.0,0.0,10.514204340089764
f_6,fijacion,fijacion_valida,2300.0,2600.0,300.0,0.0,7.253608278011479
f_10,fijacion,fijacion_valida,3466.667,4533.333,1066.6659999999997,0.0,4.644918141358133
f_11,fijacion,fijacion_valida,4700.0,5766.667,1066.6670000000004,0.0,5.962242856977355
f_12,fijacion,fijacion_valida,5966.667,7000.0,1033.3329999999996,0.0,3.5459266178888833
f_13,fijacion,fijacion_valida,7166.667,8133.333,966.6659999999993,0.0,3.557276566257762
f_14,fijacion,fijacion_valida,8333.333,9333.333,1000.0,0.0,3.169856198744307
f_15,fijacion,fijacion_valida,9533.333,10500.0,966.6669999999995,0.0,3.720293830023666
f_16,fijacion,fijacion_valida,10666.667,11700.0,1033.3330000000005,0.0,4.5335647898879925
f_17,fijacion,fijacion_valida,11900.0,12766.667,866.6669999999995,0.0,4.7125500718374
