event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_8,sacadico,sacadico,300.0,366.667,66.66699999999997,8.213149508903614,221.7570609140263
s_47,sacadico,sacadico,1600.0,1700.0,100.0,5.632525067995228,59.06321223044504
s_53,sacadico,sacadico,1800.0,1900.0,100.0,6.053896596890784,67.725468761724
s_65,sacadico,sacadico,2200.0,2300.0,100.0,7.288423817870436,77.32394142165478
s_99,sacadico,sacadico,3333.333,3433.333,100.0,6.612236200575438,83.13659174315121
s_134,sacadico,sacadico,4500.0,4600.0,100.0,8.94402933388444,94.56709813204655
s_175,sacadico,sacadico,5866.667,5966.667,100.0,10.296329179310145,125.1059867388842
s_209,sacadico,sacadico,7000.0,7100.0,100.0,7.714720038194979,85.20020725321652
s_246,sacadico,sacadico,8233.333,8333.333,100.0,7.202232825221827,82.56423180553273
s_283,sacadico,sacadico,9466.667,9566.667,100.0,21.28728053474689,190.3435010322279
s_318,sacadico,sacadico,10633.333,10733.333,100.0,6.732703934702331,77.4880936078643
s_352,sacadico,sacadico,11766.667,11866.667,100.0,9.438527749423985,87.03011337355707
