estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1766.667,1816.6664999999998,reacción_rápida,Victoria_intento_2_data
2,P2 (Sup-Cen),2500.0,4500.0,-33.333000000000084,1,1866.666,1866.666,anticipación_leve,Victoria_intento_2_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,1,1966.6670000000004,1966.6670000000004,reacción_rápida,Victoria_intento_2_data
4,P4 (Med-Izq),6500.0,8500.0,200.0,1,1766.6669999999997,1766.6669999999997,reacción_normal,Victoria_intento_2_data
5,P5 (Med-Cen),8500.0,10500.0,133.33300000000054,1,1833.333999999999,1833.333999999999,reacción_rápida,Victoria_intento_2_data
6,P6 (Med-Der),10500.0,12500.0,166.66699999999946,1,1933.3330000000003,1933.3330000000003,reacción_normal,Victoria_intento_2_data
7,P7 (Inf-Izq),12500.0,14500.0,266.66699999999946,2,1800.0,1866.6665000000003,reacción_normal,Victoria_intento_2_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1866.6669999999997,1833.3334999999997,reacción_normal,Victoria_intento_2_data
9,P9 (Inf-Der),16500.0,18500.0,300.0,2,1700.0,1783.3334999999997,reacción_normal,Victoria_intento_2_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1833.333,1833.333,reacción_rápida,Victoria_intento_1_data
2,P2 (Sup-Cen),2500.0,4500.0,0.0,1,1866.6670000000004,1866.6670000000004,reacción_rápida,Victoria_intento_1_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,1,1933.3340000000007,1933.3340000000007,reacción_rápida,Victoria_intento_1_data
4,P4 (Med-Izq),6500.0,8500.0,233.33299999999963,1,1766.6670000000004,1766.6670000000004,reacción_normal,Victoria_intento_1_data
5,P5 (Med-Cen),8500.0,10500.0,166.66699999999946,1,1866.666000000001,1866.666000000001,reacción_normal,Victoria_intento_1_data
6,P6 (Med-Der),10500.0,12500.0,200.0,2,1933.3330000000003,1899.9995000000008,reacción_normal,Victoria_intento_1_data
7,P7 (Inf-Izq),12500.0,14500.0,333.33300000000054,2,1766.6669999999997,1850.0,reacción_lenta,Victoria_intento_1_data
8,P8 (Inf-Cen),14500.0,16500.0,666.6669999999995,2,1466.6659999999993,1616.6664999999994,reacción_lenta,Victoria_intento_1_data
9,P9 (Inf-Der),16500.0,18500.0,300.0,2,1733.3329999999987,1599.999499999999,reacción_normal,Victoria_intento_1_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1766.667,1816.6664999999998,reacción_rápida,Victoria_intento_4_data
2,P2 (Sup-Cen),2500.0,4500.0,-33.333000000000084,1,1866.666,1866.666,anticipación_leve,Victoria_intento_4_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,1,1933.333,1933.333,reacción_rápida,Victoria_intento_4_data
4,P4 (Med-Izq),6500.0,8500.0,133.33299999999963,1,1800.000000000001,1800.000000000001,reacción_rápida,Victoria_intento_4_data
5,P5 (Med-Cen),8500.0,10500.0,100.0,1,1866.6669999999997,1866.6669999999997,reacción_rápida,Victoria_intento_4_data
6,P6 (Med-Der),10500.0,12500.0,133.33300000000054,1,1933.333999999999,1933.333999999999,reacción_rápida,Victoria_intento_4_data
7,P7 (Inf-Izq),12500.0,14500.0,266.66699999999946,2,1766.666000000001,1850.0,reacción_normal,Victoria_intento_4_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1866.6669999999997,1816.6665000000003,reacción_normal,Victoria_intento_4_data
9,P9 (Inf-Der),16500.0,18500.0,266.6670000000013,2,1733.3329999999987,1799.999999999999,reacción_normal,Victoria_intento_4_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1800.0,1849.9999999999998,reacción_rápida,Victoria_intento_3_data
2,P2 (Sup-Cen),2500.0,4500.0,-66.66699999999992,1,1899.9999999999995,1899.9999999999995,anticipación,Victoria_intento_3_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,1,1933.333,1933.333,reacción_rápida,Victoria_intento_3_data
4,P4 (Med-Izq),6500.0,8500.0,133.33299999999963,1,1800.000000000001,1800.000000000001,reacción_rápida,Victoria_intento_3_data
5,P5 (Med-Cen),8500.0,10500.0,100.0,1,1833.3330000000003,1833.3330000000003,reacción_rápida,Victoria_intento_3_data
6,P6 (Med-Der),10500.0,12500.0,100.0,1,1966.6669999999997,1966.6669999999997,reacción_rápida,Victoria_intento_3_data
7,P7 (Inf-Izq),12500.0,14500.0,266.66699999999946,2,1733.3330000000003,1850.0,reacción_normal,Victoria_intento_3_data
8,P8 (Inf-Cen),14500.0,16500.0,166.66699999999946,1,1900.0000000000016,1900.0000000000016,reacción_normal,Victoria_intento_3_data
9,P9 (Inf-Der),16500.0,18500.0,233.33299999999872,2,1733.3340000000026,1816.6670000000022,reacción_normal,Victoria_intento_3_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1766.667,1833.3334999999997,reacción_rápida,Victoria_intento_5_data
2,P2 (Sup-Cen),2500.0,4500.0,-66.66699999999992,1,1899.9999999999995,1899.9999999999995,anticipación,Victoria_intento_5_data
3,P3 (Sup-Der),4500.0,6500.0,33.33299999999963,1,1933.3340000000007,1933.3340000000007,reacción_rápida,Victoria_intento_5_data
4,P4 (Med-Izq),6500.0,8500.0,133.33299999999963,1,1833.334,1833.334,reacción_rápida,Victoria_intento_5_data
5,P5 (Med-Cen),8500.0,10500.0,133.33300000000054,1,1500.0,1500.0,reacción_rápida,Victoria_intento_5_data
