Metrica,Valor
tiempo_reaccion_promedio_positivo_ms,156.67
tiempo_anticipacion_promedio_ms,-86.67
tiempo_reaccion_promedio_total_ms,129.63
tiempo_reaccion_mediana_total_ms,133.33
tiempo_reaccion_std_total_ms,148.94
tiempo_reaccion_min_ms,-233.33
tiempo_reaccion_max_ms,666.67
conteo_total_respuestas,45.0
conteo_reacciones_positivas,40.0
conteo_anticipaciones,5.0
tasa_anticipacion_pct,11.11
duracion_promedio_primera_fijacion_total_ms,1775.56
duracion_promedio_primera_fijacion_reaccion_ms,1801.67
duracion_promedio_primera_fijacion_anticipacion_ms,1566.67
duracion_promedio_fijaciones_por_estimulo_ms,1797.04
numero_promedio_fijaciones_por_estimulo,1.42
conteo_estado_reacción_rápida,22.0
conteo_estado_reacción_normal,16.0
conteo_estado_anticipación,3.0
conteo_estado_anticipación_leve,2.0
conteo_estado_reacción_lenta,2.0
