event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,433.333,400.0,0.0,1.3390283319655596
f_3,fijacion,fijacion_valida,700.0,2333.333,1633.333,0.0,2.5213367480053175
f_5,fijacion,fijacion_valida,2900.0,4333.333,1433.3329999999996,0.0,4.568578764724662
f_6,fijacion,fijacion_valida,4533.333,6333.333,1800.0,0.0,3.081907147061106
f_7,fijacion,fijacion_valida,6500.0,8300.0,1800.0,0.0,6.097936773785719
f_9,fijacion,fijacion_valida,8633.333,10266.667,1633.333999999999,0.0,2.1288076045868056
f_10,fijacion,fijacion_valida,10433.333,12233.333,1800.0,0.0,3.0646535494762186
f_11,fijacion,fijacion_valida,12433.333,14166.667,1733.333999999999,0.0,2.4991090472081594
f_12,fijacion,fijacion_valida,14366.667,16133.333,1766.666000000001,0.0,2.852852729849115
f_13,fijacion,fijacion_valida,16333.333,18166.667,1833.3340000000007,0.0,4.110404788440875
f_14,fijacion,fijacion_valida,18333.333,19933.333,1600.0,0.0,2.3040885343006137
