event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,500.0,2300.0,1800.0,0.0,2.2115276192034004
f_2,fijacion,fijacion_valida,2500.0,2900.0,400.0,0.0,5.168113605679567
f_3,fijacion,fijacion_valida,3066.667,4400.0,1333.333,0.0,4.96853506265576
f_4,fijacion,fijacion_valida,4600.0,6333.333,1733.3329999999996,0.0,4.771149780262941
f_5,fijacion,fijacion_valida,6533.333,8433.333,1900.000000000001,0.0,3.5344019008144674
f_6,fijacion,fijacion_valida,8633.333,10500.0,1866.6669999999995,0.0,2.195508212432308
f_7,fijacion,fijacion_valida,10700.0,12566.667,1866.6669999999995,0.0,1.6937182473540384
f_8,fijacion,fijacion_valida,12766.667,14533.333,1766.666000000001,0.0,3.9417141447610695
f_9,fijacion,fijacion_valida,14766.667,16600.0,1833.3330000000005,0.0,3.9108079590584772
f_10,fijacion,fijacion_valida,16833.333,18633.333,1800.0,0.0,2.648459518479554
f_11,fijacion,fijacion_valida,18833.333,20533.333,1700.0,0.0,1.379670978127354
