event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_56,sacadico,sacadico,2366.667,2433.333,66.66600000000017,12.268639955580957,170.159773249853
s_61,sacadico,sacadico,2533.333,2600.0,66.66699999999992,0.35195388786359055,61.45552506830203
s_115,sacadico,sacadico,4333.333,4400.0,66.66700000000037,9.602712286097175,157.99706542430795
s_164,sacadico,sacadico,5966.667,6033.333,66.66599999999926,2.7276911494893814,48.23353769914783
s_173,sacadico,sacadico,6266.667,6366.667,100.0,7.448804329376197,87.93943790329155
s_228,sacadico,sacadico,8100.0,8166.667,66.66700000000037,2.5259786297143285,43.9323987483362
s_233,sacadico,sacadico,8266.667,8366.667,100.0,3.859643279846236,34.15927101268596
s_291,sacadico,sacadico,10200.0,10266.667,66.66699999999946,4.439283051151931,71.78048113559207
s_349,sacadico,sacadico,12133.333,12233.333,100.0,14.71557032969771,131.61836383447016
s_366,sacadico,sacadico,12700.0,12766.667,66.66699999999946,1.95107599755422,44.97721653906339
s_410,sacadico,sacadico,14166.667,14233.333,66.66600000000108,8.506137773551679,156.73477371488772
s_467,sacadico,sacadico,16066.667,16166.667,100.0,14.291390388740195,126.30771954759149
s_526,sacadico,sacadico,18033.333,18133.333,100.0,5.545100607411185,64.74013600064323
