event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_12,sacadico,sacadico,433.333,533.333,99.99999999999994,90.0,78.9922355492997
s_17,sacadico,sacadico,600.0,666.667,66.66700000000003,10.294563412263944,122.98286794615485
s_22,sacadico,sacadico,766.667,833.333,66.66599999999994,0.4272401389859801,37.94551943514528
s_65,sacadico,sacadico,2200.0,2300.0,100.0,5.53520972432473,50.62710035870569
s_100,sacadico,sacadico,3366.667,3466.667,100.0,4.697053080367701,50.98972725309669
s_176,sacadico,sacadico,5900.0,6000.0,100.0,11.401044033526517,115.94923526261096
s_212,sacadico,sacadico,7100.0,7200.0,100.0,4.608887965038419,51.11119105694766
s_248,sacadico,sacadico,8300.0,8400.0,100.0,4.448500953596289,48.54360309654655
s_253,sacadico,sacadico,8466.667,8533.333,66.66600000000108,90.0,137.65017053610032
s_258,sacadico,sacadico,8633.333,8700.0,66.66699999999946,1.983755690866517,112.28046628611382
s_287,sacadico,sacadico,9600.0,9700.0,100.0,9.2076132536568,105.34138543124621
s_322,sacadico,sacadico,10766.667,10866.667,100.0,3.476352382573767,39.712795679807016
s_340,sacadico,sacadico,11366.667,11466.667,100.0,3.7129259667205785,33.91754827253451
s_360,sacadico,sacadico,12033.333,12100.0,66.66699999999946,11.927101031600962,133.79809444146738
s_364,sacadico,sacadico,12166.667,12233.333,66.66600000000108,2.686403539436247,113.7512005064948
