event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_2,fijacion,fijacion_valida,233.333,533.333,300.0,0.0,9.934082047184953
f_3,fijacion,fijacion_valida,600.0,966.667,366.66700000000003,0.0,10.595886083933786
f_4,fijacion,fijacion_valida,1233.333,1600.0,366.6669999999999,0.0,4.743059840948188
f_5,fijacion,fijacion_valida,1833.333,2166.667,333.33399999999983,0.0,5.492327721188517
f_6,fijacion,fijacion_valida,2333.333,3366.667,1033.3339999999998,0.0,4.3924734905906835
f_7,fijacion,fijacion_valida,3533.333,4633.333,1099.9999999999995,0.0,6.640132972853831
f_8,fijacion,fijacion_valida,4833.333,5800.0,966.6670000000004,0.0,4.04595933015785
f_9,fijacion,fijacion_valida,6000.0,6966.667,966.6670000000004,0.0,4.332754874419615
f_11,fijacion,fijacion_valida,7266.667,8266.667,999.9999999999991,0.0,4.521110741846433
f_12,fijacion,fijacion_valida,8433.333,9433.333,1000.0,0.0,2.750613555065146
f_14,fijacion,fijacion_valida,9700.0,10666.667,966.6669999999995,0.0,1.5741027541280213
f_15,fijacion,fijacion_valida,10833.333,11866.667,1033.333999999999,0.0,2.815284645538149
f_16,fijacion,fijacion_valida,12066.667,12966.667,900.0,0.0,1.566211443242807
