event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_3,fijacion,fijacion_valida,500.0,1566.667,1066.667,0.0,6.72582553890916
f_7,fijacion,fijacion_valida,2433.333,3933.333,1500.0,0.0,7.5004380627402085
f_8,fijacion,fijacion_valida,4133.333,5733.333,1600.0,0.0,5.70949547129411
f_10,fijacion,fijacion_valida,6100.0,7366.667,1266.6670000000004,0.0,4.474044027563081
f_12,fijacion,fijacion_valida,7800.0,9133.333,1333.3330000000005,0.0,6.533398552628554
f_13,fijacion,fijacion_valida,9300.0,10666.667,1366.6669999999995,0.0,5.885401440714164
f_14,fijacion,fijacion_valida,10933.333,12366.667,1433.333999999999,0.0,5.700412541383589
f_15,fijacion,fijacion_valida,12600.0,14033.333,1433.3330000000005,0.0,1.443439681003603
f_16,fijacion,fijacion_valida,14233.333,15266.667,1033.333999999999,0.0,6.803180171539972
f_18,fijacion,fijacion_valida,15700.0,16200.0,500.0,0.0,6.783134928220923
