event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_48,sacadico,sacadico,1633.333,1733.333,100.0,4.804003643512511,62.69901825199016
s_60,sacadico,sacadico,2033.333,2133.333,100.0,5.421581383101556,59.3545674403087
s_76,sacadico,sacadico,2566.667,2733.333,166.66600000000017,34.55061410582264,514.2538923783387
s_118,sacadico,sacadico,3966.667,4066.667,100.0,5.292114952114754,62.86555713005074
s_170,sacadico,sacadico,5700.0,5833.333,133.33299999999963,11.602988091335009,93.62018819613704
s_205,sacadico,sacadico,6866.667,6933.333,66.66599999999926,11.36159397212871,204.5264633277408
s_223,sacadico,sacadico,7466.667,7566.667,100.0,17.014077218719176,162.51984390836355
s_241,sacadico,sacadico,8066.667,8133.333,66.66599999999926,3.0547467210379273,109.99864819320845
s_275,sacadico,sacadico,9200.0,9300.0,100.0,7.576801886411407,66.39552339923378
s_328,sacadico,sacadico,10966.667,11066.667,100.0,9.752215450509109,114.58844040928015
s_377,sacadico,sacadico,12600.0,12733.333,133.33300000000054,22.335353540615216,159.91862798681592
s_423,sacadico,sacadico,14133.333,14233.333,100.0,12.218132231058968,122.36913702518838
s_429,sacadico,sacadico,14333.333,14433.333,100.0,4.21854949090678,45.21359280960436
s_447,sacadico,sacadico,14933.333,15033.333,100.0,3.658609759294387,49.20238467812701
s_463,sacadico,sacadico,15466.667,15566.667,100.0,4.355749246422326,43.55206528576694
s_475,sacadico,sacadico,15866.667,15966.667,100.0,8.614523545613748,97.342267071369
