event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_7,sacadico,sacadico,266.667,366.667,100.0,5.206140555577806,49.86124152461247
s_68,sacadico,sacadico,2300.0,2400.0,100.0,14.150493347610439,173.24030620909184
s_128,sacadico,sacadico,4300.0,4400.0,100.0,10.060442104554276,93.41201978654593
s_191,sacadico,sacadico,6400.0,6500.0,100.0,16.671238841368705,168.56318918832835
s_252,sacadico,sacadico,8433.333,8533.333,100.0,8.463237014823143,89.13022516913345
s_313,sacadico,sacadico,10466.667,10566.667,100.0,8.559090898561228,92.86965412748356
s_368,sacadico,sacadico,12300.0,12400.0,100.0,3.994623319689148,40.47648073156132
s_375,sacadico,sacadico,12533.333,12633.333,100.0,16.670714542636098,150.22052298042058
s_411,sacadico,sacadico,13733.333,13833.333,100.0,8.538681541548753,88.82663527664234
s_482,sacadico,sacadico,16100.0,16200.0,100.0,7.2693420767671935,83.19941603573605
