event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_33,sacadico,sacadico,1133.333,1233.333,100.0,5.839960395153015,54.70366961469301
s_67,sacadico,sacadico,2266.667,2366.667,100.0,5.843167961057976,59.42159672324843
s_110,sacadico,sacadico,3700.0,3800.0,100.0,5.670630191501504,60.76403086505731
s_156,sacadico,sacadico,5233.333,5333.333,100.0,4.521613205231304,61.69321084941671
s_198,sacadico,sacadico,6633.333,6733.333,100.0,90.0,50.83273004138036
s_203,sacadico,sacadico,6800.0,6900.0,100.0,4.8016482911179805,45.14116950196151
s_244,sacadico,sacadico,8166.667,8266.667,99.99999999999909,5.451678035509342,57.574608414134175
s_285,sacadico,sacadico,9533.333,9633.333,100.0,5.163762360607163,60.18877129204175
s_329,sacadico,sacadico,11000.0,11100.0,100.0,11.077298820050116,117.35505634744341
s_336,sacadico,sacadico,11233.333,11333.333,100.0,3.292579285041485,35.29895821197944
s_383,sacadico,sacadico,12800.0,12900.0,100.0,5.74359150761942,61.18691343283674
s_421,sacadico,sacadico,14066.667,14166.667,100.0,7.535100081975085,72.29867124652839
