event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,833.333,800.0,0.0,1.4267732297561213
f_2,fijacion,fijacion_valida,1000.0,2233.333,1233.333,0.0,9.547573745028746
f_3,fijacion,fijacion_valida,2466.667,3666.667,1200.0,0.0,4.343109847699018
f_4,fijacion,fijacion_valida,3933.333,5066.667,1133.3340000000003,0.0,3.2287466618001677
f_5,fijacion,fijacion_valida,5333.333,6533.333,1200.0,0.0,3.747840210841814
f_6,fijacion,fijacion_valida,6800.0,8133.333,1333.3329999999996,0.0,2.9850457102123054
f_7,fijacion,fijacion_valida,8400.0,9433.333,1033.3330000000005,0.0,3.3640709598861003
f_8,fijacion,fijacion_valida,9666.667,10933.333,1266.666000000001,0.0,4.350474558344451
f_10,fijacion,fijacion_valida,11266.667,12433.333,1166.666000000001,0.0,3.8904490849511273
f_11,fijacion,fijacion_valida,12700.0,14033.333,1333.3330000000005,0.0,2.8199023921265947
f_12,fijacion,fijacion_valida,14333.333,15533.333,1200.0,0.0,4.5136759150129295
