event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_2,fijacion,fijacion_valida,200.0,866.667,666.667,0.0,14.517454621986198
f_3,fijacion,fijacion_valida,966.667,1500.0,533.333,0.0,8.59701620778072
f_6,fijacion,fijacion_valida,2366.667,2700.0,333.3330000000001,0.0,9.75983640705527
f_7,fijacion,fijacion_valida,2866.667,4600.0,1733.333,0.0,6.483913318013951
f_8,fijacion,fijacion_valida,4800.0,5766.667,966.6670000000004,0.0,1.889607587963908
f_9,fijacion,fijacion_valida,5966.667,6933.333,966.6659999999993,0.0,4.721998434667274
f_10,fijacion,fijacion_valida,7100.0,8100.0,1000.0,0.0,4.0268145723562165
f_11,fijacion,fijacion_valida,8266.667,9266.667,1000.0,0.0,4.693117015172008
f_12,fijacion,fijacion_valida,9466.667,10433.333,966.6660000000011,0.0,3.2850864304899092
f_13,fijacion,fijacion_valida,10633.333,11666.667,1033.333999999999,0.0,3.5110900729374896
f_14,fijacion,fijacion_valida,11833.333,12766.667,933.3339999999989,0.0,3.143711328254667
