,promedio,mediana,desv_std,min,max,n_participantes
conteo_fijaciones,11.309999999999999,11.1,2.091490696449146,9.0,14.8,10.0
conteo_sacadicos,14.88,13.1,6.970541187342948,8.4,30.4,10.0
conteo_parpadeos,0.4,0.45,0.3711842908553348,0.0,1.2,10.0
frecuencia_fijaciones_hz,0.6419889368678449,0.6352235456745778,0.12134072680727286,0.4996303179229263,0.847175557878329,10.0
frecuencia_sacadicos_hz,0.8437316608368033,0.7496675692803274,0.39034576311080105,0.4666672763197252,1.6924692978774254,10.0
duracion_media_fij_ms,1344.2215097117123,1336.8578167182818,378.59022891079593,743.156965295195,1800.740688888889,10.0
duracion_media_sac_ms,89.75976698694731,88.18600910577813,5.611941738388572,83.41409620248179,101.66667500000004,10.0
duracion_media_parpadeo_ms,22.388892499999933,18.33337499999995,18.956022249619252,0.0,57.2221749999999,10.0
amplitud_media_sac_deg,8.732287362848075,8.551442426924904,1.7968144060675906,6.509379637126889,11.529656394434454,10.0
vel_media_fij_deg_s,4.43107049871825,4.247367761625169,1.3094632072227494,2.8922587227292764,7.420091406061819,10.0
vel_media_sac_deg_s,86.48627363143676,78.33522073372305,22.426952895162383,64.09010534653264,140.01282402385243,10.0
velocidad_promedio_general_deg_s,12.281564280054022,11.917786841812967,3.1645785837169425,7.531148305670309,16.88964194919972,7.0
aceleracion_promedio_general_deg_s2,0.10947026773286479,-0.0383911160507689,0.5839501145018317,-0.4076810999545034,1.2221720730487065,7.0
velocidad_promedio_entre_estimulos_deg_s,17.009134279080097,10.61017780784863,14.46691374691205,8.235213168845707,45.79931570904203,6.0
