video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_1_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,511.000,210.000,503,236,0.764000,0.120000,-0.633959,60.181,76.193,0.230,3197.5
roygel_intento_1_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,509.000,211.000,500,242,0.756000,0.116000,-0.644211,61.928,74.325,0.182,3291.0
roygel_intento_1_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,508.000,212.000,498,242,0.752000,0.112000,-0.649578,61.932,75.923,179.481,3396.5
roygel_intento_1_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,507.000,212.000,524,219,0.748000,0.112000,-0.654180,62.961,76.411,3.118,3522.5
roygel_intento_1_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,508.000,213.000,527,218,0.752000,0.108000,-0.650255,62.596,76.743,175.709,3464.0
roygel_intento_1_ROI_640x480.mp4,6,200.000,True,280.000,215.000,0.000,509.000,214.000,526,216,0.916000,0.004000,-0.401158,63.416,76.732,0.139,3536.5
roygel_intento_1_ROI_640x480.mp4,7,233.333,True,280.000,215.000,0.000,510.000,215.000,527,227,0.920000,-0.000000,-0.391918,61.935,74.714,4.421,3311.0
roygel_intento_1_ROI_640x480.mp4,8,266.667,True,280.000,215.000,0.000,511.000,216.000,527,227,0.924000,-0.004000,-0.382372,62.479,75.881,2.821,3356.0
roygel_intento_1_ROI_640x480.mp4,9,300.000,True,280.000,215.000,0.000,511.000,217.000,516,230,0.924000,-0.008000,-0.382309,62.108,74.653,5.807,3299.5
roygel_intento_1_ROI_640x480.mp4,10,333.333,True,280.000,215.000,0.000,511.000,217.000,524,213,0.924000,-0.008000,-0.382309,62.152,77.532,177.742,3408.0
roygel_intento_1_ROI_640x480.mp4,11,366.667,True,280.000,215.000,0.000,513.000,216.000,520,237,0.932000,-0.004000,-0.362436,62.134,78.262,175.080,3603.0
roygel_intento_1_ROI_640x480.mp4,12,400.000,True,280.000,215.000,0.000,514.000,215.000,522,245,0.936000,-0.000000,-0.352000,63.664,80.835,172.290,3825.5
roygel_intento_1_ROI_640x480.mp4,13,433.333,True,280.000,215.000,0.000,514.000,213.000,525,197,0.936000,0.008000,-0.351909,63.905,77.904,159.336,3676.5
roygel_intento_1_ROI_640x480.mp4,14,466.667,True,280.000,215.000,0.000,512.000,210.000,519,186,0.928000,0.020000,-0.372043,62.705,78.876,151.809,3667.0
roygel_intento_1_ROI_640x480.mp4,15,500.000,True,280.000,215.000,0.000,511.000,205.000,522,188,0.924000,0.040000,-0.380295,62.432,81.109,149.327,3747.5
roygel_intento_1_ROI_640x480.mp4,16,533.333,True,280.000,215.000,0.000,511.000,198.000,518,182,0.924000,0.068000,-0.376298,64.488,82.811,152.906,4012.5
roygel_intento_1_ROI_640x480.mp4,17,566.667,True,280.000,215.000,0.000,510.000,186.000,532,193,0.920000,0.116000,-0.374358,65.654,98.895,168.635,4987.5
roygel_intento_1_ROI_640x480.mp4,18,600.000,True,280.000,215.000,0.000,507.000,177.000,521,177,0.908000,0.152000,-0.390425,65.401,94.783,167.506,4754.5
roygel_intento_1_ROI_640x480.mp4,19,633.333,True,280.000,215.000,0.000,507.000,168.000,529,170,0.908000,0.188000,-0.374422,66.266,97.188,161.525,4970.5
