video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Chirinos_intento_1_ROI_640x480.mp4,1,33.333,False,320.000,240.000,,,,,,,,,,
Chirinos_intento_1_ROI_640x480.mp4,2,66.667,False,320.000,240.000,,,,,,,,,,
Chirinos_intento_1_ROI_640x480.mp4,3,100.000,False,320.000,240.000,,,,,,,,,,
Chirinos_intento_1_ROI_640x480.mp4,4,133.333,False,320.000,240.000,,,,,,,,,,
Chirinos_intento_1_ROI_640x480.mp4,5,166.667,False,320.000,240.000,,,,,,,,,,
Chirinos_intento_1_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,356.000,170.000,0.112500,0.218750,-0.969274,103.083,145.269,175.476,11472.5
Chirinos_intento_1_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,358.000,171.000,0.118750,0.215625,-0.969229,96.076,144.508,176.760,10772.0
Chirinos_intento_1_ROI_640x480.mp4,8,266.667,True,320.000,240.000,0.000,362.000,173.000,0.131250,0.209375,-0.968987,88.857,139.973,176.895,9136.5
Chirinos_intento_1_ROI_640x480.mp4,9,300.000,True,320.000,240.000,0.000,367.000,177.000,0.146875,0.196875,-0.969365,90.307,140.640,177.347,9380.0
Chirinos_intento_1_ROI_640x480.mp4,10,333.333,True,320.000,240.000,0.000,369.000,179.000,0.153125,0.190625,-0.969647,88.580,137.461,178.282,8800.0
Chirinos_intento_1_ROI_640x480.mp4,11,366.667,True,320.000,240.000,0.000,371.000,180.000,0.159375,0.187500,-0.969249,89.102,139.315,177.778,8998.5
Chirinos_intento_1_ROI_640x480.mp4,12,400.000,True,320.000,240.000,0.000,371.000,181.000,0.159375,0.184375,-0.969848,92.201,142.347,177.212,9675.5
Chirinos_intento_1_ROI_640x480.mp4,13,433.333,True,320.000,240.000,0.000,372.000,181.000,0.162500,0.184375,-0.969329,87.994,137.592,177.716,8553.5
Chirinos_intento_1_ROI_640x480.mp4,14,466.667,True,320.000,240.000,0.000,371.000,178.000,0.159375,0.193750,-0.968019,90.944,136.886,175.656,8861.5
Chirinos_intento_1_ROI_640x480.mp4,15,500.000,True,320.000,240.000,0.000,370.000,174.000,0.156250,0.206250,-0.965944,89.648,138.686,176.197,8984.5
