video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Geremy_intento_4.mp4,1,3.333,True,270.000,240.000,0.000,301.000,176.000,0.129167,0.266667,-0.955094,69.332,91.099,133.292,4900.5
Geremy_intento_4.mp4,2,6.667,True,270.000,240.000,0.000,301.000,176.000,0.129167,0.266667,-0.955094,68.874,90.638,132.445,4850.0
Geremy_intento_4.mp4,3,10.000,True,270.000,240.000,0.000,301.000,175.000,0.129167,0.270833,-0.953921,68.623,90.340,131.737,4830.5
Geremy_intento_4.mp4,4,13.333,True,270.000,240.000,0.000,301.000,175.000,0.129167,0.270833,-0.953921,68.162,90.044,131.806,4777.0
Geremy_intento_4.mp4,5,16.667,True,270.000,240.000,0.000,301.000,175.000,0.129167,0.270833,-0.953921,67.883,90.234,131.753,4780.0
Geremy_intento_4.mp4,6,20.000,True,270.000,240.000,0.000,292.000,175.000,0.091667,0.270833,-0.958252,73.993,90.101,129.398,5163.5
Geremy_intento_4.mp4,7,23.333,True,270.000,240.000,0.000,283.000,176.000,0.054167,0.266667,-0.962265,72.896,91.498,129.644,5159.5
Geremy_intento_4.mp4,8,26.667,True,270.000,240.000,0.000,282.000,176.000,0.050000,0.266667,-0.962491,72.592,91.739,128.301,5173.5
Geremy_intento_4.mp4,9,30.000,True,270.000,240.000,0.000,283.000,175.000,0.054167,0.270833,-0.961101,72.876,91.757,127.146,5199.0
Geremy_intento_4.mp4,10,33.333,True,270.000,240.000,0.000,282.000,175.000,0.050000,0.270833,-0.961327,72.517,91.611,127.188,5156.0
Geremy_intento_4.mp4,11,36.667,True,270.000,240.000,0.000,282.000,174.000,0.050000,0.275000,-0.960143,72.381,91.771,127.986,5155.0
Geremy_intento_4.mp4,12,40.000,True,270.000,240.000,0.000,282.000,174.000,0.050000,0.275000,-0.960143,72.254,91.779,127.692,5157.5
Geremy_intento_4.mp4,13,43.333,True,270.000,240.000,0.000,291.000,170.000,0.087500,0.291667,-0.952509,61.880,91.127,123.601,4350.5
Geremy_intento_4.mp4,14,46.667,True,270.000,240.000,0.000,307.000,165.000,0.154167,0.312500,-0.937324,53.169,88.360,127.818,3603.5
Geremy_intento_4.mp4,15,50.000,True,270.000,240.000,0.000,315.000,163.000,0.187500,0.320833,-0.928391,53.902,88.576,127.219,3685.0
Geremy_intento_4.mp4,16,53.333,True,270.000,240.000,0.000,316.000,163.000,0.191667,0.320833,-0.927540,53.665,88.193,127.290,3672.0
Geremy_intento_4.mp4,17,56.667,True,270.000,240.000,0.000,316.000,163.000,0.191667,0.320833,-0.927540,54.331,88.133,127.559,3687.5
Geremy_intento_4.mp4,18,60.000,True,270.000,240.000,0.000,316.000,163.000,0.191667,0.320833,-0.927540,53.707,88.556,127.434,3678.5
Geremy_intento_4.mp4,19,63.333,True,270.000,240.000,0.000,315.000,163.000,0.187500,0.320833,-0.928391,53.903,88.244,126.713,3675.5
Geremy_intento_4.mp4,20,66.667,True,270.000,240.000,0.000,314.000,163.000,0.183333,0.320833,-0.929223,53.724,87.587,126.793,3652.5
Geremy_intento_4.mp4,21,70.000,True,270.000,240.000,0.000,314.000,162.000,0.183333,0.325000,-0.927774,53.285,87.948,126.413,3622.0
Geremy_intento_4.mp4,22,73.333,True,270.000,240.000,0.000,315.000,162.000,0.187500,0.325000,-0.926941,52.868,87.110,126.972,3583.0
Geremy_intento_4.mp4,23,76.667,True,270.000,240.000,0.000,315.000,162.000,0.187500,0.325000,-0.926941,52.928,86.543,126.793,3567.5
Geremy_intento_4.mp4,24,80.000,True,270.000,240.000,0.000,315.000,162.000,0.187500,0.325000,-0.926941,53.362,86.793,126.827,3581.0
Geremy_intento_4.mp4,25,83.333,True,270.000,240.000,0.000,314.000,162.000,0.183333,0.325000,-0.927774,53.806,85.951,127.116,3554.0
Geremy_intento_4.mp4,26,86.667,True,270.000,240.000,0.000,314.000,163.000,0.183333,0.320833,-0.929223,53.422,85.803,127.014,3562.5
Geremy_intento_4.mp4,27,90.000,True,270.000,240.000,0.000,313.000,163.000,0.179167,0.320833,-0.930035,53.564,85.143,126.383,3546.0
Geremy_intento_4.mp4,28,93.333,True,270.000,240.000,0.000,313.000,163.000,0.179167,0.320833,-0.930035,53.531,84.979,126.460,3552.0
Geremy_intento_4.mp4,29,96.667,True,270.000,240.000,0.000,314.000,163.000,0.183333,0.320833,-0.929223,53.655,84.493,126.388,3530.0
Geremy_intento_4.mp4,30,100.000,True,270.000,240.000,0.000,314.000,163.000,0.183333,0.320833,-0.929223,53.465,84.324,126.347,3501.5
Geremy_intento_4.mp4,31,103.333,True,270.000,240.000,0.000,314.000,163.000,0.183333,0.320833,-0.929223,53.706,84.231,126.508,3499.5
Geremy_intento_4.mp4,32,106.667,True,270.000,240.000,0.000,314.000,163.000,0.183333,0.320833,-0.929223,53.976,84.222,127.125,3493.5
