video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area,yolo_confidence
Geremy_intento_8.mp4,1,33.333,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,65.148,83.511,142.071,4027.5,0.917
Geremy_intento_8.mp4,2,66.667,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,64.897,83.333,144.569,4026.5,0.918
Geremy_intento_8.mp4,3,100.000,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,63.966,83.459,146.674,4028.0,0.919
Geremy_intento_8.mp4,4,133.333,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,64.837,83.807,145.466,4026.5,0.923
Geremy_intento_8.mp4,5,166.667,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,65.016,83.217,147.525,4013.0,0.920
Geremy_intento_8.mp4,6,200.000,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,64.677,84.579,146.163,4031.5,0.921
Geremy_intento_8.mp4,7,233.333,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,64.672,84.354,145.397,4058.5,0.921
Geremy_intento_8.mp4,8,266.667,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,65.117,84.152,146.691,4031.5,0.923
Geremy_intento_8.mp4,9,300.000,True,230.000,260.000,0.000,284.000,178.000,0.225000,0.341667,-0.912490,65.284,83.629,145.515,4018.0,0.922
Geremy_intento_8.mp4,10,333.333,True,230.000,260.000,0.000,288.000,174.000,0.241667,0.358333,-0.901773,61.555,80.436,135.134,3693.5,0.925
Geremy_intento_8.mp4,11,366.667,True,230.000,260.000,0.000,294.000,169.000,0.266667,0.379167,-0.886071,61.388,78.089,139.343,3620.5,0.923
Geremy_intento_8.mp4,12,400.000,True,230.000,260.000,0.000,296.000,169.000,0.275000,0.379167,-0.883520,60.917,78.022,138.878,3598.0,0.922
Geremy_intento_8.mp4,13,433.333,True,230.000,260.000,0.000,297.000,168.000,0.279167,0.383333,-0.880410,58.707,79.136,132.834,3502.0,0.927
Geremy_intento_8.mp4,14,466.667,True,230.000,260.000,0.000,303.000,165.000,0.304167,0.395833,-0.866486,51.579,76.379,134.983,2714.5,0.922
