video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area,yolo_confidence
Majo_intento_2.mp4,1,33.333,True,230.000,260.000,0.000,318.000,145.000,0.366667,0.479167,-0.797468,57.350,73.501,132.133,2796.0,0.921
Majo_intento_2.mp4,2,66.667,True,230.000,260.000,0.000,317.000,144.000,0.362500,0.483333,-0.796858,56.634,73.559,131.048,2792.5,0.925
Majo_intento_2.mp4,3,100.000,True,230.000,260.000,0.000,317.000,143.000,0.362500,0.487500,-0.794316,56.879,72.615,132.776,2766.5,0.924
Majo_intento_2.mp4,4,133.333,True,230.000,260.000,0.000,319.000,141.000,0.370833,0.495833,-0.785259,54.675,72.873,132.728,2658.0,0.900
Majo_intento_2.mp4,5,166.667,True,230.000,260.000,0.000,321.000,139.000,0.379167,0.504167,-0.775918,55.029,73.290,133.832,2685.5,0.904
Majo_intento_2.mp4,6,200.000,True,230.000,260.000,0.000,321.000,139.000,0.379167,0.504167,-0.775918,55.999,73.515,135.319,2819.5,0.898
Majo_intento_2.mp4,7,233.333,True,230.000,260.000,0.000,321.000,139.000,0.379167,0.504167,-0.775918,56.301,73.739,132.272,2827.0,0.900
Majo_intento_2.mp4,8,266.667,True,230.000,260.000,0.000,321.000,140.000,0.379167,0.500000,-0.778609,56.270,74.685,131.739,2856.5,0.906
Majo_intento_2.mp4,9,300.000,True,230.000,260.000,0.000,321.000,141.000,0.379167,0.495833,-0.781269,57.009,74.347,134.439,2889.0,0.911
Majo_intento_2.mp4,10,333.333,True,230.000,260.000,0.000,321.000,141.000,0.379167,0.495833,-0.781269,57.451,73.668,135.257,2913.0,0.915
Majo_intento_2.mp4,11,366.667,True,230.000,260.000,0.000,320.000,141.000,0.375000,0.495833,-0.783278,57.595,73.778,136.326,2885.5,0.915
Majo_intento_2.mp4,12,400.000,True,230.000,260.000,0.000,326.000,140.000,0.400000,0.500000,-0.768115,50.219,75.122,139.516,2743.0,0.914
Majo_intento_2.mp4,13,433.333,True,230.000,260.000,0.000,337.000,137.000,0.445833,0.512500,-0.733878,47.478,75.841,137.945,2600.5,0.922
Majo_intento_2.mp4,14,466.667,True,230.000,260.000,0.000,341.000,136.000,0.462500,0.516667,-0.720520,47.170,74.628,140.186,2585.0,0.917
Majo_intento_2.mp4,15,500.000,True,230.000,260.000,0.000,340.000,136.000,0.458333,0.516667,-0.723178,47.342,74.468,139.547,2579.0,0.915
Majo_intento_2.mp4,16,533.333,True,230.000,260.000,0.000,339.000,136.000,0.454167,0.516667,-0.725802,48.194,74.689,138.092,2607.0,0.913
Majo_intento_2.mp4,17,566.667,True,230.000,260.000,0.000,339.000,136.000,0.454167,0.516667,-0.725802,47.950,74.642,138.135,2607.5,0.910
Majo_intento_2.mp4,18,600.000,True,230.000,260.000,0.000,340.000,136.000,0.458333,0.516667,-0.723178,46.651,74.773,140.308,2592.0,0.918
Majo_intento_2.mp4,19,633.333,True,203.000,260.000,0.000,341.000,136.000,0.575000,0.516667,-0.634374,47.367,73.475,139.250,2581.5,0.917
Majo_intento_2.mp4,20,666.667,True,203.000,260.000,0.000,340.000,135.000,0.570833,0.520833,-0.634730,46.809,73.950,139.048,2578.0,0.913
Majo_intento_2.mp4,21,700.000,True,203.000,260.000,0.000,339.000,135.000,0.566667,0.520833,-0.638452,46.717,74.629,138.260,2572.0,0.913
Majo_intento_2.mp4,22,733.333,True,203.000,260.000,0.000,339.000,134.000,0.566667,0.525000,-0.635031,46.796,73.264,139.252,2558.0,0.913
Majo_intento_2.mp4,23,766.667,True,201.000,261.000,0.000,338.000,134.000,0.570833,0.529167,-0.627799,47.452,74.093,136.731,2577.0,0.915
Majo_intento_2.mp4,24,800.000,True,200.000,261.000,0.000,337.000,134.000,0.570833,0.529167,-0.627799,47.663,75.533,136.462,2612.0,0.913
Majo_intento_2.mp4,25,833.333,True,200.000,261.000,0.000,337.000,134.000,0.570833,0.529167,-0.627799,47.421,75.338,136.638,2584.5,0.916
Majo_intento_2.mp4,26,866.667,True,199.000,261.000,0.000,338.000,134.000,0.579167,0.529167,-0.620120,47.827,74.907,135.670,2599.0,0.916
Majo_intento_2.mp4,27,900.000,True,199.000,261.000,0.000,338.000,134.000,0.579167,0.529167,-0.620120,47.739,74.435,137.011,2599.5,0.916
