video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Majo_intento_4_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,427.000,233.000,0.334375,0.021875,-0.942186,63.449,101.812,173.812,4795.5
Majo_intento_4_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,426.000,233.000,0.331250,0.021875,-0.943289,64.155,102.850,174.529,4894.0
Majo_intento_4_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,428.000,229.000,0.337500,0.034375,-0.940698,61.931,87.155,158.567,3993.5
Majo_intento_4_ROI_640x480.mp4,4,133.333,True,302.000,248.000,0.000,430.000,224.000,0.400000,0.075000,-0.913441,60.376,101.893,167.278,4626.5
Majo_intento_4_ROI_640x480.mp4,5,166.667,True,302.000,248.000,0.000,432.000,219.000,0.406250,0.090625,-0.909257,60.679,100.867,167.676,4611.0
Majo_intento_4_ROI_640x480.mp4,6,200.000,True,306.000,247.000,0.000,434.000,218.000,0.400000,0.090625,-0.912024,60.354,100.804,167.995,4621.5
Majo_intento_4_ROI_640x480.mp4,7,233.333,True,307.000,246.000,0.000,433.000,219.000,0.393750,0.084375,-0.915337,63.471,101.420,167.213,4850.5
Majo_intento_4_ROI_640x480.mp4,8,266.667,True,309.000,246.000,0.000,432.000,220.000,0.384375,0.081250,-0.919595,64.867,102.645,168.519,5036.5
Majo_intento_4_ROI_640x480.mp4,9,300.000,True,310.000,246.000,0.000,430.000,220.000,0.375000,0.081250,-0.923457,66.209,102.686,168.179,5123.5
Majo_intento_4_ROI_640x480.mp4,10,333.333,True,311.000,246.000,0.000,429.000,220.000,0.368750,0.081250,-0.925971,66.085,102.936,167.377,5157.5
Majo_intento_4_ROI_640x480.mp4,11,366.667,True,311.000,245.000,0.000,429.000,220.000,0.368750,0.078125,-0.926240,66.955,103.436,168.198,5193.5
Majo_intento_4_ROI_640x480.mp4,12,400.000,True,311.000,245.000,0.000,429.000,220.000,0.368750,0.078125,-0.926240,66.712,103.980,166.783,5249.5
Majo_intento_4_ROI_640x480.mp4,13,433.333,True,311.000,245.000,0.000,430.000,220.000,0.371875,0.078125,-0.924989,66.507,103.117,168.186,5142.0
Majo_intento_4_ROI_640x480.mp4,14,466.667,True,312.000,245.000,0.000,430.000,221.000,0.368750,0.075000,-0.926498,66.705,103.582,167.982,5220.0
Majo_intento_4_ROI_640x480.mp4,15,500.000,True,312.000,245.000,0.000,430.000,221.000,0.368750,0.075000,-0.926498,65.760,104.443,168.199,5123.5
Majo_intento_4_ROI_640x480.mp4,16,533.333,True,312.000,245.000,0.000,428.000,220.000,0.362500,0.078125,-0.928704,69.572,103.231,170.175,5399.0
Majo_intento_4_ROI_640x480.mp4,17,566.667,True,312.000,245.000,0.000,426.000,228.000,0.356250,0.053125,-0.932879,52.106,74.176,88.203,2532.5
Majo_intento_4_ROI_640x480.mp4,18,600.000,True,312.000,245.000,0.000,423.000,231.000,0.346875,0.043750,-0.936890,69.946,84.901,144.628,4112.5
Majo_intento_4_ROI_640x480.mp4,19,633.333,True,312.000,245.000,0.000,423.000,228.000,0.346875,0.053125,-0.936406,70.458,122.120,176.910,6133.5
Majo_intento_4_ROI_640x480.mp4,20,666.667,True,312.000,245.000,0.000,423.000,221.000,0.346875,0.075000,-0.934908,69.514,106.346,170.353,5568.5
Majo_intento_4_ROI_640x480.mp4,21,700.000,True,312.000,245.000,0.000,424.000,218.000,0.350000,0.084375,-0.932942,68.847,106.803,169.976,5541.0
Majo_intento_4_ROI_640x480.mp4,22,733.333,True,312.000,245.000,0.000,424.000,220.000,0.350000,0.078125,-0.933486,70.386,104.220,168.975,5588.0
Majo_intento_4_ROI_640x480.mp4,23,766.667,True,311.000,245.000,0.000,425.000,221.000,0.356250,0.075000,-0.931376,69.992,105.548,170.228,5586.0
Majo_intento_4_ROI_640x480.mp4,24,800.000,True,311.000,245.000,0.000,425.000,222.000,0.356250,0.071875,-0.931622,70.299,108.328,170.854,5743.0
Majo_intento_4_ROI_640x480.mp4,25,833.333,True,311.000,245.000,0.000,426.000,222.000,0.359375,0.071875,-0.930421,69.882,107.525,169.088,5613.5
Majo_intento_4_ROI_640x480.mp4,26,866.667,True,311.000,245.000,0.000,426.000,223.000,0.359375,0.068750,-0.930657,70.074,107.647,169.636,5678.5
Majo_intento_4_ROI_640x480.mp4,27,900.000,True,311.000,245.000,0.000,426.000,223.000,0.359375,0.068750,-0.930657,70.270,109.950,169.682,5710.0
Majo_intento_4_ROI_640x480.mp4,28,933.333,True,311.000,245.000,0.000,426.000,223.000,0.359375,0.068750,-0.930657,69.895,108.215,168.659,5675.5
Majo_intento_4_ROI_640x480.mp4,29,966.667,True,311.000,245.000,0.000,426.000,223.000,0.359375,0.068750,-0.930657,69.558,107.343,169.617,5561.5
Majo_intento_4_ROI_640x480.mp4,30,1000.000,True,311.000,245.000,0.000,425.000,226.000,0.356250,0.059375,-0.932502,70.144,78.626,170.976,4049.5
Majo_intento_4_ROI_640x480.mp4,31,1033.333,True,311.000,245.000,0.000,461.000,259.000,0.468750,-0.043750,-0.882247,46.551,129.545,131.820,3800.5
Majo_intento_4_ROI_640x480.mp4,32,1066.667,True,311.000,245.000,0.000,461.000,270.000,0.468750,-0.078125,-0.879869,31.042,70.742,103.222,1522.5
Majo_intento_4_ROI_640x480.mp4,33,1100.000,True,311.000,245.000,0.000,461.000,263.000,0.468750,-0.056250,-0.881538,70.144,109.435,168.297,5573.5
Majo_intento_4_ROI_640x480.mp4,34,1133.333,True,311.000,245.000,0.000,424.000,228.000,0.353125,0.053125,-0.934067,67.618,108.415,168.567,5498.0
Majo_intento_4_ROI_640x480.mp4,35,1166.667,True,311.000,245.000,0.000,425.000,216.000,0.356250,0.090625,-0.929986,67.066,104.808,167.896,5273.0
Majo_intento_4_ROI_640x480.mp4,36,1200.000,True,311.000,245.000,0.000,425.000,217.000,0.356250,0.087500,-0.930285,66.810,105.681,166.814,5351.0
Majo_intento_4_ROI_640x480.mp4,37,1233.333,True,311.000,245.000,0.000,426.000,218.000,0.359375,0.084375,-0.929371,67.906,103.838,166.748,5352.0
Majo_intento_4_ROI_640x480.mp4,38,1266.667,True,311.000,245.000,0.000,426.000,218.000,0.359375,0.084375,-0.929371,67.514,104.201,165.801,5386.0
Majo_intento_4_ROI_640x480.mp4,39,1300.000,True,311.000,245.000,0.000,427.000,218.000,0.362500,0.084375,-0.928157,67.450,106.987,165.906,5445.0
Majo_intento_4_ROI_640x480.mp4,40,1333.333,True,311.000,245.000,0.000,427.000,218.000,0.362500,0.084375,-0.928157,69.222,105.893,167.266,5537.0
Majo_intento_4_ROI_640x480.mp4,41,1366.667,True,311.000,245.000,0.000,427.000,218.000,0.362500,0.084375,-0.928157,67.481,105.966,166.968,5429.0
Majo_intento_4_ROI_640x480.mp4,42,1400.000,True,311.000,245.000,0.000,427.000,218.000,0.362500,0.084375,-0.928157,67.532,105.332,166.559,5416.0
Majo_intento_4_ROI_640x480.mp4,43,1433.333,True,311.000,245.000,0.000,427.000,218.000,0.362500,0.084375,-0.928157,67.724,105.186,166.967,5397.0
Majo_intento_4_ROI_640x480.mp4,44,1466.667,True,311.000,245.000,0.000,427.000,218.000,0.362500,0.084375,-0.928157,67.227,106.011,167.158,5389.0
Majo_intento_4_ROI_640x480.mp4,45,1500.000,True,311.000,245.000,0.000,428.000,218.000,0.365625,0.084375,-0.926930,67.451,105.216,166.656,5396.5
Majo_intento_4_ROI_640x480.mp4,46,1533.333,True,311.000,245.000,0.000,428.000,218.000,0.365625,0.084375,-0.926930,66.416,105.823,167.561,5387.0
Majo_intento_4_ROI_640x480.mp4,47,1566.667,True,311.000,245.000,0.000,430.000,220.000,0.371875,0.078125,-0.924989,62.607,102.765,168.418,4809.5
Majo_intento_4_ROI_640x480.mp4,48,1600.000,True,311.000,245.000,0.000,434.000,224.000,0.384375,0.065625,-0.920842,60.908,100.867,170.109,4604.5
Majo_intento_4_ROI_640x480.mp4,49,1633.333,True,311.000,245.000,0.000,438.000,227.000,0.396875,0.056250,-0.916147,62.009,101.460,169.687,4775.0
Majo_intento_4_ROI_640x480.mp4,50,1666.667,True,311.000,245.000,0.000,437.000,234.000,0.393750,0.034375,-0.918575,47.961,74.797,90.925,2349.0
Majo_intento_4_ROI_640x480.mp4,51,1700.000,True,312.000,245.000,0.000,433.000,238.000,0.378125,0.021875,-0.925496,58.851,70.142,80.413,2844.5
Majo_intento_4_ROI_640x480.mp4,52,1733.333,True,312.000,245.000,0.000,426.000,234.000,0.356250,0.034375,-0.933758,68.442,116.491,175.116,5872.5
Majo_intento_4_ROI_640x480.mp4,53,1766.667,True,312.000,245.000,0.000,421.000,224.000,0.340625,0.065625,-0.937906,67.298,111.592,172.147,5662.5
Majo_intento_4_ROI_640x480.mp4,54,1800.000,True,312.000,245.000,0.000,419.000,216.000,0.334375,0.090625,-0.938073,67.851,108.392,171.695,5511.5
Majo_intento_4_ROI_640x480.mp4,55,1833.333,True,312.000,245.000,0.000,419.000,217.000,0.334375,0.087500,-0.938369,66.955,107.280,170.850,5427.5
Majo_intento_4_ROI_640x480.mp4,56,1866.667,True,312.000,245.000,0.000,420.000,218.000,0.337500,0.084375,-0.937536,67.590,108.875,170.555,5535.0
Majo_intento_4_ROI_640x480.mp4,57,1900.000,True,312.000,245.000,0.000,420.000,218.000,0.337500,0.084375,-0.937536,68.315,107.786,171.078,5570.5
Majo_intento_4_ROI_640x480.mp4,58,1933.333,True,312.000,245.000,0.000,421.000,218.000,0.340625,0.084375,-0.936406,69.026,108.292,170.337,5683.0
Majo_intento_4_ROI_640x480.mp4,59,1966.667,True,312.000,245.000,0.000,421.000,218.000,0.340625,0.084375,-0.936406,69.301,108.452,170.068,5681.5
Majo_intento_4_ROI_640x480.mp4,60,2000.000,True,312.000,245.000,0.000,421.000,218.000,0.340625,0.084375,-0.936406,69.668,107.594,170.892,5701.5
Majo_intento_4_ROI_640x480.mp4,61,2033.333,True,312.000,245.000,0.000,421.000,218.000,0.340625,0.084375,-0.936406,69.871,109.090,171.211,5795.5
Majo_intento_4_ROI_640x480.mp4,62,2066.667,True,312.000,245.000,0.000,421.000,218.000,0.340625,0.084375,-0.936406,69.210,109.654,170.630,5787.0
Majo_intento_4_ROI_640x480.mp4,63,2100.000,True,312.000,245.000,0.000,421.000,219.000,0.340625,0.081250,-0.936682,70.253,107.892,171.073,5789.5
Majo_intento_4_ROI_640x480.mp4,64,2133.333,True,313.000,245.000,0.000,421.000,219.000,0.337500,0.081250,-0.937812,69.742,108.331,170.980,5763.0
Majo_intento_4_ROI_640x480.mp4,65,2166.667,True,313.000,245.000,0.000,423.000,218.000,0.343750,0.084375,-0.935263,64.885,102.806,165.131,5063.5
Majo_intento_4_ROI_640x480.mp4,66,2200.000,True,313.000,245.000,0.000,435.000,222.000,0.381250,0.071875,-0.921674,47.955,103.622,168.858,3852.0
Majo_intento_4_ROI_640x480.mp4,67,2233.333,True,313.000,245.000,0.000,447.000,225.000,0.418750,0.062500,-0.905948,44.450,107.218,170.985,3629.5
Majo_intento_4_ROI_640x480.mp4,68,2266.667,True,313.000,245.000,0.000,458.000,229.000,0.453125,0.050000,-0.890044,45.086,107.378,170.236,3700.5
Majo_intento_4_ROI_640x480.mp4,69,2300.000,True,313.000,245.000,0.000,459.000,229.000,0.456250,0.050000,-0.888446,44.360,106.797,170.342,3629.0
