video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_1_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,510.000,204.000,0.593750,0.112500,-0.796746,67.415,92.996,175.911,4659.5
roygel_intento_1_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,509.000,205.000,0.590625,0.109375,-0.799499,67.177,92.746,176.766,4624.0
roygel_intento_1_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,508.000,206.000,0.587500,0.106250,-0.802219,69.191,93.084,179.855,4810.5
roygel_intento_1_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,507.000,207.000,0.584375,0.103125,-0.804904,70.130,93.802,179.005,4930.5
roygel_intento_1_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,507.000,207.000,0.584375,0.103125,-0.804904,68.968,95.547,179.671,4884.5
roygel_intento_1_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,508.000,208.000,0.587500,0.100000,-0.803022,69.609,96.588,1.233,4993.0
roygel_intento_1_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,509.000,209.000,0.590625,0.096875,-0.801110,69.053,95.045,1.706,4895.0
roygel_intento_1_ROI_640x480.mp4,8,266.667,True,320.000,240.000,0.000,510.000,210.000,0.593750,0.093750,-0.799169,69.496,96.187,0.570,4942.5
roygel_intento_1_ROI_640x480.mp4,9,300.000,True,320.000,240.000,0.000,510.000,211.000,0.593750,0.090625,-0.799530,69.490,95.295,0.466,4917.5
roygel_intento_1_ROI_640x480.mp4,10,333.333,True,320.000,240.000,0.000,510.000,212.000,0.593750,0.087500,-0.799878,69.881,92.753,177.703,4857.0
roygel_intento_1_ROI_640x480.mp4,11,366.667,True,320.000,240.000,0.000,512.000,212.000,0.600000,0.087500,-0.795200,68.722,92.594,176.136,4818.0
roygel_intento_1_ROI_640x480.mp4,12,400.000,True,320.000,240.000,0.000,513.000,211.000,0.603125,0.090625,-0.792482,68.621,92.617,177.725,4774.0
roygel_intento_1_ROI_640x480.mp4,13,433.333,True,320.000,240.000,0.000,513.000,209.000,0.603125,0.096875,-0.791742,69.368,93.904,177.446,4946.0
roygel_intento_1_ROI_640x480.mp4,14,466.667,True,320.000,240.000,0.000,512.000,206.000,0.600000,0.106250,-0.792913,71.333,91.756,172.331,4911.5
roygel_intento_1_ROI_640x480.mp4,15,500.000,True,320.000,240.000,0.000,511.000,200.000,0.596875,0.125000,-0.792537,70.570,94.983,170.185,5081.0
roygel_intento_1_ROI_640x480.mp4,16,533.333,True,320.000,240.000,0.000,510.000,193.000,0.593750,0.146875,-0.791131,70.669,97.033,168.992,5227.5
roygel_intento_1_ROI_640x480.mp4,17,566.667,True,320.000,240.000,0.000,509.000,182.000,0.590625,0.181250,-0.786327,72.014,104.462,165.789,5810.5
roygel_intento_1_ROI_640x480.mp4,18,600.000,True,320.000,240.000,0.000,506.000,175.000,0.581250,0.203125,-0.787965,70.634,100.788,164.695,5516.0
roygel_intento_1_ROI_640x480.mp4,19,633.333,True,312.000,219.000,0.000,505.000,167.000,0.603125,0.162500,-0.780919,70.701,102.385,162.775,5622.0
roygel_intento_1_ROI_640x480.mp4,20,666.667,True,324.000,217.000,0.000,505.000,167.000,0.565625,0.156250,-0.809725,71.215,102.555,164.109,5684.0
roygel_intento_1_ROI_640x480.mp4,21,700.000,True,332.000,216.000,0.000,506.000,168.000,0.543750,0.150000,-0.825734,71.209,102.482,163.792,5689.0
roygel_intento_1_ROI_640x480.mp4,22,733.333,True,336.000,215.000,0.000,506.000,170.000,0.531250,0.140625,-0.835463,71.444,102.461,165.226,5706.0
roygel_intento_1_ROI_640x480.mp4,23,766.667,True,337.000,215.000,0.000,507.000,171.000,0.531250,0.137500,-0.835983,71.073,103.224,165.001,5707.5
roygel_intento_1_ROI_640x480.mp4,24,800.000,True,338.000,215.000,0.000,508.000,172.000,0.531250,0.134375,-0.836491,71.374,103.091,166.993,5727.0
roygel_intento_1_ROI_640x480.mp4,25,833.333,True,339.000,215.000,0.000,509.000,173.000,0.531250,0.131250,-0.836987,71.056,103.937,168.512,5727.5
roygel_intento_1_ROI_640x480.mp4,26,866.667,True,339.000,215.000,0.000,508.000,173.000,0.528125,0.131250,-0.838962,71.684,104.086,168.589,5801.5
