video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area,yolo_confidence
Stephanie_experimento_1_intento_1.mp4,1,33.333,True,270.000,240.000,0.000,330.000,177.000,0.250000,0.262500,-0.931984,53.569,62.516,128.817,2568.5,0.913
Stephanie_experimento_1_intento_1.mp4,2,66.667,True,270.000,240.000,0.000,330.000,177.000,0.250000,0.262500,-0.931984,53.945,62.867,130.526,2597.0,0.915
Stephanie_experimento_1_intento_1.mp4,3,100.000,True,270.000,240.000,0.000,330.000,177.000,0.250000,0.262500,-0.931984,53.924,61.383,128.367,2565.0,0.914
Stephanie_experimento_1_intento_1.mp4,4,133.333,True,270.000,240.000,0.000,330.000,177.000,0.250000,0.262500,-0.931984,53.917,60.882,126.408,2558.0,0.914
Stephanie_experimento_1_intento_1.mp4,5,166.667,True,270.000,240.000,0.000,331.000,177.000,0.254167,0.262500,-0.930856,53.872,61.737,127.679,2582.0,0.915
Stephanie_experimento_1_intento_1.mp4,6,200.000,True,270.000,240.000,0.000,331.000,177.000,0.254167,0.262500,-0.930856,53.577,62.891,131.565,2563.5,0.916
Stephanie_experimento_1_intento_1.mp4,7,233.333,True,270.000,240.000,0.000,332.000,177.000,0.258333,0.262500,-0.929708,53.288,62.150,131.992,2529.5,0.915
Stephanie_experimento_1_intento_1.mp4,8,266.667,True,270.000,240.000,0.000,333.000,177.000,0.262500,0.262500,-0.928541,53.336,61.372,129.836,2506.0,0.913
Stephanie_experimento_1_intento_1.mp4,9,300.000,True,270.000,240.000,0.000,333.000,177.000,0.262500,0.262500,-0.928541,52.806,61.411,132.929,2480.5,0.911
Stephanie_experimento_1_intento_1.mp4,10,333.333,True,270.000,240.000,0.000,334.000,177.000,0.266667,0.262500,-0.927352,53.050,61.558,131.811,2472.0,0.908
Stephanie_experimento_1_intento_1.mp4,11,366.667,True,270.000,240.000,0.000,335.000,177.000,0.270833,0.262500,-0.926144,52.512,60.835,130.415,2376.0,0.902
Stephanie_experimento_1_intento_1.mp4,12,400.000,True,282.000,238.000,0.000,335.000,177.000,0.220833,0.254167,-0.941611,51.667,61.092,131.192,2351.0,0.904
Stephanie_experimento_1_intento_1.mp4,13,433.333,True,278.000,243.000,0.000,336.000,177.000,0.241667,0.275000,-0.930576,51.336,60.778,129.593,2303.5,0.908
Stephanie_experimento_1_intento_1.mp4,14,466.667,True,276.000,244.000,0.000,336.000,177.000,0.250000,0.279167,-0.927128,51.027,60.714,130.931,2291.5,0.909
Stephanie_experimento_1_intento_1.mp4,15,500.000,True,276.000,245.000,0.000,338.000,177.000,0.258333,0.283333,-0.923572,49.791,59.851,132.154,2209.5,0.908
Stephanie_experimento_1_intento_1.mp4,16,533.333,True,275.000,246.000,0.000,349.000,172.000,0.308333,0.308333,-0.899923,37.487,60.784,139.603,1708.5,0.927
Stephanie_experimento_1_intento_1.mp4,17,566.667,True,275.000,246.000,0.000,361.000,166.000,0.358333,0.333333,-0.872059,37.124,59.471,145.014,1658.5,0.909
Stephanie_experimento_1_intento_1.mp4,18,600.000,True,275.000,246.000,0.000,363.000,166.000,0.366667,0.333333,-0.868588,36.816,58.791,145.531,1629.5,0.908
Stephanie_experimento_1_intento_1.mp4,19,633.333,True,274.000,247.000,0.000,363.000,166.000,0.370833,0.337500,-0.865203,37.030,60.030,143.954,1611.5,0.903
Stephanie_experimento_1_intento_1.mp4,20,666.667,True,274.000,247.000,0.000,363.000,166.000,0.370833,0.337500,-0.865203,36.587,59.268,145.155,1598.5,0.900
Stephanie_experimento_1_intento_1.mp4,21,700.000,True,274.000,247.000,0.000,364.000,166.000,0.375000,0.337500,-0.863405,36.300,59.246,144.484,1576.5,0.899
Stephanie_experimento_1_intento_1.mp4,22,733.333,True,274.000,248.000,0.000,364.000,166.000,0.375000,0.341667,-0.861765,36.070,59.971,143.374,1580.0,0.896
Stephanie_experimento_1_intento_1.mp4,23,766.667,True,273.000,248.000,0.000,365.000,166.000,0.383333,0.341667,-0.858091,35.271,59.422,143.849,1527.0,0.908
Stephanie_experimento_1_intento_1.mp4,24,800.000,True,273.000,248.000,0.000,366.000,166.000,0.387500,0.341667,-0.856217,35.160,60.474,143.188,1539.5,0.911
Stephanie_experimento_1_intento_1.mp4,25,833.333,True,273.000,248.000,0.000,366.000,166.000,0.387500,0.341667,-0.856217,35.628,58.514,145.337,1541.0,0.910
Stephanie_experimento_1_intento_1.mp4,26,866.667,True,273.000,248.000,0.000,367.000,166.000,0.391667,0.341667,-0.854319,35.462,59.164,145.829,1549.5,0.909
Stephanie_experimento_1_intento_1.mp4,27,900.000,True,273.000,248.000,0.000,366.000,166.000,0.387500,0.341667,-0.856217,35.305,57.662,144.316,1538.5,0.908
Stephanie_experimento_1_intento_1.mp4,28,933.333,True,273.000,248.000,0.000,366.000,166.000,0.387500,0.341667,-0.856217,35.846,57.861,144.104,1546.0,0.906
Stephanie_experimento_1_intento_1.mp4,29,966.667,True,273.000,248.000,0.000,365.000,165.000,0.383333,0.345833,-0.856420,35.225,57.468,143.890,1501.5,0.899
Stephanie_experimento_1_intento_1.mp4,30,1000.000,True,273.000,248.000,0.000,365.000,165.000,0.383333,0.345833,-0.856420,35.095,58.289,144.861,1511.0,0.898
Stephanie_experimento_1_intento_1.mp4,31,1033.333,True,273.000,248.000,0.000,365.000,165.000,0.383333,0.345833,-0.856420,35.539,57.967,142.906,1513.5,0.898
Stephanie_experimento_1_intento_1.mp4,32,1066.667,True,273.000,248.000,0.000,365.000,165.000,0.383333,0.345833,-0.856420,35.214,58.123,143.248,1494.0,0.900
Stephanie_experimento_1_intento_1.mp4,33,1100.000,True,273.000,248.000,0.000,364.000,165.000,0.379167,0.345833,-0.858273,35.374,58.031,142.996,1478.5,0.903
Stephanie_experimento_1_intento_1.mp4,34,1133.333,True,273.000,248.000,0.000,364.000,165.000,0.379167,0.345833,-0.858273,35.229,57.231,143.883,1479.5,0.910
Stephanie_experimento_1_intento_1.mp4,35,1166.667,True,273.000,248.000,0.000,364.000,166.000,0.379167,0.341667,-0.859940,35.025,57.189,142.321,1471.0,0.912
Stephanie_experimento_1_intento_1.mp4,36,1200.000,True,273.000,248.000,0.000,364.000,166.000,0.379167,0.341667,-0.859940,35.303,57.377,143.378,1465.5,0.915
Stephanie_experimento_1_intento_1.mp4,37,1233.333,True,273.000,248.000,0.000,364.000,166.000,0.379167,0.341667,-0.859940,35.023,56.365,142.150,1455.5,0.917
Stephanie_experimento_1_intento_1.mp4,38,1266.667,True,273.000,248.000,0.000,363.000,166.000,0.375000,0.341667,-0.861765,34.603,55.676,142.599,1414.5,0.922
Stephanie_experimento_1_intento_1.mp4,39,1300.000,True,273.000,248.000,0.000,363.000,166.000,0.375000,0.341667,-0.861765,34.715,56.175,142.817,1423.0,0.927
Stephanie_experimento_1_intento_1.mp4,40,1333.333,True,273.000,248.000,0.000,363.000,165.000,0.375000,0.345833,-0.860101,33.946,56.600,141.865,1415.0,0.924
Stephanie_experimento_1_intento_1.mp4,41,1366.667,True,273.000,248.000,0.000,363.000,165.000,0.375000,0.345833,-0.860101,34.441,56.266,142.406,1404.5,0.925
Stephanie_experimento_1_intento_1.mp4,42,1400.000,True,273.000,248.000,0.000,363.000,165.000,0.375000,0.345833,-0.860101,34.552,55.253,140.941,1414.0,0.925
Stephanie_experimento_1_intento_1.mp4,43,1433.333,True,273.000,248.000,0.000,362.000,165.000,0.370833,0.345833,-0.861906,34.380,55.967,140.278,1403.0,0.923
Stephanie_experimento_1_intento_1.mp4,44,1466.667,True,273.000,248.000,0.000,362.000,165.000,0.370833,0.345833,-0.861906,34.009,55.541,141.960,1369.5,0.924
Stephanie_experimento_1_intento_1.mp4,45,1500.000,True,273.000,248.000,0.000,362.000,165.000,0.370833,0.345833,-0.861906,33.791,55.854,141.031,1361.0,0.925
Stephanie_experimento_1_intento_1.mp4,46,1533.333,True,273.000,248.000,0.000,362.000,165.000,0.370833,0.345833,-0.861906,33.758,55.380,142.505,1372.0,0.926
Stephanie_experimento_1_intento_1.mp4,47,1566.667,True,273.000,248.000,0.000,362.000,165.000,0.370833,0.345833,-0.861906,34.045,54.829,142.168,1353.0,0.925
Stephanie_experimento_1_intento_1.mp4,48,1600.000,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,33.734,56.014,139.933,1374.5,0.926
Stephanie_experimento_1_intento_1.mp4,49,1633.333,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,34.156,55.750,139.528,1366.0,0.927
Stephanie_experimento_1_intento_1.mp4,50,1666.667,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,33.540,54.300,139.686,1326.0,0.928
Stephanie_experimento_1_intento_1.mp4,51,1700.000,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,33.526,54.114,140.492,1332.0,0.928
Stephanie_experimento_1_intento_1.mp4,52,1733.333,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,34.129,53.273,140.466,1332.5,0.929
Stephanie_experimento_1_intento_1.mp4,53,1766.667,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,33.534,54.312,141.236,1327.5,0.927
Stephanie_experimento_1_intento_1.mp4,54,1800.000,True,273.000,248.000,0.000,361.000,165.000,0.366667,0.345833,-0.863687,33.190,54.483,141.327,1322.5,0.925
Stephanie_experimento_1_intento_1.mp4,55,1833.333,True,274.000,248.000,0.000,359.000,164.000,0.354167,0.350000,-0.867217,34.104,53.816,140.110,1313.5,0.925
Stephanie_experimento_1_intento_1.mp4,56,1866.667,True,274.000,247.000,0.000,357.000,163.000,0.345833,0.350000,-0.870574,34.640,54.052,141.167,1311.5,0.922
Stephanie_experimento_1_intento_1.mp4,57,1900.000,True,274.000,247.000,0.000,356.000,163.000,0.341667,0.350000,-0.872218,34.511,54.470,139.785,1312.0,0.922
