video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area,yolo_confidence
Venegas_intento_3.mp4,1,33.333,True,300.000,220.000,0.000,374.000,144.000,0.308333,0.316667,-0.897024,65.474,75.205,96.410,3562.5,0.917
Venegas_intento_3.mp4,2,66.667,True,300.000,220.000,0.000,376.000,142.000,0.316667,0.325000,-0.891121,65.494,77.930,115.445,3784.5,0.923
Venegas_intento_3.mp4,3,100.000,True,300.000,220.000,0.000,378.000,138.000,0.325000,0.341667,-0.881838,68.474,87.703,136.917,4460.5,0.930
Venegas_intento_3.mp4,4,133.333,True,300.000,220.000,0.000,377.000,135.000,0.320833,0.354167,-0.878426,68.623,90.385,142.596,4679.5,0.933
Venegas_intento_3.mp4,5,166.667,True,300.000,220.000,0.000,377.000,134.000,0.320833,0.358333,-0.876734,68.838,90.811,142.392,4705.5,0.936
Venegas_intento_3.mp4,6,200.000,True,300.000,220.000,0.000,377.000,134.000,0.320833,0.358333,-0.876734,68.798,90.960,143.338,4732.0,0.934
Venegas_intento_3.mp4,7,233.333,True,300.000,220.000,0.000,377.000,134.000,0.320833,0.358333,-0.876734,69.144,91.855,144.219,4780.0,0.930
Venegas_intento_3.mp4,8,266.667,True,300.000,220.000,0.000,376.000,134.000,0.316667,0.358333,-0.878248,69.315,92.131,143.534,4854.0,0.929
Venegas_intento_3.mp4,9,300.000,True,300.000,220.000,0.000,375.000,134.000,0.312500,0.358333,-0.879739,70.386,92.186,142.291,4894.5,0.932
Venegas_intento_3.mp4,10,333.333,True,300.000,220.000,0.000,382.000,132.000,0.341667,0.366667,-0.865344,61.126,92.398,143.767,4323.0,0.914
Venegas_intento_3.mp4,11,366.667,True,300.000,220.000,0.000,399.000,128.000,0.412500,0.383333,-0.826377,51.553,87.211,144.656,3477.0,0.911
Venegas_intento_3.mp4,12,400.000,True,300.000,220.000,0.000,407.000,125.000,0.445833,0.395833,-0.802838,51.289,87.985,145.213,3473.0,0.910
Venegas_intento_3.mp4,13,433.333,True,300.000,220.000,0.000,407.000,124.000,0.445833,0.400000,-0.800770,51.420,88.661,144.598,3490.5,0.908
Venegas_intento_3.mp4,14,466.667,True,300.000,220.000,0.000,406.000,124.000,0.441667,0.400000,-0.803076,52.005,89.206,144.798,3582.0,0.907
Venegas_intento_3.mp4,15,500.000,True,300.000,220.000,0.000,406.000,124.000,0.441667,0.400000,-0.803076,52.536,89.609,144.321,3609.5,0.905
Venegas_intento_3.mp4,16,533.333,True,300.000,220.000,0.000,406.000,124.000,0.441667,0.400000,-0.803076,52.522,89.990,144.241,3623.5,0.906
Venegas_intento_3.mp4,17,566.667,True,300.000,220.000,0.000,406.000,124.000,0.441667,0.400000,-0.803076,51.813,89.166,145.553,3542.5,0.905
Venegas_intento_3.mp4,18,600.000,True,259.000,226.000,0.000,407.000,124.000,0.616667,0.425000,-0.662644,51.661,89.785,145.983,3537.5,0.908
Venegas_intento_3.mp4,19,633.333,True,259.000,226.000,0.000,398.000,122.000,0.579167,0.433333,-0.690499,59.499,87.643,144.927,3939.0,0.931
Venegas_intento_3.mp4,20,666.667,True,259.000,226.000,0.000,388.000,120.000,0.537500,0.441667,-0.718348,59.642,90.948,141.646,4166.5,0.920
Venegas_intento_3.mp4,21,700.000,True,259.000,226.000,0.000,387.000,120.000,0.533333,0.441667,-0.721447,59.454,91.543,140.811,4130.0,0.915
Venegas_intento_3.mp4,22,733.333,True,259.000,226.000,0.000,386.000,120.000,0.529167,0.441667,-0.724509,59.110,90.188,140.234,4101.5,0.912
Venegas_intento_3.mp4,23,766.667,True,259.000,226.000,0.000,386.000,119.000,0.529167,0.445833,-0.721952,58.764,90.176,140.869,4064.0,0.904
Venegas_intento_3.mp4,24,800.000,True,258.000,226.000,0.000,386.000,118.000,0.533333,0.450000,-0.716279,58.317,89.779,139.882,4016.0,0.906
Venegas_intento_3.mp4,25,833.333,True,257.000,227.000,0.000,386.000,118.000,0.537500,0.454167,-0.710511,57.666,89.481,140.312,3981.0,0.904
Venegas_intento_3.mp4,26,866.667,True,255.000,228.000,0.000,386.000,123.000,0.545833,0.437500,-0.714605,55.011,65.230,87.363,2635.0,0.906
Venegas_intento_3.mp4,27,900.000,True,254.000,229.000,0.000,381.000,127.000,0.529167,0.425000,-0.734410,44.255,69.318,88.323,2260.5,0.904
Venegas_intento_3.mp4,28,933.333,True,253.000,229.000,0.000,374.000,124.000,0.504167,0.437500,-0.744587,59.186,76.876,117.320,3521.5,0.910
Venegas_intento_3.mp4,29,966.667,True,253.000,230.000,0.000,372.000,118.000,0.495833,0.466667,-0.732374,61.046,86.878,130.542,4080.5,0.910
Venegas_intento_3.mp4,30,1000.000,True,252.000,231.000,0.000,371.000,115.000,0.495833,0.483333,-0.721483,60.888,88.616,133.393,4152.0,0.928
Venegas_intento_3.mp4,31,1033.333,True,252.000,231.000,0.000,371.000,115.000,0.495833,0.483333,-0.721483,60.266,88.738,135.030,4119.5,0.925
Venegas_intento_3.mp4,32,1066.667,True,251.000,231.000,0.000,372.000,115.000,0.504167,0.483333,-0.715685,60.059,88.726,136.400,4132.0,0.921
Venegas_intento_3.mp4,33,1100.000,True,251.000,232.000,0.000,374.000,115.000,0.512500,0.487500,-0.706886,59.108,90.458,136.222,4078.0,0.923
Venegas_intento_3.mp4,34,1133.333,True,251.000,232.000,0.000,390.000,118.000,0.579167,0.475000,-0.662526,47.381,90.554,141.527,3345.5,0.906
Venegas_intento_3.mp4,35,1166.667,True,251.000,232.000,0.000,409.000,121.000,0.658333,0.462500,-0.593878,47.983,89.286,143.770,3324.5,0.911
Venegas_intento_3.mp4,36,1200.000,True,251.000,232.000,0.000,412.000,122.000,0.670833,0.458333,-0.583021,47.015,90.065,144.026,3273.0,0.905
Venegas_intento_3.mp4,37,1233.333,True,251.000,232.000,0.000,413.000,122.000,0.675000,0.458333,-0.578192,46.715,91.126,144.597,3290.5,0.903
Venegas_intento_3.mp4,38,1266.667,True,251.000,232.000,0.000,413.000,122.000,0.675000,0.458333,-0.578192,46.751,90.927,144.811,3279.5,0.903
Venegas_intento_3.mp4,39,1300.000,True,251.000,232.000,0.000,414.000,122.000,0.679167,0.458333,-0.573292,46.260,91.120,145.556,3261.0,0.895
Venegas_intento_3.mp4,40,1333.333,True,251.000,232.000,0.000,417.000,123.000,0.691667,0.454167,-0.561542,43.597,91.521,146.588,3070.0,0.869
Venegas_intento_3.mp4,41,1366.667,True,251.000,232.000,0.000,420.000,124.000,0.704167,0.450000,-0.549226,44.444,92.420,145.928,3086.0,0.864
Venegas_intento_3.mp4,42,1400.000,True,251.000,232.000,0.000,420.000,124.000,0.704167,0.450000,-0.549226,43.314,91.576,146.935,3068.0,0.864
Venegas_intento_3.mp4,43,1433.333,True,251.000,232.000,0.000,420.000,124.000,0.704167,0.450000,-0.549226,43.871,91.117,146.338,3066.5,0.863
Venegas_intento_3.mp4,44,1466.667,True,251.000,232.000,0.000,420.000,124.000,0.704167,0.450000,-0.549226,43.791,91.254,146.000,3041.5,0.868
Venegas_intento_3.mp4,45,1500.000,True,251.000,232.000,0.000,420.000,124.000,0.704167,0.450000,-0.549226,43.385,90.822,146.813,3038.0,0.876
Venegas_intento_3.mp4,46,1533.333,True,251.000,232.000,0.000,421.000,124.000,0.708333,0.450000,-0.543842,43.340,90.534,146.916,3023.5,0.866
Venegas_intento_3.mp4,47,1566.667,True,251.000,232.000,0.000,421.000,124.000,0.708333,0.450000,-0.543842,43.483,90.917,146.864,3011.5,0.865
Venegas_intento_3.mp4,48,1600.000,True,251.000,232.000,0.000,418.000,123.000,0.695833,0.454167,-0.556371,45.925,87.528,147.268,3070.5,0.890
Venegas_intento_3.mp4,49,1633.333,True,251.000,232.000,0.000,405.000,122.000,0.641667,0.458333,-0.614975,56.150,91.631,141.842,3901.5,0.921
Venegas_intento_3.mp4,50,1666.667,True,251.000,232.000,0.000,394.000,121.000,0.595833,0.462500,-0.656564,55.851,90.772,140.199,3876.5,0.921
Venegas_intento_3.mp4,51,1700.000,True,251.000,232.000,0.000,394.000,121.000,0.595833,0.462500,-0.656564,55.315,90.640,140.777,3834.0,0.921
Venegas_intento_3.mp4,52,1733.333,True,251.000,232.000,0.000,394.000,121.000,0.595833,0.462500,-0.656564,55.089,90.526,139.922,3839.0,0.922
Venegas_intento_3.mp4,53,1766.667,True,251.000,232.000,0.000,394.000,121.000,0.595833,0.462500,-0.656564,55.517,90.390,140.145,3836.5,0.922
Venegas_intento_3.mp4,54,1800.000,True,251.000,232.000,0.000,394.000,121.000,0.595833,0.462500,-0.656564,55.474,90.303,141.099,3844.0,0.923
