video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Victor_experimento_1_intento_3.mp4,1,8.333,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,53.225,64.080,119.331,2506.0
Victor_experimento_1_intento_3.mp4,2,16.667,True,130.000,160.000,0.000,164.000,99.000,0.188889,0.338889,-0.921670,53.272,63.056,120.909,2499.0
Victor_experimento_1_intento_3.mp4,3,25.000,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,53.037,64.019,118.206,2507.5
Victor_experimento_1_intento_3.mp4,4,33.333,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,52.641,64.006,119.246,2494.0
Victor_experimento_1_intento_3.mp4,5,41.667,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,52.990,63.335,119.538,2497.0
Victor_experimento_1_intento_3.mp4,6,50.000,True,130.000,160.000,0.000,164.000,98.000,0.188889,0.344444,-0.919608,53.235,63.002,120.265,2497.0
Victor_experimento_1_intento_3.mp4,7,58.333,True,130.000,160.000,0.000,163.000,99.000,0.183333,0.338889,-0.922791,53.531,63.479,118.338,2498.5
Victor_experimento_1_intento_3.mp4,8,66.667,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,52.791,63.838,116.346,2502.0
Victor_experimento_1_intento_3.mp4,9,75.000,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,53.056,64.999,118.673,2516.5
Victor_experimento_1_intento_3.mp4,10,83.333,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,52.973,65.211,119.769,2497.5
Victor_experimento_1_intento_3.mp4,11,91.667,True,130.000,160.000,0.000,163.000,98.000,0.183333,0.344444,-0.920732,52.992,64.318,120.099,2500.0
Victor_experimento_1_intento_3.mp4,12,100.000,True,130.000,160.000,0.000,163.000,99.000,0.183333,0.338889,-0.922791,53.301,62.399,118.368,2485.5
