video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area,yolo_confidence
Stephanie_calibracion_en_vivo_intento_2.mp4,1,33.333,True,270.000,280.000,0.000,327.000,169.000,0.237500,0.462500,-0.854217,50.619,70.350,93.948,1891.0,0.885
Stephanie_calibracion_en_vivo_intento_2.mp4,2,66.667,True,270.000,280.000,0.000,327.000,168.000,0.237500,0.466667,-0.851948,46.927,70.955,88.365,1941.0,0.891
Stephanie_calibracion_en_vivo_intento_2.mp4,3,100.000,True,270.000,280.000,0.000,327.000,169.000,0.237500,0.462500,-0.854217,49.719,68.715,84.295,1920.5,0.892
Stephanie_calibracion_en_vivo_intento_2.mp4,4,133.333,True,270.000,280.000,0.000,327.000,170.000,0.237500,0.458333,-0.856460,52.921,68.044,87.926,1979.5,0.892
Stephanie_calibracion_en_vivo_intento_2.mp4,5,166.667,True,270.000,280.000,0.000,327.000,170.000,0.237500,0.458333,-0.856460,52.459,69.191,88.840,2002.0,0.889
Stephanie_calibracion_en_vivo_intento_2.mp4,6,200.000,True,270.000,280.000,0.000,327.000,170.000,0.237500,0.458333,-0.856460,51.306,68.330,81.072,2034.0,0.885
Stephanie_calibracion_en_vivo_intento_2.mp4,7,233.333,True,270.000,280.000,0.000,327.000,169.000,0.237500,0.462500,-0.854217,49.351,71.657,87.831,2007.0,0.884
Stephanie_calibracion_en_vivo_intento_2.mp4,8,266.667,True,270.000,280.000,0.000,328.000,168.000,0.241667,0.466667,-0.850776,51.008,69.582,88.341,2003.5,0.883
Stephanie_calibracion_en_vivo_intento_2.mp4,9,300.000,True,270.000,280.000,0.000,331.000,168.000,0.254167,0.466667,-0.847125,51.288,67.525,81.636,1903.0,0.897
Stephanie_calibracion_en_vivo_intento_2.mp4,10,333.333,True,270.000,280.000,0.000,342.000,165.000,0.300000,0.479167,-0.824863,42.754,62.345,103.193,1510.5,0.862
Stephanie_calibracion_en_vivo_intento_2.mp4,11,366.667,True,270.000,280.000,0.000,352.000,162.000,0.341667,0.491667,-0.800954,44.020,62.966,110.632,1501.5,0.857
Stephanie_calibracion_en_vivo_intento_2.mp4,12,400.000,True,270.000,280.000,0.000,352.000,161.000,0.341667,0.495833,-0.798382,42.831,63.221,107.864,1530.0,0.867
Stephanie_calibracion_en_vivo_intento_2.mp4,13,433.333,True,270.000,280.000,0.000,352.000,161.000,0.341667,0.495833,-0.798382,43.456,62.607,106.542,1549.0,0.870
Stephanie_calibracion_en_vivo_intento_2.mp4,14,466.667,True,270.000,280.000,0.000,354.000,159.000,0.350000,0.504167,-0.789504,43.026,59.709,112.336,1352.0,0.862
Stephanie_calibracion_en_vivo_intento_2.mp4,15,500.000,True,270.000,280.000,0.000,357.000,157.000,0.362500,0.512500,-0.778420,40.972,62.549,123.025,1354.5,0.855
Stephanie_calibracion_en_vivo_intento_2.mp4,16,533.333,True,270.000,280.000,0.000,357.000,157.000,0.362500,0.512500,-0.778420,43.260,62.475,117.972,1454.5,0.874
Stephanie_calibracion_en_vivo_intento_2.mp4,17,566.667,True,270.000,280.000,0.000,356.000,157.000,0.358333,0.512500,-0.780347,44.572,63.533,126.656,1546.5,0.890
Stephanie_calibracion_en_vivo_intento_2.mp4,18,600.000,True,270.000,280.000,0.000,355.000,158.000,0.354167,0.508333,-0.784961,44.890,62.329,121.663,1578.0,0.894
Stephanie_calibracion_en_vivo_intento_2.mp4,19,633.333,True,270.000,280.000,0.000,355.000,157.000,0.354167,0.512500,-0.782247,45.232,62.080,119.694,1575.5,0.897
Stephanie_calibracion_en_vivo_intento_2.mp4,20,666.667,True,270.000,280.000,0.000,355.000,157.000,0.354167,0.512500,-0.782247,48.831,59.253,120.975,1579.5,0.892
Stephanie_calibracion_en_vivo_intento_2.mp4,21,700.000,True,270.000,280.000,0.000,355.000,158.000,0.354167,0.508333,-0.784961,43.834,67.321,125.468,1570.0,0.894
Stephanie_calibracion_en_vivo_intento_2.mp4,22,733.333,True,270.000,280.000,0.000,356.000,160.000,0.358333,0.500000,-0.788414,45.149,67.958,130.738,1567.5,0.891
Stephanie_calibracion_en_vivo_intento_2.mp4,23,766.667,True,270.000,280.000,0.000,357.000,160.000,0.362500,0.500000,-0.786507,44.788,62.383,122.698,1568.0,0.890
Stephanie_calibracion_en_vivo_intento_2.mp4,24,800.000,True,270.000,280.000,0.000,357.000,158.000,0.362500,0.508333,-0.781147,45.053,60.509,121.498,1502.0,0.886
Stephanie_calibracion_en_vivo_intento_2.mp4,25,833.333,True,270.000,280.000,0.000,357.000,157.000,0.362500,0.512500,-0.778420,45.333,59.170,122.454,1481.5,0.889
Stephanie_calibracion_en_vivo_intento_2.mp4,26,866.667,True,270.000,280.000,0.000,358.000,157.000,0.366667,0.512500,-0.776466,44.510,58.181,125.407,1453.5,0.890
Stephanie_calibracion_en_vivo_intento_2.mp4,27,900.000,True,270.000,280.000,0.000,359.000,159.000,0.370833,0.504167,-0.779935,44.691,61.973,131.110,1458.0,0.887
Stephanie_calibracion_en_vivo_intento_2.mp4,28,933.333,True,270.000,280.000,0.000,359.000,159.000,0.370833,0.504167,-0.779935,43.647,60.134,126.349,1452.0,0.879
Stephanie_calibracion_en_vivo_intento_2.mp4,29,966.667,True,270.000,280.000,0.000,359.000,158.000,0.370833,0.508333,-0.777226,41.590,60.749,119.122,1442.0,0.877
Stephanie_calibracion_en_vivo_intento_2.mp4,30,1000.000,True,270.000,280.000,0.000,359.000,158.000,0.370833,0.508333,-0.777226,41.755,61.131,121.177,1435.5,0.879
Stephanie_calibracion_en_vivo_intento_2.mp4,31,1033.333,True,270.000,280.000,0.000,359.000,159.000,0.370833,0.504167,-0.779935,43.778,57.663,123.334,1450.0,0.874
Stephanie_calibracion_en_vivo_intento_2.mp4,32,1066.667,True,270.000,280.000,0.000,359.000,159.000,0.370833,0.504167,-0.779935,44.577,58.913,123.260,1453.0,0.877
Stephanie_calibracion_en_vivo_intento_2.mp4,33,1100.000,True,270.000,280.000,0.000,359.000,159.000,0.370833,0.504167,-0.779935,42.313,60.248,127.068,1482.0,0.878
Stephanie_calibracion_en_vivo_intento_2.mp4,34,1133.333,True,270.000,280.000,0.000,358.000,159.000,0.366667,0.504167,-0.781903,42.598,61.943,126.568,1499.5,0.884
Stephanie_calibracion_en_vivo_intento_2.mp4,35,1166.667,True,270.000,280.000,0.000,357.000,159.000,0.362500,0.504167,-0.783843,43.927,58.883,125.447,1516.5,0.883
Stephanie_calibracion_en_vivo_intento_2.mp4,36,1200.000,True,270.000,280.000,0.000,356.000,159.000,0.358333,0.504167,-0.785756,44.487,57.591,125.337,1547.5,0.886
Stephanie_calibracion_en_vivo_intento_2.mp4,37,1233.333,True,270.000,280.000,0.000,356.000,159.000,0.358333,0.504167,-0.785756,43.265,59.508,124.580,1546.5,0.888
Stephanie_calibracion_en_vivo_intento_2.mp4,38,1266.667,True,270.000,280.000,0.000,356.000,159.000,0.358333,0.504167,-0.785756,43.455,62.607,131.472,1588.0,0.892
Stephanie_calibracion_en_vivo_intento_2.mp4,39,1300.000,True,270.000,280.000,0.000,356.000,159.000,0.358333,0.504167,-0.785756,42.761,60.641,125.176,1614.5,0.893
Stephanie_calibracion_en_vivo_intento_2.mp4,40,1333.333,True,270.000,280.000,0.000,356.000,160.000,0.358333,0.500000,-0.788414,42.649,63.195,133.925,1632.5,0.895
Stephanie_calibracion_en_vivo_intento_2.mp4,41,1366.667,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,42.528,62.724,130.824,1646.5,0.895
Stephanie_calibracion_en_vivo_intento_2.mp4,42,1400.000,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,42.725,62.236,135.786,1655.0,0.896
Stephanie_calibracion_en_vivo_intento_2.mp4,43,1433.333,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,42.992,61.433,130.153,1653.5,0.898
Stephanie_calibracion_en_vivo_intento_2.mp4,44,1466.667,True,270.000,280.000,0.000,356.000,160.000,0.358333,0.500000,-0.788414,42.644,60.987,128.052,1679.0,0.900
Stephanie_calibracion_en_vivo_intento_2.mp4,45,1500.000,True,270.000,280.000,0.000,356.000,160.000,0.358333,0.500000,-0.788414,44.028,60.673,138.120,1658.0,0.901
Stephanie_calibracion_en_vivo_intento_2.mp4,46,1533.333,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,43.981,60.788,134.615,1650.5,0.899
Stephanie_calibracion_en_vivo_intento_2.mp4,47,1566.667,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,42.295,60.187,129.537,1656.5,0.903
Stephanie_calibracion_en_vivo_intento_2.mp4,48,1600.000,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,42.897,63.167,134.141,1683.0,0.902
Stephanie_calibracion_en_vivo_intento_2.mp4,49,1633.333,True,270.000,280.000,0.000,356.000,162.000,0.358333,0.491667,-0.793638,42.678,63.265,133.404,1707.0,0.900
Stephanie_calibracion_en_vivo_intento_2.mp4,50,1666.667,True,270.000,280.000,0.000,356.000,162.000,0.358333,0.491667,-0.793638,42.945,62.916,133.868,1719.0,0.902
Stephanie_calibracion_en_vivo_intento_2.mp4,51,1700.000,True,270.000,280.000,0.000,356.000,162.000,0.358333,0.491667,-0.793638,43.521,61.316,138.579,1721.0,0.899
Stephanie_calibracion_en_vivo_intento_2.mp4,52,1733.333,True,270.000,280.000,0.000,356.000,161.000,0.358333,0.495833,-0.791041,43.339,61.824,134.336,1717.0,0.898
Stephanie_calibracion_en_vivo_intento_2.mp4,53,1766.667,True,270.000,280.000,0.000,355.000,161.000,0.354167,0.495833,-0.792916,43.853,62.699,132.839,1731.5,0.898
Stephanie_calibracion_en_vivo_intento_2.mp4,54,1800.000,True,270.000,280.000,0.000,355.000,161.000,0.354167,0.495833,-0.792916,44.118,62.601,134.432,1745.5,0.901
Stephanie_calibracion_en_vivo_intento_2.mp4,55,1833.333,True,270.000,280.000,0.000,355.000,161.000,0.354167,0.495833,-0.792916,44.545,61.383,136.572,1749.5,0.902
Stephanie_calibracion_en_vivo_intento_2.mp4,56,1866.667,True,270.000,280.000,0.000,355.000,161.000,0.354167,0.495833,-0.792916,44.001,62.817,133.100,1754.0,0.900
Stephanie_calibracion_en_vivo_intento_2.mp4,57,1900.000,True,270.000,280.000,0.000,354.000,161.000,0.350000,0.495833,-0.794764,44.537,62.557,139.130,1752.0,0.898
Stephanie_calibracion_en_vivo_intento_2.mp4,58,1933.333,True,270.000,280.000,0.000,355.000,161.000,0.354167,0.495833,-0.792916,44.204,62.337,133.940,1749.5,0.898
Stephanie_calibracion_en_vivo_intento_2.mp4,59,1966.667,True,270.000,280.000,0.000,355.000,161.000,0.354167,0.495833,-0.792916,43.673,63.632,134.989,1756.0,0.900
Stephanie_calibracion_en_vivo_intento_2.mp4,60,2000.000,True,270.000,280.000,0.000,354.000,161.000,0.350000,0.495833,-0.794764,44.507,61.865,134.012,1779.0,0.899
Stephanie_calibracion_en_vivo_intento_2.mp4,61,2033.333,True,270.000,280.000,0.000,354.000,161.000,0.350000,0.495833,-0.794764,44.380,62.506,139.547,1795.0,0.902
Stephanie_calibracion_en_vivo_intento_2.mp4,62,2066.667,True,270.000,280.000,0.000,354.000,162.000,0.350000,0.491667,-0.797348,45.481,62.029,133.299,1833.5,0.898
Stephanie_calibracion_en_vivo_intento_2.mp4,63,2100.000,True,270.000,280.000,0.000,354.000,162.000,0.350000,0.491667,-0.797348,44.491,64.252,135.541,1835.0,0.897
Stephanie_calibracion_en_vivo_intento_2.mp4,64,2133.333,True,270.000,280.000,0.000,354.000,161.000,0.350000,0.495833,-0.794764,44.913,62.355,132.524,1820.5,0.893
Stephanie_calibracion_en_vivo_intento_2.mp4,65,2166.667,True,270.000,280.000,0.000,354.000,161.000,0.350000,0.495833,-0.794764,44.753,62.926,133.721,1818.5,0.891
Stephanie_calibracion_en_vivo_intento_2.mp4,66,2200.000,True,270.000,280.000,0.000,354.000,161.000,0.350000,0.495833,-0.794764,44.791,63.126,133.837,1820.5,0.890
Stephanie_calibracion_en_vivo_intento_2.mp4,67,2233.333,True,270.000,280.000,0.000,354.000,162.000,0.350000,0.491667,-0.797348,45.048,63.849,137.562,1827.5,0.891
Stephanie_calibracion_en_vivo_intento_2.mp4,68,2266.667,True,270.000,280.000,0.000,354.000,162.000,0.350000,0.491667,-0.797348,45.457,64.379,138.841,1825.5,0.887
Stephanie_calibracion_en_vivo_intento_2.mp4,69,2300.000,True,270.000,280.000,0.000,354.000,162.000,0.350000,0.491667,-0.797348,45.269,65.612,138.739,1824.5,0.890
Stephanie_calibracion_en_vivo_intento_2.mp4,70,2333.333,True,270.000,280.000,0.000,353.000,161.000,0.345833,0.495833,-0.796586,45.873,64.073,135.122,1849.0,0.887
