video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Majo_intento_2_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,433.000,243.000,0.353125,-0.009375,-0.935529,57.807,74.652,12.613,3121.0
Majo_intento_2_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,432.000,239.000,0.350000,0.003125,-0.936744,57.263,93.285,175.583,3926.5
Majo_intento_2_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,432.000,236.000,0.350000,0.012500,-0.936666,56.036,108.039,175.314,4599.0
Majo_intento_2_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,432.000,232.000,0.350000,0.025000,-0.936416,55.890,104.568,175.650,4426.5
Majo_intento_2_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,432.000,231.000,0.350000,0.028125,-0.936327,56.259,103.231,176.272,4383.5
Majo_intento_2_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,432.000,231.000,0.350000,0.028125,-0.936327,56.367,102.487,176.553,4411.5
Majo_intento_2_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,433.000,232.000,0.353125,0.025000,-0.935242,56.430,105.132,175.920,4522.5
Majo_intento_2_ROI_640x480.mp4,8,266.667,True,320.000,240.000,0.000,433.000,232.000,0.353125,0.025000,-0.935242,56.022,103.869,176.432,4497.5
Majo_intento_2_ROI_640x480.mp4,9,300.000,True,320.000,240.000,0.000,433.000,233.000,0.353125,0.021875,-0.935320,55.922,102.838,176.141,4401.5
Majo_intento_2_ROI_640x480.mp4,10,333.333,True,320.000,240.000,0.000,433.000,233.000,0.353125,0.021875,-0.935320,56.141,104.180,176.269,4464.0
Majo_intento_2_ROI_640x480.mp4,11,366.667,True,320.000,240.000,0.000,434.000,233.000,0.356250,0.021875,-0.934135,55.943,101.754,176.261,4336.5
Majo_intento_2_ROI_640x480.mp4,12,400.000,True,320.000,240.000,0.000,434.000,233.000,0.356250,0.021875,-0.934135,55.583,101.753,175.803,4354.5
Majo_intento_2_ROI_640x480.mp4,13,433.333,True,320.000,240.000,0.000,433.000,236.000,0.353125,0.012500,-0.935493,57.695,67.431,164.522,2792.5
Majo_intento_2_ROI_640x480.mp4,14,466.667,True,320.000,240.000,0.000,470.000,268.000,0.468750,-0.087500,-0.878986,41.168,107.498,153.928,3155.5
Majo_intento_2_ROI_640x480.mp4,15,500.000,False,320.000,240.000,,,,,,,,,,
Majo_intento_2_ROI_640x480.mp4,16,533.333,False,320.000,240.000,,,,,,,,,,
Majo_intento_2_ROI_640x480.mp4,17,566.667,True,320.000,240.000,0.000,470.000,271.000,0.468750,-0.096875,-0.878003,62.256,69.117,178.646,2956.5
Majo_intento_2_ROI_640x480.mp4,18,600.000,True,320.000,240.000,0.000,471.000,270.000,0.471875,-0.093750,-0.876667,56.661,67.558,167.471,2650.5
Majo_intento_2_ROI_640x480.mp4,19,633.333,True,320.000,240.000,0.000,435.000,233.000,0.359375,0.021875,-0.932937,56.118,123.417,0.998,4892.5
Majo_intento_2_ROI_640x480.mp4,20,666.667,True,320.000,240.000,0.000,435.000,229.000,0.359375,0.034375,-0.932560,55.042,102.545,175.030,4272.5
Majo_intento_2_ROI_640x480.mp4,21,700.000,True,320.000,240.000,0.000,435.000,226.000,0.359375,0.043750,-0.932167,55.198,100.404,174.940,4204.5
Majo_intento_2_ROI_640x480.mp4,22,733.333,True,320.000,240.000,0.000,435.000,229.000,0.359375,0.034375,-0.932560,55.656,100.403,174.931,4264.0
Majo_intento_2_ROI_640x480.mp4,23,766.667,True,317.000,217.000,0.000,435.000,230.000,0.368750,-0.040625,-0.928640,58.189,104.153,175.761,4618.5
Majo_intento_2_ROI_640x480.mp4,24,800.000,True,317.000,217.000,0.000,434.000,231.000,0.365625,-0.043750,-0.929733,58.716,105.678,176.171,4738.0
Majo_intento_2_ROI_640x480.mp4,25,833.333,True,317.000,217.000,0.000,433.000,231.000,0.362500,-0.043750,-0.930956,58.392,104.080,176.576,4678.5
Majo_intento_2_ROI_640x480.mp4,26,866.667,True,317.000,217.000,0.000,433.000,231.000,0.362500,-0.043750,-0.930956,57.794,105.037,176.565,4674.5
Majo_intento_2_ROI_640x480.mp4,27,900.000,True,317.000,217.000,0.000,433.000,231.000,0.362500,-0.043750,-0.930956,56.655,103.008,176.774,4501.5
Majo_intento_2_ROI_640x480.mp4,28,933.333,True,317.000,217.000,0.000,434.000,232.000,0.365625,-0.046875,-0.929581,57.026,104.391,175.854,4570.5
Majo_intento_2_ROI_640x480.mp4,29,966.667,True,317.000,217.000,0.000,434.000,231.000,0.365625,-0.043750,-0.929733,56.175,103.929,175.789,4508.0
Majo_intento_2_ROI_640x480.mp4,30,1000.000,True,317.000,217.000,0.000,435.000,231.000,0.368750,-0.043750,-0.928498,55.865,103.494,175.463,4495.5
