video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Rodelo_intento_1_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,421.000,257.000,0.315625,-0.053125,-0.947396,66.936,92.651,36.432,3985.5
Rodelo_intento_1_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,420.000,256.000,0.312500,-0.050000,-0.948601,65.094,99.554,37.971,4069.0
Rodelo_intento_1_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,420.000,256.000,0.312500,-0.050000,-0.948601,68.482,95.326,36.478,4131.5
Rodelo_intento_1_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,420.000,255.000,0.312500,-0.046875,-0.948760,71.030,94.925,40.977,4418.5
Rodelo_intento_1_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,420.000,256.000,0.312500,-0.050000,-0.948601,68.804,93.123,37.020,4317.5
Rodelo_intento_1_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,419.000,257.000,0.309375,-0.053125,-0.949455,69.013,92.436,41.013,4237.0
Rodelo_intento_1_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,418.000,257.000,0.306250,-0.053125,-0.950468,70.344,89.381,47.342,4159.0
Rodelo_intento_1_ROI_640x480.mp4,8,266.667,True,346.000,198.000,0.000,414.000,257.000,0.212500,-0.184375,-0.959609,76.973,92.123,43.347,4759.5
Rodelo_intento_1_ROI_640x480.mp4,9,300.000,True,348.000,200.000,0.000,411.000,257.000,0.196875,-0.178125,-0.964112,77.417,91.373,43.415,4648.0
Rodelo_intento_1_ROI_640x480.mp4,10,333.333,True,350.000,201.000,0.000,409.000,258.000,0.184375,-0.178125,-0.966580,81.397,88.783,49.193,4783.0
Rodelo_intento_1_ROI_640x480.mp4,11,366.667,True,351.000,203.000,0.000,409.000,258.000,0.181250,-0.171875,-0.968301,76.712,92.253,38.046,4668.0
Rodelo_intento_1_ROI_640x480.mp4,12,400.000,True,352.000,203.000,0.000,410.000,258.000,0.181250,-0.171875,-0.968301,79.807,94.732,51.694,4926.5
Rodelo_intento_1_ROI_640x480.mp4,13,433.333,True,352.000,203.000,0.000,409.000,258.000,0.178125,-0.171875,-0.968881,79.378,92.889,44.882,4930.5
Rodelo_intento_1_ROI_640x480.mp4,14,466.667,True,352.000,203.000,0.000,409.000,258.000,0.178125,-0.171875,-0.968881,79.940,96.571,30.200,5042.5
Rodelo_intento_1_ROI_640x480.mp4,15,500.000,True,352.000,203.000,0.000,409.000,258.000,0.178125,-0.171875,-0.968881,81.827,92.271,39.011,5024.0
Rodelo_intento_1_ROI_640x480.mp4,16,533.333,True,352.000,203.000,0.000,411.000,257.000,0.184375,-0.168750,-0.968261,82.882,93.965,44.015,5118.5
Rodelo_intento_1_ROI_640x480.mp4,17,566.667,True,353.000,203.000,0.000,411.000,257.000,0.181250,-0.168750,-0.968851,82.786,94.015,35.420,5243.5
Rodelo_intento_1_ROI_640x480.mp4,18,600.000,True,353.000,204.000,0.000,411.000,257.000,0.181250,-0.165625,-0.969390,81.708,96.379,33.565,5021.5
Rodelo_intento_1_ROI_640x480.mp4,19,633.333,True,353.000,204.000,0.000,411.000,257.000,0.181250,-0.165625,-0.969390,77.526,96.670,34.054,4968.5
Rodelo_intento_1_ROI_640x480.mp4,20,666.667,True,354.000,204.000,0.000,411.000,257.000,0.178125,-0.165625,-0.969969,82.691,91.998,29.535,5109.0
Rodelo_intento_1_ROI_640x480.mp4,21,700.000,True,354.000,205.000,0.000,411.000,257.000,0.178125,-0.162500,-0.970497,78.388,94.952,38.255,5044.5
Rodelo_intento_1_ROI_640x480.mp4,22,733.333,True,354.000,205.000,0.000,411.000,257.000,0.178125,-0.162500,-0.970497,81.267,94.324,37.676,5239.0
