video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_2_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,490.000,195.000,0.531250,0.140625,-0.835463,54.338,95.129,179.447,3930.0
roygel_intento_2_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,490.000,195.000,0.531250,0.140625,-0.835463,53.633,95.662,179.121,3906.5
roygel_intento_2_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,490.000,196.000,0.531250,0.137500,-0.835983,53.563,94.107,0.011,3827.0
roygel_intento_2_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,488.000,196.000,0.525000,0.137500,-0.839922,53.551,93.309,0.899,3784.5
roygel_intento_2_ROI_640x480.mp4,5,166.667,True,289.000,198.000,0.000,485.000,196.000,0.612500,0.006250,-0.790446,56.602,90.137,179.962,3830.0
roygel_intento_2_ROI_640x480.mp4,6,200.000,True,289.000,198.000,0.000,481.000,197.000,0.600000,0.003125,-0.799994,55.612,90.138,178.886,3833.5
roygel_intento_2_ROI_640x480.mp4,7,233.333,True,289.000,198.000,0.000,480.000,197.000,0.596875,0.003125,-0.802328,55.952,89.304,0.705,3796.0
roygel_intento_2_ROI_640x480.mp4,8,266.667,True,289.000,198.000,0.000,480.000,198.000,0.596875,-0.000000,-0.802334,55.344,90.708,0.302,3792.5
roygel_intento_2_ROI_640x480.mp4,9,300.000,True,289.000,198.000,0.000,479.000,198.000,0.593750,-0.000000,-0.804650,54.797,89.630,0.367,3734.5
roygel_intento_2_ROI_640x480.mp4,10,333.333,True,289.000,198.000,0.000,479.000,197.000,0.593750,0.003125,-0.804644,56.193,90.524,0.814,3816.0
roygel_intento_2_ROI_640x480.mp4,11,366.667,True,289.000,198.000,0.000,478.000,197.000,0.590625,0.003125,-0.806940,55.211,90.038,1.056,3753.0
roygel_intento_2_ROI_640x480.mp4,12,400.000,True,290.000,197.000,0.000,478.000,196.000,0.587500,0.003125,-0.809218,54.438,88.327,0.721,3617.5
roygel_intento_2_ROI_640x480.mp4,13,433.333,True,290.000,197.000,0.000,481.000,191.000,0.596875,0.018750,-0.802115,49.832,88.506,178.182,3286.5
roygel_intento_2_ROI_640x480.mp4,14,466.667,True,291.000,197.000,0.000,484.000,187.000,0.603125,0.031250,-0.797034,50.538,89.465,177.587,3395.5
roygel_intento_2_ROI_640x480.mp4,15,500.000,True,291.000,197.000,0.000,486.000,183.000,0.609375,0.043750,-0.791674,51.222,89.684,178.384,3421.0
roygel_intento_2_ROI_640x480.mp4,16,533.333,True,292.000,197.000,0.000,486.000,183.000,0.606250,0.043750,-0.794070,51.535,89.566,177.124,3461.5
roygel_intento_2_ROI_640x480.mp4,17,566.667,True,292.000,197.000,0.000,487.000,183.000,0.609375,0.043750,-0.791674,51.420,90.380,178.342,3463.0
roygel_intento_2_ROI_640x480.mp4,18,600.000,True,293.000,197.000,0.000,487.000,183.000,0.606250,0.043750,-0.794070,52.473,90.881,177.292,3592.0
roygel_intento_2_ROI_640x480.mp4,19,633.333,True,293.000,197.000,0.000,487.000,183.000,0.606250,0.043750,-0.794070,52.026,89.919,178.080,3521.0
roygel_intento_2_ROI_640x480.mp4,20,666.667,True,293.000,197.000,0.000,487.000,183.000,0.606250,0.043750,-0.794070,53.456,93.609,177.505,3747.0
roygel_intento_2_ROI_640x480.mp4,21,700.000,True,293.000,197.000,0.000,487.000,183.000,0.606250,0.043750,-0.794070,52.824,92.632,178.070,3657.0
roygel_intento_2_ROI_640x480.mp4,22,733.333,True,294.000,197.000,0.000,487.000,183.000,0.603125,0.043750,-0.796446,53.766,93.479,178.180,3743.5
roygel_intento_2_ROI_640x480.mp4,23,766.667,True,294.000,197.000,0.000,487.000,182.000,0.603125,0.046875,-0.796268,53.780,93.736,177.831,3748.0
roygel_intento_2_ROI_640x480.mp4,24,800.000,True,294.000,197.000,0.000,487.000,181.000,0.603125,0.050000,-0.796078,53.997,94.683,178.220,3842.5
roygel_intento_2_ROI_640x480.mp4,25,833.333,True,294.000,197.000,0.000,487.000,180.000,0.603125,0.053125,-0.795876,53.939,95.076,177.364,3850.0
roygel_intento_2_ROI_640x480.mp4,26,866.667,True,294.000,197.000,0.000,488.000,180.000,0.606250,0.053125,-0.793498,53.409,96.231,175.671,3796.5
roygel_intento_2_ROI_640x480.mp4,27,900.000,True,294.000,196.000,0.000,490.000,179.000,0.612500,0.053125,-0.788683,50.704,96.570,175.806,3642.0
roygel_intento_2_ROI_640x480.mp4,28,933.333,True,294.000,196.000,0.000,491.000,178.000,0.615625,0.056250,-0.786029,51.678,96.529,175.539,3767.5
roygel_intento_2_ROI_640x480.mp4,29,966.667,True,294.000,196.000,0.000,492.000,177.000,0.618750,0.059375,-0.783341,52.070,96.233,176.579,3733.0
roygel_intento_2_ROI_640x480.mp4,30,1000.000,True,294.000,196.000,0.000,492.000,177.000,0.618750,0.059375,-0.783341,52.924,98.414,176.302,3886.0
roygel_intento_2_ROI_640x480.mp4,31,1033.333,True,294.000,196.000,0.000,492.000,177.000,0.618750,0.059375,-0.783341,53.287,97.566,175.543,3829.0
roygel_intento_2_ROI_640x480.mp4,32,1066.667,True,294.000,196.000,0.000,491.000,176.000,0.615625,0.062500,-0.785557,53.431,99.050,175.441,3951.0
roygel_intento_2_ROI_640x480.mp4,33,1100.000,True,294.000,196.000,0.000,491.000,176.000,0.615625,0.062500,-0.785557,52.701,99.077,176.680,3895.0
roygel_intento_2_ROI_640x480.mp4,34,1133.333,True,294.000,196.000,0.000,491.000,176.000,0.615625,0.062500,-0.785557,53.740,98.220,177.558,3970.5
roygel_intento_2_ROI_640x480.mp4,35,1166.667,True,294.000,196.000,0.000,491.000,177.000,0.615625,0.059375,-0.785799,52.690,98.566,176.727,3917.5
roygel_intento_2_ROI_640x480.mp4,36,1200.000,True,294.000,196.000,0.000,491.000,177.000,0.615625,0.059375,-0.785799,54.465,100.128,176.892,4091.5
roygel_intento_2_ROI_640x480.mp4,37,1233.333,True,294.000,196.000,0.000,491.000,177.000,0.615625,0.059375,-0.785799,54.050,98.670,176.777,3988.0
roygel_intento_2_ROI_640x480.mp4,38,1266.667,True,294.000,195.000,0.000,491.000,177.000,0.615625,0.056250,-0.786029,54.789,99.399,177.540,4085.5
roygel_intento_2_ROI_640x480.mp4,39,1300.000,True,294.000,195.000,0.000,491.000,178.000,0.615625,0.053125,-0.786247,55.205,100.057,176.869,4084.0
roygel_intento_2_ROI_640x480.mp4,40,1333.333,True,294.000,195.000,0.000,491.000,178.000,0.615625,0.053125,-0.786247,54.665,99.521,177.793,4111.0
roygel_intento_2_ROI_640x480.mp4,41,1366.667,True,294.000,195.000,0.000,491.000,178.000,0.615625,0.053125,-0.786247,53.994,100.137,177.090,4033.0
roygel_intento_2_ROI_640x480.mp4,42,1400.000,True,294.000,195.000,0.000,491.000,177.000,0.615625,0.056250,-0.786029,53.725,100.467,177.238,4094.0
